state_name,age_bracket,state_code,Below_primary_share_SC_female,CMPR_SC_female,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_dropout_SC_female,Dropout_rate_SC_female,Illiteracy_rate_SC_female,Literacy_rate_SC_female,Non_worker_dropout_SC_female,School_attendance_rate_SC_female
INDIA,age_10_13,00,34.9262,2.5292,1.919,2.1766,2.2396,14.4605,11.0122,88.9878,12.2209,85.5395
INDIA,age_14_17,00,6.5449,21.1339,12.3822,3.0268,10.6837,33.7192,12.5965,87.4035,23.0355,66.2808
INDIA,age_18_21,00,6.5808,72.6287,52.7964,2.7204,23.8881,64.8443,19.6802,80.3198,40.9563,35.1557
INDIA,age_below10,00,94.2767,0.0,0.0,1.0258,0.7838,36.8007,74.8882,25.1118,36.0169,63.1993
Jammu & Kashmir,age_10_13,01,31.9257,2.0099,1.5556,2.5368,1.8211,10.2289,8.9579,91.0421,8.4079,89.7711
Jammu & Kashmir,age_14_17,01,2.9941,10.4318,6.2872,3.0296,6.5678,23.9559,10.1953,89.8047,17.388,76.0441
Jammu & Kashmir,age_18_21,01,2.015,51.9883,34.0435,2.5891,13.5436,50.8448,13.7027,86.2973,37.3012,49.1552
Jammu & Kashmir,age_below10,01,96.1286,0.0,0.0,0.852,0.5597,34.3552,74.7443,25.2557,33.7956,65.6448
Himachal Pradesh,age_10_13,02,23.0311,1.9974,1.6046,13.6206,1.6194,4.6496,3.1509,96.8491,3.0301,95.3504
Himachal Pradesh,age_14_17,02,1.8571,12.0936,7.4534,16.842,10.1148,15.9929,2.7506,97.2494,5.8781,84.0071
Himachal Pradesh,age_18_21,02,2.1018,62.3776,43.2639,11.2188,31.5891,47.3656,3.9246,96.0754,15.7765,52.6344
Himachal Pradesh,age_below10,02,95.2848,0.0,0.0,5.1918,0.7351,25.7186,71.6279,28.3721,24.9835,74.2814
Punjab,age_10_13,03,36.9971,2.5547,2.0224,1.6883,1.9393,14.0873,10.095,89.905,12.148,85.9127
Punjab,age_14_17,03,5.1337,10.6142,6.769,1.8749,8.06,38.2039,12.3166,87.6834,30.1439,61.7961
Punjab,age_18_21,03,3.2657,55.1172,39.8479,1.4529,13.9699,66.4266,16.202,83.798,52.4567,33.5734
Punjab,age_below10,03,95.0038,0.0,0.0,1.0986,0.6827,30.2364,74.043,25.957,29.5537,69.7636
Chandigarh,age_10_13,04,46.5015,1.2584,0.937,1.4309,1.9121,12.2578,10.0545,89.9455,10.3457,87.7422
Chandigarh,age_14_17,04,7.4939,10.2642,5.9719,1.8077,6.7821,26.1667,10.5256,89.4744,19.3846,73.8333
Chandigarh,age_18_21,04,3.6839,54.4875,39.3356,1.8896,10.454,47.6564,12.7362,87.2638,37.2025,52.3436
Chandigarh,age_below10,04,96.7199,0.0,0.0,1.0594,0.4556,28.022,73.9427,26.0573,27.5665,71.978
Uttarakhand,age_10_13,05,36.3059,1.4074,1.0161,4.1772,1.0872,7.2256,5.29,94.71,6.1384,92.7744
Uttarakhand,age_14_17,05,3.8251,12.3857,7.0963,5.4684,7.8415,22.8147,5.1903,94.8097,14.9732,77.1853
Uttarakhand,age_18_21,05,2.34,66.8035,46.887,4.6183,21.5704,52.5954,8.585,91.415,31.025,47.4046
Uttarakhand,age_below10,05,95.6126,0.0,0.0,1.6487,0.5302,30.317,72.7331,27.2669,29.7867,69.683
Haryana,age_10_13,06,42.6535,2.3718,1.8689,1.3145,1.1409,8.8692,7.6905,92.3095,7.7283,91.1308
Haryana,age_14_17,06,7.0722,16.3156,9.7732,2.0702,5.896,26.4129,10.2846,89.7154,20.5169,73.5871
Haryana,age_18_21,06,5.53,71.3557,51.2099,1.7595,14.5627,61.0878,16.727,83.273,46.5251,38.9122
Haryana,age_below10,06,96.8254,0.0,0.0,0.6123,0.4238,31.5213,74.1536,25.8464,31.0975,68.4787
NCT of Delhi,age_10_13,07,35.0624,1.3401,0.9519,0.502,0.3995,8.489,5.88,94.12,8.0895,91.511
NCT of Delhi,age_14_17,07,3.9737,9.9783,5.8023,0.6777,2.2257,21.0434,6.1394,93.8606,18.8177,78.9566
NCT of Delhi,age_18_21,07,2.6189,53.3609,37.4255,0.8599,4.7733,46.7383,8.5788,91.4212,41.965,53.2617
NCT of Delhi,age_below10,07,95.8104,0.0,0.0,0.3288,0.2028,31.6953,73.4551,26.5449,31.4925,68.3047
Rajasthan,age_10_13,08,43.959,3.7159,2.6849,2.8358,5.2975,23.381,17.9984,82.0016,18.0835,76.619
Rajasthan,age_14_17,08,11.5602,29.3262,18.5528,3.7013,22.158,48.3238,21.7625,78.2375,26.1659,51.6762
Rajasthan,age_18_21,08,10.0684,83.977,66.7578,2.5638,41.2112,75.5185,32.4194,67.5806,34.3072,24.4815
Rajasthan,age_below10,08,94.6217,0.0,0.0,0.7824,0.783,44.153,77.5842,22.4158,43.3701,55.847
Uttar Pradesh,age_10_13,09,40.8902,2.5514,1.8882,2.5112,1.8649,18.2104,14.2919,85.7081,16.3455,81.7896
Uttar Pradesh,age_14_17,09,5.7283,17.7785,10.7948,3.4013,7.1527,36.5823,15.8209,84.1791,29.4296,63.4177
Uttar Pradesh,age_18_21,09,3.365,76.8535,57.0436,3.1864,14.8918,61.9936,24.6314,75.3686,47.1018,38.0064
Uttar Pradesh,age_below10,09,93.6946,0.0,0.0,1.2469,1.0857,43.5037,76.017,23.983,42.418,56.4963
Bihar,age_10_13,10,54.6718,2.8762,2.1821,2.2267,2.8023,26.7499,25.4874,74.5126,23.9476,73.2501
Bihar,age_14_17,10,14.4103,36.6945,20.2211,3.0875,11.58,44.5883,33.5344,66.4656,33.0083,55.4117
Bihar,age_18_21,10,12.9517,92.2362,74.7823,2.816,29.7175,78.4735,54.6316,45.3684,48.756,21.5265
Bihar,age_below10,10,94.6965,0.0,0.0,1.0268,1.3199,50.8433,80.2279,19.7721,49.5234,49.1567
Sikkim,age_10_13,11,57.4751,1.8602,1.2407,9.19,1.947,7.0872,6.2305,93.7695,5.1402,92.9128
Sikkim,age_14_17,11,19.9477,22.3471,14.1234,10.3789,13.5914,23.8056,5.4366,94.5634,10.2142,76.1944
Sikkim,age_18_21,11,19.3182,62.0977,50.717,7.2398,29.7134,54.4495,7.089,92.911,24.736,45.5505
Sikkim,age_below10,11,95.9514,0.0,0.0,2.6658,1.0253,19.1388,71.5547,28.4453,18.1135,80.8612
Manipur,age_10_13,14,30.9737,1.734,1.2752,1.5664,1.3138,10.5356,9.7019,90.2981,9.2218,89.4644
Manipur,age_14_17,14,3.9987,11.8162,7.5741,2.6786,7.0536,20.5952,8.4524,91.5476,13.5417,79.4048
Manipur,age_18_21,14,4.8193,40.8808,30.9137,3.8303,20.0943,42.7225,11.9623,88.0377,22.6282,57.2775
Manipur,age_below10,14,90.7987,0.0,0.0,0.6801,0.5739,33.3262,75.8298,24.1702,32.7524,66.6738
Mizoram,age_10_13,15,25.0,2.5641,1.0101,3.3333,0.0,10.0,6.6667,93.3333,10.0,90.0
Mizoram,age_14_17,15,5.7143,26.5306,15.0943,14.2857,0.0,5.7143,0.0,100.0,5.7143,94.2857
Mizoram,age_18_21,15,9.5238,52.0833,28.4722,0.0,17.3913,34.7826,8.6957,91.3043,17.3913,65.2174
Mizoram,age_below10,15,92.0,0.0,0.0,0.0,0.0,29.0909,74.2268,25.7732,29.0909,70.9091
Tripura,age_10_13,16,33.5512,1.6271,1.2124,0.6657,0.4383,4.759,1.9557,98.0443,4.3207,95.241
