state_name,age_bracket,state_code,Below_primary_share_SC_male,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_male,Child_labour_dropout_SC_male,Dropout_rate_SC_male,Illiteracy_rate_SC_male,Literacy_rate_SC_male,School_attendance_rate_SC_male
INDIA,age_10_13,00,36.0695,1.3597,1.919,2.3589,2.6804,12.2998,8.7158,91.2842,87.7002
INDIA,age_14_17,00,6.4869,4.7494,12.3822,4.0855,18.1296,30.9412,9.1443,90.8557,69.0588
INDIA,age_18_21,00,6.058,34.2126,52.7964,4.9947,43.0589,56.6628,11.2476,88.7524,43.3372
INDIA,age_below10,00,94.0742,0.0,0.0,1.094,0.8496,35.8422,74.2109,25.7891,64.1578
Jammu & Kashmir,age_10_13,01,33.194,1.1545,1.5556,2.5727,1.6563,6.6439,5.6743,94.3257,93.3561
Jammu & Kashmir,age_14_17,01,2.8291,2.6226,6.2872,4.3047,10.5106,19.0458,5.3258,94.6742,80.9542
Jammu & Kashmir,age_18_21,01,2.6411,17.0792,34.0435,5.3307,30.1021,45.6955,7.3687,92.6313,54.3045
Jammu & Kashmir,age_below10,01,95.6426,0.0,0.0,0.8909,0.4396,31.8055,73.6397,26.3603,68.1945
Himachal Pradesh,age_10_13,02,23.4821,1.2368,1.6046,13.0993,1.4499,4.0479,2.8569,97.1431,95.9521
Himachal Pradesh,age_14_17,02,1.8644,3.1288,7.4534,17.1362,10.7328,14.3463,2.0914,97.9086,85.6537
Himachal Pradesh,age_18_21,02,2.1279,24.0981,43.2639,13.2483,34.1893,40.9297,2.4943,97.5057,59.0703
Himachal Pradesh,age_below10,02,95.1221,0.0,0.0,5.0334,0.7255,25.1478,71.4809,28.5191,74.8522
Punjab,age_10_13,03,40.711,1.569,2.0224,1.8954,3.4609,12.7164,9.315,90.685,87.2836
Punjab,age_14_17,03,5.6782,3.5436,6.769,2.7175,22.0613,36.6177,11.9727,88.0273,63.3823
