state_name,age_bracket,state_code,Below_primary_share_SC_female,Below_primary_share_SC_male,CMPR_SC_female,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_attending_SC_male,Child_labour_dropout_SC_female,Child_labour_dropout_SC_male,Dropout_rate_SC_female,Dropout_rate_SC_male,Illiteracy_rate_SC_female,Illiteracy_rate_SC_male,Literacy_rate_SC_female,Literacy_rate_SC_male,Non_worker_dropout_SC_female,School_attendance_rate_SC_female,School_attendance_rate_SC_male
INDIA,age_10_13,00,34.9262,36.0695,2.5292,1.3597,1.919,2.1766,2.3589,2.2396,2.6804,14.4605,12.2998,11.0122,8.7158,88.9878,91.2842,12.2209,85.5395,87.7002
INDIA,age_14_17,00,6.5449,6.4869,21.1339,4.7494,12.3822,3.0268,4.0855,10.6837,18.1296,33.7192,30.9412,12.5965,9.1443,87.4035,90.8557,23.0355,66.2808,69.0588
INDIA,age_18_21,00,6.5808,6.058,72.6287,34.2126,52.7964,2.7204,4.9947,23.8881,43.0589,64.8443,56.6628,19.6802,11.2476,80.3198,88.7524,40.9563,35.1557,43.3372
INDIA,age_below10,00,94.2767,94.0742,0.0,0.0,0.0,1.0258,1.094,0.7838,0.8496,36.8007,35.8422,74.8882,74.2109,25.1118,25.7891,36.0169,63.1993,64.1578
Jammu & Kashmir,age_10_13,01,31.9257,33.194,2.0099,1.1545,1.5556,2.5368,2.5727,1.8211,1.6563,10.2289,6.6439,8.9579,5.6743,91.0421,94.3257,8.4079,89.7711,93.3561
Jammu & Kashmir,age_14_17,01,2.9941,2.8291,10.4318,2.6226,6.2872,3.0296,4.3047,6.5678,10.5106,23.9559,19.0458,10.1953,5.3258,89.8047,94.6742,17.388,76.0441,80.9542
Jammu & Kashmir,age_18_21,01,2.015,2.6411,51.9883,17.0792,34.0435,2.5891,5.3307,13.5436,30.1021,50.8448,45.6955,13.7027,7.3687,86.2973,92.6313,37.3012,49.1552,54.3045
Jammu & Kashmir,age_below10,01,96.1286,95.6426,0.0,0.0,0.0,0.852,0.8909,0.5597,0.4396,34.3552,31.8055,74.7443,73.6397,25.2557,26.3603,33.7956,65.6448,68.1945
Himachal Pradesh,age_10_13,02,23.0311,23.4821,1.9974,1.2368,1.6046,13.6206,13.0993,1.6194,1.4499,4.6496,4.0479,3.1509,2.8569,96.8491,97.1431,3.0301,95.3504,95.9521
Himachal Pradesh,age_14_17,02,1.8571,1.8644,12.0936,3.1288,7.4534,16.842,17.1362,10.1148,10.7328,15.9929,14.3463,2.7506,2.0914,97.2494,97.9086,5.8781,84.0071,85.6537
Himachal Pradesh,age_18_21,02,2.1018,2.1279,62.3776,24.0981,43.2639,11.2188,13.2483,31.5891,34.1893,47.3656,40.9297,3.9246,2.4943,96.0754,97.5057,15.7765,52.6344,59.0703
Himachal Pradesh,age_below10,02,95.2848,95.1221,0.0,0.0,0.0,5.1918,5.0334,0.7351,0.7255,25.7186,25.1478,71.6279,71.4809,28.3721,28.5191,24.9835,74.2814,74.8522
Punjab,age_10_13,03,36.9971,40.711,2.5547,1.569,2.0224,1.6883,1.8954,1.9393,3.4609,14.0873,12.7164,10.095,9.315,89.905,90.685,12.148,85.9127,87.2836
Punjab,age_14_17,03,5.1337,5.6782,10.6142,3.5436,6.769,1.8749,2.7175,8.06,22.0613,38.2039,36.6177,12.3166,11.9727,87.6834,88.0273,30.1439,61.7961,63.3823
Punjab,age_18_21,03,3.2657,4.1101,55.1172,26.0284,39.8479,1.4529,2.7553,13.9699,48.2977,66.4266,65.4489,16.202,15.1679,83.798,84.8321,52.4567,33.5734,34.5511
Punjab,age_below10,03,95.0038,95.1001,0.0,0.0,0.0,1.0986,1.2287,0.6827,0.7906,30.2364,29.3359,74.043,73.23,25.957,26.77,29.5537,69.7636,70.6641
Chandigarh,age_10_13,04,46.5015,48.0835,1.2584,0.6589,0.937,1.4309,1.3556,1.9121,1.9241,12.2578,9.555,10.0545,7.3029,89.9455,92.6971,10.3457,87.7422,90.445
Chandigarh,age_14_17,04,7.4939,7.1924,10.2642,2.5069,5.9719,1.8077,2.3909,6.7821,13.6104,26.1667,24.6765,10.5256,8.2036,89.4744,91.7964,19.3846,73.8333,75.3235
Chandigarh,age_18_21,04,3.6839,4.6129,54.4875,26.0448,39.3356,1.8896,3.8675,10.454,36.7876,47.6564,49.852,12.7362,10.1406,87.2638,89.8594,37.2025,52.3436,50.148
Chandigarh,age_below10,04,96.7199,97.561,0.0,0.0,0.0,1.0594,1.1698,0.4556,0.3807,28.022,27.0634,73.9427,73.2617,26.0573,26.7383,27.5665,71.978,72.9366
Uttarakhand,age_10_13,05,36.3059,37.1394,1.4074,0.6526,1.0161,4.1772,3.8019,1.0872,1.3495,7.2256,6.5766,5.29,4.6295,94.71,95.3705,6.1384,92.7744,93.4234
Uttarakhand,age_14_17,05,3.8251,3.6853,12.3857,2.2627,7.0963,5.4684,5.9186,7.8415,11.0214,22.8147,18.4535,5.1903,3.6447,94.8097,96.3553,14.9732,77.1853,81.5465
Uttarakhand,age_18_21,05,2.34,2.3758,66.8035,27.2331,46.887,4.6183,6.6176,21.5704,33.3304,52.5954,43.7221,8.585,5.1807,91.415,94.8193,31.025,47.4046,56.2779
Uttarakhand,age_below10,05,95.6126,95.3746,0.0,0.0,0.0,1.6487,1.481,0.5302,0.5127,30.317,29.9119,72.7331,72.1778,27.2669,27.8222,29.7867,69.683,70.0881
Haryana,age_10_13,06,42.6535,44.2905,2.3718,1.4395,1.8689,1.3145,1.3849,1.1409,1.9829,8.8692,8.2272,7.6905,6.6903,92.3095,93.3097,7.7283,91.1308,91.7728
Haryana,age_14_17,06,7.0722,6.939,16.3156,4.3931,9.7732,2.0702,2.8689,5.896,14.797,26.4129,24.4218,10.2846,8.2862,89.7154,91.7138,20.5169,73.5871,75.5782
Haryana,age_18_21,06,5.53,5.7997,71.3557,34.0673,51.2099,1.7595,3.7143,14.5627,39.9004,61.0878,51.9478,16.727,11.1945,83.273,88.8055,46.5251,38.9122,48.0522
Haryana,age_below10,06,96.8254,96.7576,0.0,0.0,0.0,0.6123,0.6714,0.4238,0.4974,31.5213,30.8803,74.1536,73.6618,25.8464,26.3382,31.0975,68.4787,69.1197
NCT of Delhi,age_10_13,07,35.0624,37.7634,1.3401,0.6081,0.9519,0.502,0.588,0.3995,1.1339,8.489,7.8987,5.88,5.0981,94.12,94.9019,8.0895,91.511,92.1013
NCT of Delhi,age_14_17,07,3.9737,4.3653,9.9783,2.2719,5.8023,0.6777,1.1065,2.2257,9.3632,21.0434,21.604,6.1394,5.3227,93.8606,94.6773,18.8177,78.9566,78.396
NCT of Delhi,age_18_21,07,2.6189,3.3279,53.3609,23.2494,37.4255,0.8599,2.1213,4.7733,29.1045,46.7383,47.2086,8.5788,7.076,91.4212,92.924,41.965,53.2617,52.7914
NCT of Delhi,age_below10,07,95.8104,95.9381,0.0,0.0,0.0,0.3288,0.3239,0.2028,0.2621,31.6953,31.2748,73.4551,73.0894,26.5449,26.9106,31.4925,68.3047,68.7252
Rajasthan,age_10_13,08,43.959,40.7566,3.7159,1.7677,2.6849,2.8358,2.9824,5.2975,3.4731,23.381,13.4064,17.9984,9.5863,82.0016,90.4137,18.0835,76.619,86.5936
Rajasthan,age_14_17,08,11.5602,7.6587,29.3262,9.4407,18.5528,3.7013,5.1373,22.158,22.5714,48.3238,32.49,21.7625,9.7701,78.2375,90.2299,26.1659,51.6762,67.51
Rajasthan,age_18_21,08,10.0684,6.7681,83.977,51.5887,66.7578,2.5638,5.0996,41.2112,50.2585,75.5185,58.2881,32.4194,11.9513,67.5806,88.0487,34.3072,24.4815,41.7119
Rajasthan,age_below10,08,94.6217,94.0155,0.0,0.0,0.0,0.7824,0.8066,0.783,0.5902,44.153,39.849,77.5842,75.7047,22.4158,24.2953,43.3701,55.847,60.151
Uttar Pradesh,age_10_13,09,40.8902,42.292,2.5514,1.298,1.8882,2.5112,2.8511,1.8649,2.9059,18.2104,16.0649,14.2919,11.6119,85.7081,88.3881,16.3455,81.7896,83.9351
Uttar Pradesh,age_14_17,09,5.7283,6.1377,17.7785,4.8941,10.7948,3.4013,4.8755,7.1527,17.4508,36.5823,33.8712,15.8209,11.8216,84.1791,88.1784,29.4296,63.4177,66.1288
Uttar Pradesh,age_18_21,09,3.365,3.4386,76.8535,40.1676,57.0436,3.1864,6.1672,14.8918,41.3261,61.9936,56.9532,24.6314,13.9625,75.3686,86.0375,47.1018,38.0064,43.0468
Uttar Pradesh,age_below10,09,93.6946,93.2219,0.0,0.0,0.0,1.2469,1.3817,1.0857,1.2658,43.5037,42.3041,76.017,74.9258,23.983,25.0742,42.418,56.4963,57.6959
