state_name,age_bracket,state_code,Below_primary_share_ST_female,CMPR_ST_female,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_dropout_ST_female,Dropout_rate_ST_female,Illiteracy_rate_ST_female,Literacy_rate_ST_female,Non_worker_dropout_ST_female,School_attendance_rate_ST_female
INDIA,age_10_13,00,39.3357,2.4394,1.9096,3.8501,5.4804,19.1223,15.4595,84.5405,13.6418,80.8777
INDIA,age_14_17,00,10.4409,21.9534,13.831,5.4367,24.141,40.6905,19.9234,80.0766,16.5495,59.3095
INDIA,age_18_21,00,11.3108,71.8322,57.2494,4.7608,47.8351,69.8913,31.5719,68.4281,22.0561,30.1087
INDIA,age_below10,00,94.8465,0.0,0.0,1.45,1.2071,38.3846,76.7478,23.2522,37.1775,61.6154
Jammu & Kashmir,age_10_13,01,37.1828,2.0794,1.6517,4.4146,4.9622,28.2146,28.3754,71.6246,23.2525,71.7854
Jammu & Kashmir,age_14_17,01,5.5212,16.1279,10.4732,5.2153,14.7695,41.8506,32.9324,67.0676,27.0811,58.1494
Jammu & Kashmir,age_18_21,01,4.3125,61.7369,47.1964,3.9155,26.354,64.0236,45.1378,54.8622,37.6696,35.9764
Jammu & Kashmir,age_below10,01,94.8675,0.0,0.0,1.6277,1.5436,49.6241,82.4936,17.5064,48.0806,50.3759
Himachal Pradesh,age_10_13,02,22.7939,1.7924,1.5057,15.2138,3.11,8.0451,5.6203,94.3797,4.9351,91.9549
Himachal Pradesh,age_14_17,02,1.7379,8.8141,5.7376,18.1717,11.7094,18.4396,5.2535,94.7465,6.7303,81.5604
Himachal Pradesh,age_18_21,02,1.968,51.5011,36.4895,14.1471,30.3396,44.5654,6.7261,93.2739,14.2258,55.4346
Himachal Pradesh,age_below10,02,95.4471,0.0,0.0,6.2835,1.3547,27.0364,72.685,27.315,25.6817,72.9636
Uttarakhand,age_10_13,05,29.0793,1.5403,1.1186,7.039,1.1078,5.8105,4.3937,95.6063,4.7027,94.1895
Uttarakhand,age_14_17,05,2.7837,9.558,6.1293,10.8045,7.4524,17.5723,4.1708,95.8292,10.12,82.4277
Uttarakhand,age_18_21,05,2.5343,50.8011,38.1911,10.378,19.9038,40.9485,8.8797,91.1203,21.0447,59.0515
