state_name,age_bracket,state_code,Below_primary_share_ST_male,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_male,Child_labour_dropout_ST_male,Dropout_rate_ST_male,Illiteracy_rate_ST_male,Literacy_rate_ST_male,School_attendance_rate_ST_male
INDIA,age_10_13,00,39.5858,1.4024,1.9096,3.903,4.7198,15.6886,11.8203,88.1797,84.3114
INDIA,age_14_17,00,9.7982,6.0583,13.831,6.2376,24.8118,35.6827,12.7432,87.2568,64.3173
INDIA,age_18_21,00,9.6098,42.2251,57.2494,6.7207,49.9349,59.3303,15.8947,84.1053,40.6697
INDIA,age_below10,00,94.5108,0.0,0.0,1.4448,1.1123,37.0788,76.1971,23.8029,62.9212
Jammu & Kashmir,age_10_13,01,35.3057,1.264,1.6517,5.2925,3.9103,18.0889,18.309,81.691,81.9111
Jammu & Kashmir,age_14_17,01,3.9379,5.3908,10.4732,8.1214,14.8266,25.0507,16.398,83.602,74.9493
Jammu & Kashmir,age_18_21,01,2.7739,33.0334,47.1964,8.4388,34.5627,44.7703,21.4885,78.5115,55.2297
Jammu & Kashmir,age_below10,01,93.8867,0.0,0.0,1.8996,1.4171,44.454,80.9038,19.0962,55.546
Himachal Pradesh,age_10_13,02,24.0165,1.2386,1.5057,14.5851,1.9496,5.5928,4.289,95.711,94.4072
Himachal Pradesh,age_14_17,02,1.9686,2.7356,5.7376,19.8461,9.5859,13.2434,3.7084,96.2916,86.7566
Himachal Pradesh,age_18_21,02,1.9809,20.6932,36.4895,16.3736,29.9439,36.4551,4.1539,95.8461,63.5449
Himachal Pradesh,age_below10,02,95.0148,0.0,0.0,6.0146,1.188,25.7259,71.9388,28.0612,74.2741
Uttarakhand,age_10_13,05,30.2054,0.7248,1.1186,6.5242,1.4975,4.8017,3.5011,96.4989,95.1983
Uttarakhand,age_14_17,05,2.411,2.7433,6.1293,10.1751,10.2578,14.9318,2.2129,97.7871,85.0682
Uttarakhand,age_18_21,05,1.8844,25.2254,38.1911,11.4943,28.5869,34.9561,3.8404,96.1596,65.0439
Uttarakhand,age_below10,05,94.9825,0.0,0.0,2.7906,0.6502,26.0566,70.1635,29.8365,73.9434
Rajasthan,age_10_13,08,38.8279,1.6334,2.4648,4.4,4.8663,17.2053,12.7801,87.2199,82.7947
Rajasthan,age_14_17,08,7.7747,10.4346,19.7418,7.3335,23.607,33.4063,12.1125,87.8875,66.5937
Rajasthan,age_18_21,08,7.1644,59.6176,72.1752,7.4784,47.6742,53.847,14.8237,85.1763,46.153
Rajasthan,age_below10,08,93.2674,0.0,0.0,1.0867,0.9419,43.4429,77.8942,22.1058,56.5571
Uttar Pradesh,age_10_13,09,44.885,1.4462,2.0998,3.2419,3.5534,20.5139,15.4691,84.5309,79.4861
Uttar Pradesh,age_14_17,09,8.1754,6.5173,14.7155,5.2977,17.4163,35.5051,15.1742,84.8258,64.4949
Uttar Pradesh,age_18_21,09,4.6584,51.4193,66.7635,6.5152,38.0229,56.0151,17.6007,82.3993,43.9849
Uttar Pradesh,age_below10,09,92.7558,0.0,0.0,1.6092,1.5047,46.5775,76.8678,23.1322,53.4225
Bihar,age_10_13,10,50.4496,1.4615,2.0024,4.1944,3.752,19.8698,17.0291,82.9709,80.1302
Bihar,age_14_17,10,11.1441,5.3508,14.2685,6.718,19.5346,35.9987,20.3972,79.6028,64.0013
Bihar,age_18_21,10,8.8227,45.0195,64.8561,7.8925,43.391,58.4534,26.3803,73.6197,41.5466
Bihar,age_below10,10,93.3697,0.0,0.0,1.7693,1.8532,47.1123,77.4647,22.5353,52.8877
Sikkim,age_10_13,11,48.7425,0.8052,1.1421,9.5639,1.7757,5.3479,4.621,95.379,94.6521
Sikkim,age_14_17,11,19.5476,4.0799,9.6519,13.016,14.4798,19.5135,3.6226,96.3774,80.4865
Sikkim,age_18_21,11,19.1044,27.7096,38.7939,11.1303,33.1104,40.7248,4.1415,95.8585,59.2752
Sikkim,age_below10,11,93.0118,0.0,0.0,3.3093,0.5599,17.5665,69.5994,30.4006,82.4335
Arunachal Pradesh,age_10_13,12,42.8905,1.0897,1.7214,4.2199,1.7196,12.8742,16.921,83.079,87.1258
Arunachal Pradesh,age_14_17,12,8.9542,3.8068,8.4948,6.3358,5.5843,12.7961,10.4171,89.5829,87.2039
Arunachal Pradesh,age_18_21,12,5.1573,27.2299,40.2043,8.343,14.0,22.029,11.3865,88.6135,77.971
Arunachal Pradesh,age_below10,12,92.6363,0.0,0.0,2.0459,1.0612,37.16,78.2433,21.7567,62.84
Nagaland,age_10_13,13,38.4463,0.6346,1.007,14.6798,4.4521,13.0799,12.4408,87.5592,86.9201
