state_name,age_bracket,state_code,CMPR_buddhist_male,CMPR_christian_male,CMPR_hindu_male,CMPR_jain_male,CMPR_muslim_male,CMPR_sikh_male,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_male,Literacy_rate_christian_male,Literacy_rate_hindu_male,Literacy_rate_jain_male,Literacy_rate_muslim_male,Literacy_rate_sikh_male
INDIA,age_10_13,00,0.428,0.161,0.6904,0.2003,0.4018,0.1628,4.121,7.4002,6.8535,2.3943,13.6463,5.5777,95.879,92.5998,93.1465,97.6057,86.3537,94.4223
INDIA,age_14_17,00,2.209,0.9671,4.1578,1.0403,3.0025,1.3216,3.5903,5.8984,6.7906,1.6124,14.5687,6.4795,96.4097,94.1016,93.2094,98.3876,85.4313,93.5205
INDIA,age_18_21,00,25.3127,14.3613,34.1897,15.1268,32.7864,25.6065,4.1814,6.8516,8.2754,1.6954,16.6241,8.0667,95.8186,93.1484,91.7246,98.3046,83.3759,91.9333
INDIA,age_below10,00,1.8207,1.0548,1.384,2.0321,1.2833,0.9958,72.5691,74.2474,73.4259,70.6235,76.2632,71.7777,27.4309,25.7526,26.5741,29.3765,23.7368,28.2223
Jammu & Kashmir,age_10_13,01,1.0456,0.2126,0.229,0.1348,0.389,0.1895,7.1788,9.2066,4.4291,3.4091,12.3682,3.2032,92.8212,90.7934,95.5709,96.5909,87.6318,96.7968
Jammu & Kashmir,age_14_17,01,3.6283,1.5411,1.3499,0.4043,2.6455,0.6278,3.7003,8.4719,3.8632,3.8462,9.2833,1.835,96.2997,91.5281,96.1368,96.1538,90.7167,98.165
Jammu & Kashmir,age_18_21,01,23.6841,18.6786,18.2016,7.8167,25.0894,11.9951,4.5224,10.2964,5.1443,5.4054,11.8293,2.281,95.4776,89.7036,94.8557,94.5946,88.1707,97.719
Jammu & Kashmir,age_below10,01,1.5999,1.2399,1.0813,1.6173,1.3429,1.0773,75.6469,76.7544,73.0872,70.5584,79.4608,71.23,24.3531,23.2456,26.9128,29.4416,20.5392,28.77
Himachal Pradesh,age_10_13,02,0.2664,0.2601,0.2468,0.3868,0.2813,0.1026,2.3563,3.8314,2.5162,0.0,9.8472,1.5502,97.6437,96.1686,97.4838,100.0,90.1528,98.4498
Himachal Pradesh,age_14_17,02,2.4936,2.052,2.182,0.9671,3.0648,0.8393,2.4146,5.598,1.9081,3.3333,10.5864,1.2879,97.5854,94.402,98.0919,96.6667,89.4136,98.7121
Himachal Pradesh,age_18_21,02,21.7285,18.815,21.8303,11.0251,32.2719,13.7735,2.3136,5.4852,2.5778,3.0303,14.2477,2.1875,97.6864,94.5148,97.4222,96.9697,85.7523,97.8125
Himachal Pradesh,age_below10,02,0.5837,0.5202,1.0181,0.9671,0.9553,1.1004,66.8841,72.243,70.8139,71.5976,74.24,69.3053,33.1159,27.757,29.1861,28.4024,25.76,30.6947
Punjab,age_10_13,03,0.2739,0.1443,0.2662,0.0912,0.3387,0.1488,4.6154,9.6274,7.5119,2.2996,15.1216,5.8014,95.3846,90.3726,92.4881,97.7004,84.8784,94.1986
Punjab,age_14_17,03,1.4442,1.1712,1.9499,0.4714,2.9725,1.2348,4.2705,12.8494,7.7352,2.2354,17.9172,6.9586,95.7295,87.1506,92.2648,97.7646,82.0828,93.0414
Punjab,age_18_21,03,20.9288,27.832,23.2509,10.0905,31.8511,25.9091,4.824,16.7726,9.2749,2.5671,21.4544,8.6895,95.176,83.2274,90.7251,97.4329,78.5456,91.3105
Punjab,age_below10,03,1.4318,1.0831,1.1684,1.7261,1.0155,0.9627,72.234,72.9339,73.0105,69.5538,76.0478,71.7643,27.766,27.0661,26.9895,30.4462,23.9522,28.2357
Chandigarh,age_10_13,04,0.4219,0.1393,0.5656,0.0,0.2688,0.1129,3.4483,3.9877,5.1805,0.0,8.0431,1.8574,96.5517,96.0123,94.8195,100.0,91.9569,98.1426
Chandigarh,age_14_17,04,2.5316,1.4856,4.3774,0.5226,4.9652,0.7776,5.4545,2.8986,5.6097,1.5385,12.6233,0.9728,94.5455,97.1014,94.3903,98.4615,87.3767,99.0272
Chandigarh,age_18_21,04,20.2532,15.9239,27.6209,9.2334,35.7132,11.9232,3.8462,5.291,7.6295,0.0,13.5837,0.9543,96.1538,94.709,92.3705,100.0,86.4163,99.0457
Chandigarh,age_below10,04,0.4219,0.8357,1.1392,1.2195,0.9409,1.2344,71.7391,69.541,72.1495,70.0935,72.7273,69.5491,28.2609,30.459,27.8505,29.9065,27.2727,30.4509
Uttarakhand,age_10_13,05,0.4058,0.1333,0.3043,0.0,0.235,0.1732,2.6426,5.3851,3.5065,3.413,12.9178,5.4213,97.3574,94.6149,96.4935,96.587,87.0822,94.5787
Uttarakhand,age_14_17,05,1.0822,1.0218,2.7077,0.3486,2.3602,1.0708,1.006,4.3056,2.4258,1.8237,14.4402,3.6956,98.994,95.6944,97.5742,98.1763,85.5598,96.3044
Uttarakhand,age_18_21,05,13.8992,17.681,29.371,8.4043,37.9256,27.0742,0.885,5.2295,3.5775,1.5306,17.4175,4.8444,99.115,94.7705,96.4225,98.4694,82.5825,95.1556
Uttarakhand,age_below10,05,0.6764,0.8552,0.7494,1.433,0.7215,0.6828,66.8734,71.6909,71.5865,71.3608,75.7465,72.0331,33.1266,28.3091,28.4135,28.6392,24.2535,27.9669
Haryana,age_10_13,06,0.4042,0.2619,0.6979,0.0929,0.6657,0.1879,5.2174,7.2237,4.533,1.7828,14.9283,4.5362,94.7826,92.7763,95.467,98.2172,85.0717,95.4638
Haryana,age_14_17,06,3.1834,2.5146,5.4925,0.73,8.8654,1.7355,6.7138,6.8719,4.4983,1.1745,18.0044,5.3668,93.2862,93.1281,95.5017,98.8255,81.9956,94.6332
Haryana,age_18_21,06,30.7226,22.3844,37.1979,13.0542,53.7023,27.4681,5.9259,7.3099,5.9069,1.4752,22.1783,7.3217,94.0741,92.6901,94.0931,98.5248,77.8217,92.6783
Haryana,age_below10,06,0.859,1.0627,0.9334,1.3074,0.9192,0.8651,77.2778,74.4484,72.5907,71.1701,78.4816,71.7317,22.7222,25.5516,27.4093,28.8299,21.5184,28.2683
NCT of Delhi,age_10_13,07,0.6972,0.125,0.4219,0.0335,0.303,0.0636,1.9787,2.8784,3.7681,1.5631,8.4827,2.8975,98.0213,97.1216,96.2319,98.4369,91.5173,97.1025
NCT of Delhi,age_14_17,07,2.9412,1.0136,3.8022,0.5946,3.7855,0.8372,2.8169,1.8333,3.4157,0.8697,10.3011,2.3959,97.1831,98.1667,96.5843,99.1303,89.6989,97.6041
NCT of Delhi,age_18_21,07,20.5011,10.3802,26.4232,10.9204,31.5624,11.3521,4.4271,2.5278,4.7751,0.6649,13.7772,2.6528,95.5729,97.4722,95.2249,99.3351,86.2228,97.3472
NCT of Delhi,age_below10,07,1.0458,1.2527,1.3681,1.5995,1.2318,1.3524,73.0686,69.0438,72.1146,70.6318,73.985,70.6806,26.9314,30.9562,27.8854,29.3682,26.015,29.3194
Rajasthan,age_10_13,08,1.7133,0.7299,2.5523,0.1742,1.7132,0.2021,3.9877,6.2809,6.7007,1.8661,12.1447,5.3043,96.0123,93.7191,93.2993,98.1339,87.8553,94.6957
Rajasthan,age_14_17,08,10.346,3.9416,10.8327,2.0691,9.315,3.1411,4.1812,5.5381,6.1949,1.1818,12.6725,6.2946,95.8188,94.4619,93.8051,98.8182,87.3275,93.7054
Rajasthan,age_18_21,08,41.944,31.399,47.4138,23.4803,47.1283,39.092,4.3478,6.3701,7.6428,1.1705,14.885,8.2587,95.6522,93.6299,92.3572,98.8295,85.115,91.7413
Rajasthan,age_below10,08,1.5157,1.1517,1.835,1.6036,1.5648,0.8712,74.4318,73.849,74.4048,70.9394,77.171,72.0674,25.5682,26.151,25.5952,29.0606,22.829,27.9326
Uttar Pradesh,age_10_13,09,2.477,0.7555,1.2897,0.2341,0.7012,0.3397,9.239,14.5385,8.7141,4.5263,20.6209,6.916,90.761,85.4615,91.2859,95.4737,79.3791,93.084
Uttar Pradesh,age_14_17,09,8.0605,3.4584,6.3771,1.2193,3.8451,1.239,7.9204,13.9991,8.3577,3.2157,22.078,5.8902,92.0796,86.0009,91.6423,96.7843,77.922,94.1098
Uttar Pradesh,age_18_21,09,50.4318,34.5998,49.4319,19.6409,45.1246,30.1298,8.7001,14.5726,10.0858,3.3073,24.2567,6.4042,91.2999,85.4274,89.9142,96.6927,75.7433,93.5958
Uttar Pradesh,age_below10,09,1.97,1.1617,1.3335,1.3852,1.0998,1.0319,74.0518,75.1133,73.3961,71.0769,77.4069,72.7363,25.9482,24.8867,26.6039,28.9231,22.5931,27.2637
Bihar,age_10_13,10,0.5113,0.506,0.4903,0.1971,0.2606,0.3193,8.9019,14.7163,13.3691,11.432,20.6826,9.7915,91.0981,85.2837,86.6309,88.568,79.3174,90.2085
Bihar,age_14_17,10,5.1625,3.1925,5.0973,2.2777,2.4907,2.7222,6.5963,16.1533,14.61,8.522,23.8845,9.2805,93.4037,83.8467,85.39,91.478,76.1155,90.7195
Bihar,age_18_21,10,48.062,36.4013,47.9746,24.3101,38.3303,26.3821,9.751,19.8908,18.007,10.1983,28.0971,11.8896,90.249,80.1092,81.993,89.8017,71.9029,88.1104
Bihar,age_below10,10,1.237,1.1106,1.0774,1.0951,1.0953,1.2099,74.6273,76.4925,76.0008,73.3879,78.8858,73.8591,25.3727,23.5075,23.9992,26.6121,21.1142,26.1409
Sikkim,age_10_13,11,0.3541,0.3254,0.4512,0.0,0.5127,0.1654,4.5849,4.8692,5.2058,6.6667,9.5823,6.25,95.4151,95.1308,94.7942,93.3333,90.4177,93.75
Sikkim,age_14_17,11,3.3987,4.6109,3.9261,4.5977,5.5751,0.4963,3.5873,3.4277,4.1642,0.0,14.1104,0.0,96.4127,96.5723,95.8358,100.0,85.8896,100.0
Sikkim,age_18_21,11,22.5246,25.0831,24.2609,16.092,33.3867,9.6774,4.2153,3.3594,5.0133,0.0,20.4545,0.0,95.7847,96.6406,94.9867,100.0,79.5455,100.0
Sikkim,age_below10,11,0.8322,0.9,0.8104,0.0,0.8651,0.9926,69.2979,70.2164,70.2,65.5172,72.2222,72.9167,30.7021,29.7836,29.8,34.4828,27.7778,27.0833
Arunachal Pradesh,age_10_13,12,0.2235,0.4652,0.3947,0.6024,0.4513,0.0471,15.4479,18.4173,15.3266,24.3243,19.616,15.3846,84.5521,81.5827,84.6734,75.6757,80.384,84.6154
