state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_buddhist_male,CMPR_christian_female,CMPR_christian_male,CMPR_hindu_female,CMPR_hindu_male,CMPR_jain_female,CMPR_jain_male,CMPR_muslim_female,CMPR_muslim_male,CMPR_sikh_female,CMPR_sikh_male,Illiteracy_rate_buddhist_female,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_female,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_female,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_female,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_female,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_female,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_female,Literacy_rate_buddhist_male,Literacy_rate_christian_female,Literacy_rate_christian_male,Literacy_rate_hindu_female,Literacy_rate_hindu_male,Literacy_rate_jain_female,Literacy_rate_jain_male,Literacy_rate_muslim_female,Literacy_rate_muslim_male,Literacy_rate_sikh_female,Literacy_rate_sikh_male,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
INDIA,age_10_13,00,31.2187,29.911,31.753,20.1484,38.2017,32.2122,1.8778,0.428,0.5756,0.161,2.7544,0.6904,1.0465,0.2003,2.3186,0.4018,0.5192,0.1628,5.002,4.121,7.8626,7.4002,9.1712,6.8535,2.5401,2.3943,15.2837,13.6463,6.3194,5.5777,94.998,95.879,92.1374,92.5998,90.8288,93.1465,97.4599,97.6057,84.7163,86.3537,93.6806,94.4223,8.3449,11.0273,10.3152,13.7193,8.6126,8.7927
INDIA,age_14_17,00,4.086,6.399,5.0771,0.8092,8.8292,3.0164,16.9607,2.209,7.5265,0.9671,21.0571,4.1578,9.4042,1.0403,22.1106,3.0025,7.6595,1.3216,4.9591,3.5903,6.8928,5.8984,10.3335,6.7906,1.7887,1.6124,17.0667,14.5687,7.0512,6.4795,95.0409,96.4097,93.1072,94.1016,89.6665,93.2094,98.2113,98.3876,82.9333,85.4313,92.9488,93.5205,43.9989,40.4396,40.1975,39.9602,36.2662,39.2494
INDIA,age_18_21,00,4.3706,5.3031,4.9239,0.8226,8.4651,1.9323,42.2008,25.3127,33.3372,14.3613,43.2743,34.1897,38.258,15.1268,45.1655,32.7864,46.2517,25.6065,6.7801,4.1814,9.4682,6.8516,15.9494,8.2754,1.9104,1.6954,22.4018,16.6241,8.6841,8.0667,93.2199,95.8186,90.5318,93.1484,84.0506,91.7246,98.0896,98.3046,77.5982,83.3759,91.3159,91.9333,18.4437,15.5997,18.3959,4.6533,19.52,13.3747
INDIA,age_below10,00,95.3897,93.8607,94.0664,94.8019,93.6382,95.0401,2.1481,1.8207,1.2252,1.0548,2.0751,1.384,1.6604,2.0321,1.8192,1.2833,0.8973,0.9958,72.7991,72.5691,74.2148,74.2474,74.0119,73.4259,71.055,70.6235,76.7978,76.2632,72.6962,71.7777,27.2009,27.4309,25.7852,25.7526,25.9881,26.5741,28.945,29.3765,23.2022,23.7368,27.3038,28.2223,0.0,0.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,age_10_13,01,39.442,35.1798,28.3998,20.0,29.3139,24.3016,1.3093,1.0456,1.0915,0.2126,1.3979,0.229,0.657,0.1348,1.2589,0.389,0.8189,0.1895,6.8875,7.1788,11.4458,9.2066,7.2572,4.4291,8.5366,3.4091,17.7206,12.3682,3.5076,3.2032,93.1125,92.8212,88.5542,90.7934,92.7428,95.5709,91.4634,96.5909,82.2794,87.6318,96.4924,96.7968,7.5761,8.8435,9.7633,12.0,10.5342,11.4103
Jammu & Kashmir,age_14_17,01,3.8081,4.1958,2.0106,0.0,2.3474,0.7875,6.5215,3.6283,12.2962,1.5411,13.4342,1.3499,2.8909,0.4043,10.9332,2.6455,8.4506,0.6278,5.1657,3.7003,10.4651,8.4719,8.5049,3.8632,6.9444,3.8462,18.6874,9.2833,2.4956,1.835,94.8343,96.2997,89.5349,91.5281,91.4951,96.1368,93.0556,96.1538,81.3126,90.7167,97.5044,98.165,44.5891,44.2557,46.3589,29.8507,47.9625,42.9199
Jammu & Kashmir,age_18_21,01,3.6716,3.6247,1.3839,0.0,2.1327,0.5357,30.8211,23.6841,38.6709,18.6786,41.1598,18.2016,40.2102,7.8167,39.3232,25.0894,38.3778,11.9951,8.7483,4.5224,14.4161,10.2964,11.5282,5.1443,4.7619,5.4054,26.288,11.8293,1.9895,2.281,91.2517,95.4776,85.5839,89.7036,88.4718,94.8557,95.2381,94.5946,73.712,88.1707,98.0105,97.719,21.2647,25.5864,22.3914,15.0,25.8341,9.7547
Jammu & Kashmir,age_below10,01,94.6911,96.5167,95.6641,90.4762,93.3409,94.877,1.8402,1.5999,1.1191,1.2399,1.0322,1.0813,0.3942,1.6173,1.3288,1.3429,1.0632,1.0773,75.5017,75.6469,76.2496,76.7544,74.1316,73.0872,73.0769,70.5584,79.6899,79.4608,70.87,71.23,24.4983,24.3531,23.7504,23.2456,25.8684,26.9128,26.9231,29.4416,20.3101,20.5392,29.13,28.77,0.0,0.0,0.0,0.0,0.0,0.0
Himachal Pradesh,age_10_13,02,32.4419,26.5033,20.0635,15.7895,32.6678,24.1061,0.4235,0.2664,1.2999,0.2601,1.5399,0.2468,0.3731,0.3868,1.7111,0.2813,0.7439,0.1026,2.3368,2.3563,4.0598,3.8314,2.9221,2.5162,3.3898,0.0,15.0196,9.8472,1.96,1.5502,97.6632,97.6437,95.9402,96.1686,97.0779,97.4838,96.6102,100.0,84.9804,90.1528,98.04,98.4498,7.741,11.3586,11.195,10.5263,6.711,11.188
Himachal Pradesh,age_14_17,02,3.1866,2.4194,1.1713,0.0,5.25,0.9947,7.3776,2.4936,10.8945,2.052,14.3507,2.182,2.7985,0.9671,18.3475,3.0648,8.6375,0.8393,2.1536,2.4146,7.4627,5.598,2.2372,1.9081,0.0,3.3333,16.2888,10.5864,1.539,1.2879,97.8464,97.5854,92.5373,94.402,97.7628,98.0919,100.0,96.6667,83.7112,89.4136,98.461,98.7121,42.7727,46.7742,45.3418,44.4444,36.25,44.405
