state_name,age_bracket,state_code,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female
INDIA,age_10_13,00,3.7586,3.5141,4.336,3.6828,4.8694,3.5244,0.8819,1.6873,3.1245,2.5728,2.6949,6.5671
INDIA,age_14_17,00,29.0924,29.2268,27.7041,26.2404,30.5792,25.1872,12.7786,21.9889,23.7051,18.6532,26.1872,49.2396
INDIA,age_18_21,00,52.4187,49.5815,51.9173,48.7175,49.2264,48.7273,52.285,53.0058,48.828,42.0462,51.942,98.6262
INDIA,age_below10,00,2.7802,2.1135,2.969,2.4063,2.697,2.5722,1.6456,1.7478,2.1559,2.0436,1.9806,4.6227
Jammu & Kashmir,age_10_13,01,1.4026,1.9546,1.7619,1.4437,1.9782,1.2271,0.5416,0.9349,0.6196,0.9945,1.4779,1.5481
Jammu & Kashmir,age_14_17,01,12.9055,17.9103,17.0554,10.9277,16.2793,10.525,5.6141,10.9354,13.4001,7.8267,16.7285,13.4459
Jammu & Kashmir,age_18_21,01,48.6601,44.2974,50.7109,43.0566,47.6196,37.2333,38.1613,45.8666,44.112,30.8405,48.7643,44.4565
Jammu & Kashmir,age_below10,01,1.763,1.3339,1.3776,1.6671,1.3446,1.5569,1.3647,1.2432,1.3245,1.6029,1.1387,1.3511
Himachal Pradesh,age_10_13,02,2.3204,3.3689,2.2831,1.7617,5.7679,2.0144,0.2574,0.5753,3.0698,1.3827,1.641,2.5582
Himachal Pradesh,age_14_17,02,23.2486,29.7662,21.0389,18.1995,32.5522,18.7196,4.5878,14.0014,19.3388,12.962,23.4297,19.4709
Himachal Pradesh,age_18_21,02,52.1825,51.6791,55.3079,51.5744,47.0505,51.3404,54.7706,62.4171,47.8688,42.2926,58.5601,51.2549
Himachal Pradesh,age_below10,02,1.4632,1.3553,1.3967,1.3178,2.1043,1.3432,0.9135,1.0148,1.5571,1.2091,1.1421,1.4428
