state_name,age_bracket,state_code,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male
INDIA,age_10_13,00,0.6081,0.7068,0.9013,0.6452,1.0818,0.607,0.4389,0.676,1.1848,0.432,0.749,1.4142
INDIA,age_14_17,00,4.5661,4.7522,5.4545,3.8247,6.6393,3.8427,2.7194,4.31,6.4598,2.6061,4.7461,8.7022
INDIA,age_18_21,00,43.4047,37.5102,43.0124,33.9061,43.9337,34.4553,28.7955,37.2952,31.2825,25.843,39.1372,70.4785
INDIA,age_below10,00,1.3453,1.3304,1.3718,1.4703,1.396,1.4271,1.4449,1.2987,1.4624,1.4903,1.3406,2.8473
Jammu & Kashmir,age_10_13,01,0.3725,0.3458,0.331,0.4309,0.4453,0.3246,0.2826,0.3433,0.2201,0.3148,0.369,0.3587
Jammu & Kashmir,age_14_17,01,2.7905,3.2486,2.7225,2.9043,3.2152,2.0609,1.4929,2.5848,3.0458,1.7565,2.9816,2.3618
Jammu & Kashmir,age_18_21,01,28.7247,29.5341,29.5787,25.9971,29.5452,22.5314,19.3827,25.1597,23.4084,19.6141,28.1792,23.8902
Jammu & Kashmir,age_below10,01,1.3948,1.1995,1.2114,1.4544,1.2235,1.2921,1.3084,1.3409,1.1395,1.3037,1.2315,1.2849
Himachal Pradesh,age_10_13,02,0.2887,0.5342,0.3115,0.2247,0.7625,0.2397,0.1366,0.2114,0.5819,0.1955,0.3457,0.2994
Himachal Pradesh,age_14_17,02,3.1781,5.1243,3.4285,2.2568,6.4494,2.3118,0.8655,2.1997,4.201,1.6157,3.8444,2.6076
Himachal Pradesh,age_18_21,02,29.5684,36.17,31.6075,21.2049,35.5583,23.6261,16.5187,26.5256,24.2365,18.7227,33.4524,23.7977
Himachal Pradesh,age_below10,02,0.9346,0.9368,0.8899,1.3627,0.9071,1.0287,1.1585,1.0264,1.0362,1.105,0.9519,1.0524
