CMPR_total_male,CMPR_total_female,state_code,state_name,age_bracket,CMPR_illiterate_male,CMPR_illiterate_female,CMPR_below_primary_male,CMPR_below_primary_female,CMPR_primary_male,CMPR_primary_female,CMPR_middle_male,CMPR_middle_female,CMPR_matric_male,CMPR_matric_female,CMPR_main_workers_male,CMPR_main_workers_female,CMPR_cultivators_male,CMPR_cultivators_female,CMPR_agri_labourers_male,CMPR_agri_labourers_female,CMPR_household_industry_male,CMPR_household_industry_female,CMPR_other_workers_male,CMPR_other_workers_female,CMPR_non_workers_male,CMPR_non_workers_female
1.4142,6.5671,00,INDIA,age_10_13,1.0818,4.8694,0.7068,3.5141,0.749,2.6949,0.676,1.6873,0.4389,0.8819,0.607,3.5244,0.9013,4.336,0.6081,3.7586,0.6452,3.6828,0.432,2.5728,1.1848,3.1245
8.7022,49.2396,00,INDIA,age_14_17,6.6393,30.5792,4.7522,29.2268,4.7461,26.1872,4.31,21.9889,2.7194,12.7786,3.8427,25.1872,5.4545,27.7041,4.5661,29.0924,3.8247,26.2404,2.6061,18.6532,6.4598,23.7051
70.4785,98.6262,00,INDIA,age_18_21,43.9337,49.2264,37.5102,49.5815,39.1372,51.942,37.2952,53.0058,28.7955,52.285,34.4553,48.7273,43.0124,51.9173,43.4047,52.4187,33.9061,48.7175,25.843,42.0462,31.2825,48.828
2.8473,4.6227,00,INDIA,age_below10,1.396,2.697,1.3304,2.1135,1.3406,1.9806,1.2987,1.7478,1.4449,1.6456,1.4271,2.5722,1.3718,2.969,1.3453,2.7802,1.4703,2.4063,1.4903,2.0436,1.4624,2.1559
0.3587,1.5481,01,JAMMU & KASHMIR,age_10_13,0.4453,1.9782,0.3458,1.9546,0.369,1.4779,0.3433,0.9349,0.2826,0.5416,0.3246,1.2271,0.331,1.7619,0.3725,1.4026,0.4309,1.4437,0.3148,0.9945,0.2201,0.6196
2.3618,13.4459,01,JAMMU & KASHMIR,age_14_17,3.2152,16.2793,3.2486,17.9103,2.9816,16.7285,2.5848,10.9354,1.4929,5.6141,2.0609,10.525,2.7225,17.0554,2.7905,12.9055,2.9043,10.9277,1.7565,7.8267,3.0458,13.4001
23.8902,44.4565,01,JAMMU & KASHMIR,age_18_21,29.5452,47.6196,29.5341,44.2974,28.1792,48.7643,25.1597,45.8666,19.3827,38.1613,22.5314,37.2333,29.5787,50.7109,28.7247,48.6601,25.9971,43.0566,19.6141,30.8405,23.4084,44.112
1.2849,1.3511,01,JAMMU & KASHMIR,age_below10,1.2235,1.3446,1.1995,1.3339,1.2315,1.1387,1.3409,1.2432,1.3084,1.3647,1.2921,1.5569,1.2114,1.3776,1.3948,1.763,1.4544,1.6671,1.3037,1.6029,1.1395,1.3245
0.2994,2.5582,02,HIMACHAL PRADESH,age_10_13,0.7625,5.7679,0.5342,3.3689,0.3457,1.641,0.2114,0.5753,0.1366,0.2574,0.2397,2.0144,0.3115,2.2831,0.2887,2.3204,0.2247,1.7617,0.1955,1.3827,0.5819,3.0698
2.6076,19.4709,02,HIMACHAL PRADESH,age_14_17,6.4494,32.5522,5.1243,29.7662,3.8444,23.4297,2.1997,14.0014,0.8655,4.5878,2.3118,18.7196,3.4285,21.0389,3.1781,23.2486,2.2568,18.1995,1.6157,12.962,4.201,19.3388
