state_name,age_bracket,state_code,Below_primary_share_SC_male,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_male,Child_labour_dropout_SC_male,Dropout_rate_SC_male,Illiteracy_rate_SC_male,Literacy_rate_SC_male,School_attendance_rate_SC_male
INDIA,age_10_13,00,46.5915,1.0214,1.8308,78.0205,18.5768,18.5768,16.5885,83.4115,81.4232
INDIA,age_14_17,00,12.3328,6.4476,17.2513,56.1122,25.3971,25.3971,17.4755,82.5245,74.6029
INDIA,age_18_21,00,10.8641,41.5763,61.7307,30.7135,30.4465,30.4465,20.2711,79.7289,69.5535
INDIA,age_below10,00,96.6419,0.0,0.0,55.541,43.9251,43.9251,77.5504,22.4496,56.0749
Jammu & Kashmir,age_10_13,01,44.801,1.288,1.7105,85.3659,12.7894,12.7894,12.3932,87.6068,87.2106
Jammu & Kashmir,age_14_17,01,6.5463,2.8402,7.3073,66.7301,22.7601,22.7601,12.0861,87.9139,77.2399
Jammu & Kashmir,age_18_21,01,5.1402,21.3314,39.7365,33.275,38.9004,38.9004,14.8225,85.1775,61.0996
Jammu & Kashmir,age_below10,01,96.3116,0.0,0.0,62.3185,37.3154,37.3154,76.474,23.526,62.6846
Himachal Pradesh,age_10_13,02,47.6198,0.5065,0.7338,95.7245,3.3348,3.3348,2.5482,97.4518,96.6652
Himachal Pradesh,age_14_17,02,6.866,2.189,7.3785,81.5495,10.0182,10.0182,3.4864,96.5136,89.9818
Himachal Pradesh,age_18_21,02,5.9594,27.9053,50.5952,51.5564,22.5267,22.5267,5.6155,94.3845,77.4733
Himachal Pradesh,age_below10,02,98.7418,0.0,0.0,71.9452,27.8318,27.8318,71.0356,28.9644,72.1682
Punjab,age_10_13,03,53.838,1.4186,1.7428,79.6064,16.3984,16.3984,15.6144,84.3856,83.6016
Punjab,age_14_17,03,8.704,3.5996,7.671,53.2098,24.3633,24.3633,19.0744,80.9256,75.6367
Punjab,age_18_21,03,6.3589,31.5319,48.1977,23.3445,29.8825,29.8825,23.3781,76.6219,70.1175
Punjab,age_below10,03,97.7102,0.0,0.0,58.9547,40.5225,40.5225,75.2742,24.7258,59.4775
Chandigarh,age_10_13,04,51.4255,0.4817,0.8242,85.4305,12.4763,12.4763,11.2346,88.7654,87.5237
Chandigarh,age_14_17,04,7.6736,4.157,9.4346,65.0267,18.2219,18.2219,12.1925,87.8075,81.7781
Chandigarh,age_18_21,04,4.1542,38.0989,53.408,35.0906,23.3163,23.3163,14.4682,85.5318,76.6837
Chandigarh,age_below10,04,97.681,0.0,0.0,66.4227,33.2066,33.2066,74.8233,25.1767,66.7934
State - UTTARANCHAL  05,age_10_13,05,51.4348,0.3774,0.8033,91.08,7.6426,7.6426,6.5148,93.4852,92.3574
State - UTTARANCHAL  05,age_14_17,05,8.141,2.6375,10.6334,72.204,18.6972,18.6972,7.6081,92.3919,81.3028
State - UTTARANCHAL  05,age_18_21,05,5.7591,35.5354,57.949,42.9475,31.5086,31.5086,11.5434,88.4566,68.4914
State - UTTARANCHAL  05,age_below10,05,97.4562,0.0,0.0,65.1133,34.6464,34.6464,74.8148,25.1852,65.3536
Haryana,age_10_13,06,58.8152,0.8812,1.6,82.7325,14.6391,14.6391,12.6821,87.3179,85.3609
