state_name,age_bracket,state_code,Below_primary_share_SC_female,Below_primary_share_SC_male,CMPR_SC_female,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_attending_SC_male,Child_labour_dropout_SC_female,Child_labour_dropout_SC_male,Dropout_rate_SC_female,Dropout_rate_SC_male,Illiteracy_rate_SC_female,Illiteracy_rate_SC_male,Literacy_rate_SC_female,Literacy_rate_SC_male,Non_worker_dropout_SC_female,School_attendance_rate_SC_female,School_attendance_rate_SC_male
INDIA,age_10_13,00,48.0564,46.5915,2.7449,1.0214,1.8308,67.2683,78.0205,30.0558,18.5768,30.0558,18.5768,27.1296,16.5885,72.8704,83.4115,0.0,69.9442,81.4232
INDIA,age_14_17,00,14.6607,12.3328,30.4066,6.4476,17.2513,42.7187,56.1122,47.6199,25.3971,47.6199,25.3971,31.5091,17.4755,68.4909,82.5245,0.0,52.3801,74.6029
INDIA,age_18_21,00,13.357,10.8641,82.6548,41.5763,61.7307,17.2459,30.7135,65.6162,30.4465,65.6162,30.4465,41.1352,20.2711,58.8648,79.7289,0.0,34.3838,69.5535
INDIA,age_below10,00,96.7116,96.6419,0.0,0.0,0.0,51.1227,55.541,48.5053,43.9251,48.5053,43.9251,79.8967,77.5504,20.1033,22.4496,0.0,51.4947,56.0749
Jammu & Kashmir,age_10_13,01,42.5282,44.801,2.1628,1.288,1.7105,75.9998,85.3659,22.5863,12.7894,22.5863,12.7894,22.0109,12.3932,77.9891,87.6068,0.0,77.4137,87.2106
Jammu & Kashmir,age_14_17,01,6.1372,6.5463,12.0988,2.8402,7.3073,54.7707,66.7301,41.5393,22.7601,41.5393,22.7601,22.5717,12.0861,77.4283,87.9139,0.0,58.4607,77.2399
Jammu & Kashmir,age_18_21,01,4.1572,5.1402,60.9801,21.3314,39.7365,25.3536,33.275,68.0243,38.9004,68.0243,38.9004,27.8725,14.8225,72.1275,85.1775,0.0,31.9757,61.0996
Jammu & Kashmir,age_below10,01,95.9787,96.3116,0.0,0.0,0.0,56.3979,62.3185,43.3403,37.3154,43.3403,37.3154,78.311,76.474,21.689,23.526,0.0,56.6597,62.6846
Himachal Pradesh,age_10_13,02,48.5755,47.6198,0.9686,0.5065,0.7338,93.2283,95.7245,5.7037,3.3348,5.7037,3.3348,4.7823,2.5482,95.2177,97.4518,0.0,94.2963,96.6652
Himachal Pradesh,age_14_17,02,7.4697,6.866,13.0177,2.189,7.3785,73.8256,81.5495,19.4048,10.0182,19.4048,10.0182,7.7116,3.4864,92.2884,96.5136,0.0,80.5952,89.9818
Himachal Pradesh,age_18_21,02,6.258,5.9594,73.7808,27.9053,50.5952,36.1877,51.5564,44.8826,22.5267,44.8826,22.5267,13.71,5.6155,86.29,94.3845,0.0,55.1174,77.4733
Himachal Pradesh,age_below10,02,98.7322,98.7418,0.0,0.0,0.0,69.9505,71.9452,29.8533,27.8318,29.8533,27.8318,71.5393,71.0356,28.4607,28.9644,0.0,70.1467,72.1682
Punjab,age_10_13,03,51.0145,53.838,2.1083,1.4186,1.7428,76.0823,79.6064,22.3386,16.3984,22.3386,16.3984,18.5898,15.6144,81.4102,84.3856,0.0,77.6614,83.6016
Punjab,age_14_17,03,8.351,8.704,12.5657,3.5996,7.671,49.0287,53.2098,44.2009,24.3633,44.2009,24.3633,22.2136,19.0744,77.7864,80.9256,0.0,55.7991,75.6367
