state_name,age_bracket,state_code,Below_primary_share_ST_female,Below_primary_share_ST_male,CMPR_ST_female,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_attending_ST_male,Child_labour_dropout_ST_female,Child_labour_dropout_ST_male,Dropout_rate_ST_female,Dropout_rate_ST_male,Illiteracy_rate_ST_female,Illiteracy_rate_ST_male,Literacy_rate_ST_female,Literacy_rate_ST_male,Non_worker_dropout_ST_female,School_attendance_rate_ST_female,School_attendance_rate_ST_male
INDIA,age_10_13,00,52.8219,50.7693,1.8396,0.6653,1.2277,56.167,70.2798,38.572,24.3703,38.572,24.3703,37.9838,23.6971,62.0162,76.3029,0.0,61.428,75.6297
INDIA,age_14_17,00,20.0523,17.3272,25.6458,6.2144,15.5724,35.7631,50.7178,46.621,26.8434,46.621,26.8434,42.5217,24.3882,57.4783,75.6118,0.0,53.379,73.1566
INDIA,age_18_21,00,18.1891,15.7289,77.6641,45.712,62.2182,17.4304,30.2975,53.8085,27.984,53.8085,27.984,51.9632,27.241,48.0368,72.759,0.0,46.1915,72.016
INDIA,age_below10,00,97.055,97.0161,0.0,0.0,0.0,44.3857,51.2643,54.8824,47.965,54.8824,47.965,83.3916,80.1779,16.6084,19.8221,0.0,45.1176,52.035
Jammu & Kashmir,age_10_13,01,48.4503,49.57,2.3283,1.2152,1.7439,43.9825,62.4144,53.0743,33.2254,53.0743,33.2254,55.0534,36.2545,44.9466,63.7455,0.0,46.9257,66.7746
Jammu & Kashmir,age_14_17,01,9.606,9.5892,17.4255,4.9816,10.821,33.31,51.6838,58.9219,32.0708,58.9219,32.0708,56.8371,36.1175,43.1629,63.8825,0.0,41.0781,67.9292
Jammu & Kashmir,age_18_21,01,5.823,6.162,65.9282,34.3055,49.5119,20.3851,31.2192,66.6796,34.9932,66.6796,34.9932,61.9189,38.8224,38.0811,61.1776,0.0,33.3204,65.0068
Jammu & Kashmir,age_below10,01,91.1321,92.8652,0.0,0.0,0.0,30.5973,40.0658,68.7272,58.9887,68.7272,58.9887,88.5149,84.4266,11.4851,15.5734,0.0,31.2728,41.0113
Himachal Pradesh,age_10_13,02,45.3739,42.0537,0.8745,0.5858,0.7289,90.1977,94.7623,8.6738,4.132,8.6738,4.132,7.1417,3.5671,92.8583,96.4329,0.0,91.3262,95.868
Himachal Pradesh,age_14_17,02,7.5039,5.2053,10.6683,2.9841,6.8529,69.1678,83.2959,23.4207,8.7409,23.4207,8.7409,12.1379,4.6093,87.8621,95.3907,0.0,76.5793,91.2591
Himachal Pradesh,age_18_21,02,7.4038,5.3867,62.1749,28.5208,45.3364,39.5671,54.4328,39.9961,18.6798,39.9961,18.6798,20.4563,7.6461,79.5437,92.3539,0.0,60.0039,81.3202
Himachal Pradesh,age_below10,02,98.5869,98.3903,0.0,0.0,0.0,68.6908,72.1681,31.0439,27.6237,31.0439,27.6237,71.489,70.6447,28.511,29.3553,0.0,68.9561,72.3763
