state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
INDIA,age_below10,00,97.277,96.0714,96.5072,96.3508,95.1018,97.3683,74.5376,77.115,78.3451,69.8147,81.5382,72.3682,25.4624,22.885,21.6549,30.1853,18.4618,27.6318,0.0,0.0,0.0,0.0,0.0,0.0
INDIA,age_10_13,00,37.372,34.4128,41.1577,24.2432,47.3565,42.5514,8.9318,14.3094,22.1867,1.7797,30.0052,11.3285,91.0682,85.6906,77.8133,98.2203,69.9948,88.6715,5.8034,8.9225,7.0882,12.9119,5.7851,5.782
INDIA,age_14_17,00,8.0336,8.2926,10.4522,1.6451,14.9335,5.2762,9.9364,12.3583,23.9937,1.554,31.5615,13.2288,90.0636,87.6417,76.0063,98.446,68.4385,86.7712,41.7801,38.8387,35.8943,40.5937,31.384,38.2232
INDIA,age_18_21,00,8.5651,6.8206,9.5143,1.8814,12.854,3.6203,14.982,14.3333,30.5605,1.9911,35.7161,16.9787,85.018,85.6667,69.4395,98.0089,64.2839,83.0213,25.3902,19.786,20.1688,8.2272,21.4448,17.576
Jammu & Kashmir,age_below10,01,94.7771,96.4286,95.696,90.9091,92.2759,95.5205,76.4853,77.1787,76.8485,75.9563,82.9265,68.9699,23.5147,22.8213,23.1515,24.0437,17.0735,31.0301,0.0,0.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,age_10_13,01,43.9851,47.069,37.0936,21.1765,36.633,29.3121,18.2547,20.5479,18.2026,6.5934,40.2203,5.2529,81.7453,79.4521,81.7974,93.4066,59.7797,94.7471,5.2791,5.8621,7.478,15.2941,5.0561,10.2028
Jammu & Kashmir,age_14_17,01,6.2835,9.4162,4.2401,3.4091,4.055,1.6515,16.933,20.7463,17.8867,15.3846,43.0579,5.6705,83.067,79.2537,82.1133,84.6154,56.9421,94.3295,41.3054,41.0546,45.4696,37.5,46.2454,49.5706
Jammu & Kashmir,age_18_21,01,3.7809,6.2241,2.8974,5.0,3.2048,1.5267,22.7919,21.7532,20.5166,9.0909,50.8297,6.2053,77.2081,78.2468,79.4834,90.9091,49.1703,93.7947,32.3316,31.5353,34.1701,15.0,24.1852,25.9825
Himachal Pradesh,age_below10,02,98.1828,97.7143,98.3829,96.5517,98.4656,98.2933,68.4805,73.8416,70.1252,67.0455,77.4148,68.6087,31.5195,26.1584,29.8748,32.9545,22.5852,31.3913,0.0,0.0,0.0,0.0,0.0,0.0
Himachal Pradesh,age_10_13,02,42.7756,33.3333,39.9652,24.0,55.1886,35.4422,2.9163,7.3684,3.5332,1.9608,21.7839,2.5173,97.0837,92.6316,96.4668,98.0392,78.2161,97.4827,4.7161,8.3333,5.1205,10.0,3.102,6.1653
