state_name,age_bracket,state_code,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_male,Literacy_rate_christian_male,Literacy_rate_hindu_male,Literacy_rate_jain_male,Literacy_rate_muslim_male,Literacy_rate_sikh_male
INDIA,age_below10,00,74.0724,76.5939,76.2442,70.2542,79.8965,72.3616,25.9276,23.4061,23.7558,29.7458,20.1035,27.6384
INDIA,age_10_13,00,5.9207,12.3293,12.784,1.2856,23.3147,8.6647,94.0793,87.6707,87.216,98.7144,76.6853,91.3353
INDIA,age_14_17,00,5.94,10.0532,12.6788,1.1583,23.6582,10.3962,94.06,89.9468,87.3212,98.8417,76.3418,89.6038
INDIA,age_18_21,00,6.9654,10.4613,14.1549,1.4531,24.7876,13.1542,93.0346,89.5387,85.8451,98.5469,75.2124,86.8458
Jammu & Kashmir,age_below10,01,75.4902,76.3214,75.189,74.5455,79.3189,69.7962,24.5098,23.6786,24.811,25.4545,20.6811,30.2038
Jammu & Kashmir,age_10_13,01,12.3551,16.1168,9.4045,5.6075,25.6327,3.7053,87.6449,83.8832,90.5955,94.3925,74.3673,96.2947
Jammu & Kashmir,age_14_17,01,10.7292,16.3328,8.5919,4.1667,23.6939,3.4762,89.2708,83.6672,91.4081,95.8333,76.3061,96.5238
Jammu & Kashmir,age_18_21,01,11.4878,16.9399,10.4809,6.25,27.9844,4.6684,88.5122,83.0601,89.5191,93.75,72.0156,95.3316
Himachal Pradesh,age_below10,02,67.9565,74.9656,70.0305,72.4409,74.9469,68.288,32.0435,25.0344,29.9695,27.5591,25.0531,31.712
Himachal Pradesh,age_10_13,02,2.5195,7.047,1.9514,0.0,11.4723,2.0694,97.4805,92.953,98.0486,100.0,88.5277,97.9306
Himachal Pradesh,age_14_17,02,3.635,10.7884,2.6275,0.0,16.5655,2.9324,96.365,89.2116,97.3725,100.0,83.4345,97.0676
Himachal Pradesh,age_18_21,02,6.7916,11.1675,4.5158,6.25,25.9016,3.338,93.2084,88.8325,95.4842,93.75,74.0984,96.662
Punjab,age_below10,03,72.4847,76.5267,73.1114,69.1738,78.0309,72.3116,27.5153,23.4733,26.8886,30.8262,21.9691,27.6884
Punjab,age_10_13,03,7.4127,19.0086,9.4844,2.3159,22.9249,9.1248,92.5873,80.9914,90.5156,97.6841,77.0751,90.8752
Punjab,age_14_17,03,7.2989,22.4828,11.0891,1.9512,28.8282,11.1243,92.7011,77.5172,88.9109,98.0488,71.1718,88.8757
