state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_female,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_female,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_female,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_female,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_female,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_female,Literacy_rate_buddhist_male,Literacy_rate_christian_female,Literacy_rate_christian_male,Literacy_rate_hindu_female,Literacy_rate_hindu_male,Literacy_rate_jain_female,Literacy_rate_jain_male,Literacy_rate_muslim_female,Literacy_rate_muslim_male,Literacy_rate_sikh_female,Literacy_rate_sikh_male,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
INDIA,age_below10,00,97.277,96.0714,96.5072,96.3508,95.1018,97.3683,74.5376,74.0724,77.115,76.5939,78.3451,76.2442,69.8147,70.2542,81.5382,79.8965,72.3682,72.3616,25.4624,25.9276,22.885,23.4061,21.6549,23.7558,30.1853,29.7458,18.4618,20.1035,27.6318,27.6384,0.0,0.0,0.0,0.0,0.0,0.0
INDIA,age_10_13,00,37.372,34.4128,41.1577,24.2432,47.3565,42.5514,8.9318,5.9207,14.3094,12.3293,22.1867,12.784,1.7797,1.2856,30.0052,23.3147,11.3285,8.6647,91.0682,94.0793,85.6906,87.6707,77.8133,87.216,98.2203,98.7144,69.9948,76.6853,88.6715,91.3353,5.8034,8.9225,7.0882,12.9119,5.7851,5.782
INDIA,age_14_17,00,8.0336,8.2926,10.4522,1.6451,14.9335,5.2762,9.9364,5.94,12.3583,10.0532,23.9937,12.6788,1.554,1.1583,31.5615,23.6582,13.2288,10.3962,90.0636,94.06,87.6417,89.9468,76.0063,87.3212,98.446,98.8417,68.4385,76.3418,86.7712,89.6038,41.7801,38.8387,35.8943,40.5937,31.384,38.2232
INDIA,age_18_21,00,8.5651,6.8206,9.5143,1.8814,12.854,3.6203,14.982,6.9654,14.3333,10.4613,30.5605,14.1549,1.9911,1.4531,35.7161,24.7876,16.9787,13.1542,85.018,93.0346,85.6667,89.5387,69.4395,85.8451,98.0089,98.5469,64.2839,75.2124,83.0213,86.8458,25.3902,19.786,20.1688,8.2272,21.4448,17.576
Jammu & Kashmir,age_below10,01,94.7771,96.4286,95.696,90.9091,92.2759,95.5205,76.4853,75.4902,77.1787,76.3214,76.8485,75.189,75.9563,74.5455,82.9265,79.3189,68.9699,69.7962,23.5147,24.5098,22.8213,23.6786,23.1515,24.811,24.0437,25.4545,17.0735,20.6811,31.0301,30.2038,0.0,0.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,age_10_13,01,43.9851,47.069,37.0936,21.1765,36.633,29.3121,18.2547,12.3551,20.5479,16.1168,18.2026,9.4045,6.5934,5.6075,40.2203,25.6327,5.2529,3.7053,81.7453,87.6449,79.4521,83.8832,81.7974,90.5955,93.4066,94.3925,59.7797,74.3673,94.7471,96.2947,5.2791,5.8621,7.478,15.2941,5.0561,10.2028
Jammu & Kashmir,age_14_17,01,6.2835,9.4162,4.2401,3.4091,4.055,1.6515,16.933,10.7292,20.7463,16.3328,17.8867,8.5919,15.3846,4.1667,43.0579,23.6939,5.6705,3.4762,83.067,89.2708,79.2537,83.6672,82.1133,91.4081,84.6154,95.8333,56.9421,76.3061,94.3295,96.5238,41.3054,41.0546,45.4696,37.5,46.2454,49.5706
Jammu & Kashmir,age_18_21,01,3.7809,6.2241,2.8974,5.0,3.2048,1.5267,22.7919,11.4878,21.7532,16.9399,20.5166,10.4809,9.0909,6.25,50.8297,27.9844,6.2053,4.6684,77.2081,88.5122,78.2468,83.0601,79.4834,89.5191,90.9091,93.75,49.1703,72.0156,93.7947,95.3316,32.3316,31.5353,34.1701,15.0,24.1852,25.9825
Himachal Pradesh,age_below10,02,98.1828,97.7143,98.3829,96.5517,98.4656,98.2933,68.4805,67.9565,73.8416,74.9656,70.1252,70.0305,67.0455,72.4409,77.4148,74.9469,68.6087,68.288,31.5195,32.0435,26.1584,25.0344,29.8748,29.9695,32.9545,27.5591,22.5852,25.0531,31.3913,31.712,0.0,0.0,0.0,0.0,0.0,0.0
Himachal Pradesh,age_10_13,02,42.7756,33.3333,39.9652,24.0,55.1886,35.4422,2.9163,2.5195,7.3684,7.047,3.5332,1.9514,1.9608,0.0,21.7839,11.4723,2.5173,2.0694,97.0837,97.4805,92.6316,92.953,96.4668,98.0486,98.0392,100.0,78.2161,88.5277,97.4827,97.9306,4.7161,8.3333,5.1205,10.0,3.102,6.1653
Himachal Pradesh,age_14_17,02,7.7513,7.0866,4.3839,1.7857,10.8124,2.3977,3.6353,3.635,4.5113,10.7884,5.2568,2.6275,1.7544,0.0,29.2824,16.5655,2.9764,2.9324,96.3647,96.365,95.4887,89.2116,94.7432,97.3725,98.2456,100.0,70.7176,83.4345,97.0236,97.0676,42.2635,40.9449,41.4821,35.7143,30.293,42.5599
Himachal Pradesh,age_18_21,02,6.4917,3.5398,3.7619,0.0,6.5925,2.4115,7.476,6.7916,11.0236,11.1675,9.0355,4.5158,5.5556,6.25,40.6132,25.9016,5.0787,3.338,92.524,93.2084,88.9764,88.8325,90.9645,95.4842,94.4444,93.75,59.3868,74.0984,94.9213,96.662,23.5497,23.0088,19.0768,0.0,21.8427,14.8455
Punjab,age_below10,03,98.2309,96.8954,97.0964,96.0809,96.648,97.569,71.6248,72.4847,77.9161,76.5267,73.6149,73.1114,69.1858,69.1738,79.434,78.0309,72.2345,72.3116,28.3752,27.5153,22.0839,23.4733,26.3851,26.8886,30.8142,30.8262,20.566,21.9691,27.7655,27.6884,0.0,0.0,0.0,0.0,0.0,0.0
Punjab,age_10_13,03,40.9475,49.3271,39.5335,25.4717,51.1902,43.4746,7.6563,7.4127,24.9064,19.0086,11.3847,9.4844,1.7819,2.3159,26.2781,22.9249,11.4016,9.1248,92.3438,92.5873,75.0936,80.9914,88.6153,90.5156,98.2181,97.6841,73.7219,77.0751,88.5984,90.8752,4.8505,4.1694,7.3995,13.3527,3.8347,5.1651
Punjab,age_14_17,03,3.5669,8.5038,3.988,0.988,8.3746,4.8036,6.2687,7.2989,30.1701,22.4828,11.3408,11.0891,1.7337,1.9512,31.2836,28.8282,13.2552,11.1243,93.7313,92.7011,69.8299,77.5172,88.6592,88.9109,98.2663,98.0488,68.7164,71.1718,86.7448,88.8757,41.0828,32.6907,38.893,35.7798,32.1619,38.4042
Punjab,age_18_21,03,3.8095,5.7465,2.8477,0.7937,7.1515,3.1596,6.8441,10.8108,34.5526,27.4324,14.6899,14.3986,1.5625,2.1713,39.5576,33.9574,17.1928,14.2264,93.1559,89.1892,65.4474,72.5676,85.3101,85.6014,98.4375,97.8287,60.4424,66.0426,82.8072,85.7736,22.8571,18.053,15.7474,1.8519,20.2986,17.4513
Chandigarh,age_below10,04,100.0,99.3056,97.7162,100.0,97.4138,97.9035,64.0,71.5909,76.6234,73.6686,74.483,73.3208,73.5632,66.8342,77.8995,75.5752,66.5963,65.8814,36.0,28.4091,23.3766,26.3314,25.517,26.6792,26.4368,33.1658,22.1005,24.4248,33.4037,34.1186,0.0,0.0,0.0,0.0,0.0,0.0
