state_name,age_bracket,state_code,Below_primary_share_total_female,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female,Child_labour_attending_total_female,Child_labour_dropout_total_female,Dropout_rate_total_female,Illiteracy_rate_total_female,Literacy_rate_total_female,Non_worker_dropout_total_female,School_attendance_rate_total_female
INDIA,age_10_13,00,41.8428,,6.1648,,,8.8271,,1.3729,2.7214,,,4.5465,6.6313,71.9538,25.7901,25.7901,23.0028,76.9972,0.0,74.2099
INDIA,age_14_17,00,10.8523,,36.9176,,,38.3443,,17.8561,29.3089,,,34.6223,33.8938,50.3543,41.4854,41.4854,24.5505,75.4495,0.0,58.5146
INDIA,age_18_21,00,9.7065,,41.8693,,,39.1702,,50.6525,48.0633,,,44.9397,41.6955,25.3918,60.1092,60.1092,30.4898,69.5102,0.0,39.8908
INDIA,age_below10,00,96.3234,,2.6008,,,3.6339,,1.5579,1.8623,,,2.1512,2.9576,54.3751,45.2622,45.2622,78.7455,21.2545,0.0,54.7378
Jammu & Kashmir,age_10_13,01,36.7183,1.8452,2.721,3.2154,,2.702,2.3777,0.6481,1.0511,,,2.1003,2.3032,66.008,32.3134,32.3134,33.8654,66.1346,0.0,67.6866
Jammu & Kashmir,age_14_17,01,4.0987,20.4356,23.2909,27.2967,,23.4997,22.4118,10.2241,16.3033,,,23.8743,21.2445,53.8151,41.7483,41.7483,35.3454,64.6546,0.0,58.2517
Jammu & Kashmir,age_18_21,01,3.0585,44.9501,38.3426,48.4061,,46.5249,44.4177,42.8176,46.7928,,,45.8469,45.4984,33.9548,58.5638,58.5638,41.324,58.676,0.0,41.4362
Jammu & Kashmir,age_below10,01,93.4358,1.7897,1.4106,1.1161,,1.0169,1.0219,0.998,1.0567,,,1.1166,1.0218,47.244,52.19,52.19,81.1464,18.8536,0.0,47.81
Himachal Pradesh,age_10_13,02,40.197,3.2858,4.0101,3.7102,,7.1534,3.4754,0.3378,0.8016,,,2.1493,4.1776,94.6536,4.5637,4.5637,3.8965,96.1035,0.0,95.4363
Himachal Pradesh,age_14_17,02,4.4998,29.2869,34.3481,29.2958,,35.9306,27.6244,7.4427,18.3816,,,28.9618,27.4545,81.1334,13.956,13.956,5.6533,94.3467,0.0,86.044
Himachal Pradesh,age_18_21,02,3.814,49.9715,48.4783,52.567,,43.5478,50.6573,59.4477,62.4997,,,55.8894,49.8731,49.1248,35.9389,35.9389,9.5343,90.4657,0.0,64.0611
Himachal Pradesh,age_below10,02,98.3805,2.0764,2.1917,2.182,,3.2204,2.0888,1.6296,1.7259,,,1.8484,2.452,73.1137,26.7137,26.7137,70.2697,29.7303,0.0,73.2863
Punjab,age_10_13,03,42.1765,1.211,1.3658,1.096,,1.6402,1.0835,0.3745,0.6276,,,0.883,1.1281,84.6416,14.3022,14.3022,11.8095,88.1905,0.0,85.6978
Punjab,age_14_17,03,4.5704,16.0155,17.2838,13.0742,,18.2596,13.7116,7.154,12.8128,,,15.3276,14.4785,64.083,31.4072,31.4072,13.0199,86.9801,0.0,68.5928
Punjab,age_18_21,03,3.108,58.7078,53.4452,57.4047,,55.6564,53.8878,54.954,58.2735,,,57.9929,54.9455,34.2928,56.3055,56.3055,16.7889,83.2111,0.0,43.6945
Punjab,age_below10,03,97.3726,0.7616,0.8984,0.8297,,0.8024,0.7626,1.0051,0.9068,,,0.7958,0.8526,64.5746,35.1311,35.1311,72.9786,27.0214,0.0,64.8689
Chandigarh,age_10_13,04,37.2092,6.4516,5.0804,3.2407,,8.0722,3.1905,0.5751,1.9005,,,3.2158,3.4365,89.0262,10.005,10.005,9.409,90.591,0.0,89.995
Chandigarh,age_14_17,04,3.5574,25.8065,35.3245,22.2222,,38.3969,17.2475,10.4694,24.5027,,,32.5726,21.9594,79.6455,17.3392,17.3392,8.493,91.507,0.0,82.6608
Chandigarh,age_18_21,04,1.9558,41.9355,41.7146,46.7593,,38.8795,30.9515,51.9083,54.1691,,,48.0721,41.621,60.7386,33.9654,33.9654,11.9706,88.0294,0.0,66.0346
Chandigarh,age_below10,04,97.7504,1.6129,2.6394,3.2407,,3.5208,1.6436,1.5929,1.9631,,,2.0567,2.1887,71.8062,27.9733,27.9733,73.7584,26.2416,0.0,72.0267
State - UTTARANCHAL  05,age_10_13,05,46.4863,6.0038,5.372,7.1851,,9.4101,6.5609,0.8634,1.5019,,,2.8985,6.2544,86.0854,13.0884,13.0884,11.5632,88.4368,0.0,86.9116
State - UTTARANCHAL  05,age_14_17,05,7.4798,35.9165,39.4621,39.1599,,40.358,36.7858,13.6562,25.5047,,,35.0203,33.374,66.9525,27.9926,27.9926,14.8249,85.1751,0.0,72.0074
State - UTTARANCHAL  05,age_18_21,05,4.7633,44.8187,43.3846,44.1755,,39.1588,43.7456,60.1965,58.4881,,,50.6386,44.7624,40.9972,44.6639,44.6639,19.7342,80.2658,0.0,55.3361
State - UTTARANCHAL  05,age_below10,05,97.0046,2.7193,2.2808,2.8926,,3.3614,2.7079,1.6679,1.944,,,2.0251,2.7061,64.5377,35.2817,35.2817,74.941,25.059,0.0,64.7183
Haryana,age_10_13,06,47.5842,8.0488,7.7944,9.3484,,9.1684,7.8374,1.5901,3.2857,,,5.586,6.9126,82.6076,16.4131,16.4131,13.6009,86.3991,0.0,83.5869
Haryana,age_14_17,06,7.1845,41.9763,39.631,44.1972,,42.6463,39.7976,21.4186,33.4411,,,38.6816,37.0995,61.4999,33.6794,33.6794,15.387,84.613,0.0,66.3206
Haryana,age_18_21,06,4.4992,37.4035,35.7083,34.6746,,35.1237,36.2074,53.9649,47.7909,,,41.7674,39.3647,32.0212,56.2807,56.2807,22.1671,77.8329,0.0,43.7193
Haryana,age_below10,06,97.8156,4.5048,4.5824,5.1227,,4.5394,4.4016,2.32,2.7887,,,3.4037,3.8497,58.6886,41.1089,41.1089,75.6325,24.3675,0.0,58.8911
State - DELHI  07,age_10_13,07,37.349,7.9429,6.7551,6.2754,,9.5932,4.4353,1.1329,2.9348,,,5.0918,4.8014,88.5228,11.0139,11.0139,8.3075,91.6925,0.0,88.9861
State - DELHI  07,age_14_17,07,4.3406,38.4203,40.4631,41.1111,,42.5564,21.9092,16.7745,31.6472,,,38.493,28.2953,72.6714,25.3842,25.3842,8.6479,91.3521,0.0,74.6158
State - DELHI  07,age_18_21,07,2.9849,36.1,36.8733,38.6854,,34.0843,30.4895,51.9073,47.644,,,41.2922,39.9725,47.9084,48.1713,48.1713,12.901,87.099,0.0,51.8287
State - DELHI  07,age_below10,07,97.3961,4.6408,3.6024,3.9593,,4.4321,2.5762,2.3516,3.0417,,,3.3896,3.1142,68.453,31.4586,31.4586,73.7331,26.2669,0.0,68.5414
Rajasthan,age_10_13,08,54.9106,16.0665,13.6139,17.0079,,15.8702,16.237,3.0001,6.2762,,,10.8514,13.8758,63.6033,32.836,32.836,29.3335,70.6665,0.0,67.164
Rajasthan,age_14_17,08,19.8023,37.7361,39.783,38.2148,,38.7643,37.5063,24.3215,37.4816,,,41.4692,37.7953,36.2702,51.0192,51.0192,35.6276,64.3724,0.0,48.9808
Rajasthan,age_18_21,08,17.7707,31.4409,32.0284,30.3363,,31.0055,30.6744,51.3453,42.9019,,,35.1802,33.1777,18.3346,60.8279,60.8279,44.0201,55.9799,0.0,39.1721
Rajasthan,age_below10,08,96.2286,9.6925,8.5674,10.1281,,8.816,9.6858,2.4558,3.4028,,,5.4406,7.7586,52.6669,46.8528,46.8528,80.317,19.683,0.0,53.1472
Uttar Pradesh,age_10_13,09,48.4535,11.593,6.9024,11.6768,,9.4398,9.9129,3.0463,4.9063,,,6.1924,8.1271,64.5472,34.6159,34.6159,31.8991,68.1009,0.0,65.3841
Uttar Pradesh,age_14_17,09,10.6378,39.7437,35.6888,38.4036,,38.5649,36.7307,26.7028,35.3417,,,37.1227,36.481,44.4463,52.9028,52.9028,36.2339,63.7661,0.0,47.0972
Uttar Pradesh,age_18_21,09,6.782,36.4066,41.1264,37.7833,,39.7912,39.155,51.2373,46.4788,,,43.8778,41.5852,25.0635,70.1435,70.1435,43.7707,56.2293,0.0,29.8565
Uttar Pradesh,age_below10,09,94.99,6.7628,3.5869,6.4157,,4.8283,5.4721,2.1399,2.5355,,,2.9595,4.2125,44.3749,55.2759,55.2759,82.2551,17.7449,0.0,44.7241
Bihar,age_10_13,10,48.1834,11.8317,7.8433,12.3839,,9.9287,11.6208,4.0648,5.4625,,,6.5847,8.9046,47.2666,51.1384,51.1384,49.4595,50.5405,0.0,48.8616
Bihar,age_14_17,10,12.6489,46.2693,45.0994,45.4999,,45.9481,45.3581,37.9906,43.9099,,,45.1598,44.8445,34.6163,60.1995,60.1995,47.21,52.79,0.0,39.8005
