state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Child_labour_attending_total_male,Child_labour_dropout_total_male,Dropout_rate_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male,School_attendance_rate_total_male
INDIA,age_10_13,00,41.9748,,1.6087,,,2.2635,,0.9068,1.5793,,,1.6621,1.6191,80.7945,16.11,16.11,14.315,85.685,83.89
INDIA,age_14_17,00,9.8546,,7.9134,,,10.7195,,5.528,8.2851,,,8.102,8.0692,61.6858,21.4646,21.4646,14.1578,85.8422,78.5354
INDIA,age_18_21,00,8.5347,,39.8676,,,45.0593,,32.5754,38.6961,,,39.8322,38.3906,37.0085,26.2181,26.2181,15.513,84.487,73.7819
INDIA,age_below10,00,96.359,,1.3751,,,1.6159,,1.2041,1.4641,,,1.4289,1.4219,58.4097,41.0491,41.0491,76.7666,23.2334,58.9509
Jammu & Kashmir,age_10_13,01,37.9556,0.3911,0.4473,0.3816,,0.4535,0.3424,0.3208,0.3597,,,0.4099,0.4068,78.1591,19.3448,19.3448,20.9725,79.0275,80.6552
Jammu & Kashmir,age_14_17,01,4.4201,4.3136,4.524,4.198,,4.4993,3.3895,2.5171,3.367,,,3.985,3.7807,68.651,21.4237,21.4237,19.1968,80.8032,78.5763
Jammu & Kashmir,age_18_21,01,3.469,35.4011,34.2585,38.7217,,36.8742,33.1594,27.8879,32.6061,,,34.661,32.7408,45.0652,30.4437,30.4437,22.2825,77.7175,69.5563
Jammu & Kashmir,age_below10,01,93.797,0.7657,0.9005,0.6102,,0.665,0.6556,0.8478,0.8125,,,0.721,0.7577,54.2295,44.9946,44.9946,77.9981,22.0019,55.0054
Himachal Pradesh,age_10_13,02,39.811,0.3124,0.587,0.4467,,0.8721,0.3844,0.179,0.2816,,,0.4111,0.436,96.5417,2.6512,2.6512,2.1748,97.8252,97.3488
Himachal Pradesh,age_14_17,02,4.2383,3.9644,5.6338,4.4106,,6.5787,3.5463,1.3875,2.7933,,,4.4499,3.7078,86.3761,7.0932,7.0932,2.9496,97.0504,92.9068
Himachal Pradesh,age_18_21,02,4.0777,30.8185,38.4681,36.6093,,37.2272,30.4307,21.6599,30.8222,,,37.2017,30.0295,58.2719,18.2362,18.2362,5.0848,94.9152,81.7638
Himachal Pradesh,age_below10,02,98.4271,0.9578,0.8775,0.8479,,0.9776,0.8346,1.0155,0.8763,,,0.8489,0.9475,74.599,25.2165,25.2165,70.1105,29.8895,74.7835
