state_name,age_bracket,state_code,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male
INDIA,age_10_13,00,,,6.1648,1.6087,,,,,8.8271,2.2635,,,1.3729,0.9068,2.7214,1.5793,,,,,4.5465,1.6621,6.6313,1.6191
INDIA,age_14_17,00,,,36.9176,7.9134,,,,,38.3443,10.7195,,,17.8561,5.528,29.3089,8.2851,,,,,34.6223,8.102,33.8938,8.0692
INDIA,age_18_21,00,,,41.8693,39.8676,,,,,39.1702,45.0593,,,50.6525,32.5754,48.0633,38.6961,,,,,44.9397,39.8322,41.6955,38.3906
INDIA,age_below10,00,,,2.6008,1.3751,,,,,3.6339,1.6159,,,1.5579,1.2041,1.8623,1.4641,,,,,2.1512,1.4289,2.9576,1.4219
Jammu & Kashmir,age_10_13,01,1.8452,0.3911,2.721,0.4473,3.2154,0.3816,,,2.702,0.4535,2.3777,0.3424,0.6481,0.3208,1.0511,0.3597,,,,,2.1003,0.4099,2.3032,0.4068
Jammu & Kashmir,age_14_17,01,20.4356,4.3136,23.2909,4.524,27.2967,4.198,,,23.4997,4.4993,22.4118,3.3895,10.2241,2.5171,16.3033,3.367,,,,,23.8743,3.985,21.2445,3.7807
Jammu & Kashmir,age_18_21,01,44.9501,35.4011,38.3426,34.2585,48.4061,38.7217,,,46.5249,36.8742,44.4177,33.1594,42.8176,27.8879,46.7928,32.6061,,,,,45.8469,34.661,45.4984,32.7408
Jammu & Kashmir,age_below10,01,1.7897,0.7657,1.4106,0.9005,1.1161,0.6102,,,1.0169,0.665,1.0219,0.6556,0.998,0.8478,1.0567,0.8125,,,,,1.1166,0.721,1.0218,0.7577
Himachal Pradesh,age_10_13,02,3.2858,0.3124,4.0101,0.587,3.7102,0.4467,,,7.1534,0.8721,3.4754,0.3844,0.3378,0.179,0.8016,0.2816,,,,,2.1493,0.4111,4.1776,0.436
Himachal Pradesh,age_14_17,02,29.2869,3.9644,34.3481,5.6338,29.2958,4.4106,,,35.9306,6.5787,27.6244,3.5463,7.4427,1.3875,18.3816,2.7933,,,,,28.9618,4.4499,27.4545,3.7078
Himachal Pradesh,age_18_21,02,49.9715,30.8185,48.4783,38.4681,52.567,36.6093,,,43.5478,37.2272,50.6573,30.4307,59.4477,21.6599,62.4997,30.8222,,,,,55.8894,37.2017,49.8731,30.0295
Himachal Pradesh,age_below10,02,2.0764,0.9578,2.1917,0.8775,2.182,0.8479,,,3.2204,0.9776,2.0888,0.8346,1.6296,1.0155,1.7259,0.8763,,,,,1.8484,0.8489,2.452,0.9475
Punjab,age_10_13,03,1.211,0.2938,1.3658,0.4757,1.096,0.2304,,,1.6402,0.4046,1.0835,0.2913,0.3745,0.2087,0.6276,0.2809,,,,,0.883,0.3321,1.1281,0.3105
Punjab,age_14_17,03,16.0155,3.5783,17.2838,4.4259,13.0742,2.7323,,,18.2596,4.1988,13.7116,2.8411,7.154,1.6737,12.8128,2.8282,,,,,15.3276,3.4661,14.4785,2.9815
Punjab,age_18_21,03,58.7078,42.1326,53.4452,37.9278,57.4047,37.2959,,,55.6564,39.893,53.8878,33.3272,54.954,27.7006,58.2735,34.9849,,,,,57.9929,37.7224,54.9455,33.425
Punjab,age_below10,03,0.7616,0.7194,0.8984,0.8373,0.8297,0.6704,,,0.8024,0.701,0.7626,0.7197,1.0051,0.8112,0.9068,0.7645,,,,,0.7958,0.7651,0.8526,0.7536
Chandigarh,age_10_13,04,6.4516,0.6873,5.0804,2.1915,3.2407,1.1036,,,8.0722,2.2111,3.1905,1.0032,0.5751,0.615,1.9005,1.317,,,,,3.2158,1.4823,3.4365,0.9951
