state_name,age_bracket,state_code,Below_primary_share_total_female,Below_primary_share_total_male,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male,Child_labour_attending_total_female,Child_labour_attending_total_male,Child_labour_dropout_total_female,Child_labour_dropout_total_male,Dropout_rate_total_female,Dropout_rate_total_male,Illiteracy_rate_total_female,Illiteracy_rate_total_male,Literacy_rate_total_female,Literacy_rate_total_male,Non_worker_dropout_total_female,School_attendance_rate_total_female,School_attendance_rate_total_male
INDIA,age_10_13,00,41.8428,41.9748,,,6.1648,1.6087,,,,,8.8271,2.2635,,,1.3729,0.9068,2.7214,1.5793,,,,,4.5465,1.6621,6.6313,1.6191,71.9538,80.7945,25.7901,16.11,25.7901,16.11,23.0028,14.315,76.9972,85.685,0.0,74.2099,83.89
INDIA,age_14_17,00,10.8523,9.8546,,,36.9176,7.9134,,,,,38.3443,10.7195,,,17.8561,5.528,29.3089,8.2851,,,,,34.6223,8.102,33.8938,8.0692,50.3543,61.6858,41.4854,21.4646,41.4854,21.4646,24.5505,14.1578,75.4495,85.8422,0.0,58.5146,78.5354
INDIA,age_18_21,00,9.7065,8.5347,,,41.8693,39.8676,,,,,39.1702,45.0593,,,50.6525,32.5754,48.0633,38.6961,,,,,44.9397,39.8322,41.6955,38.3906,25.3918,37.0085,60.1092,26.2181,60.1092,26.2181,30.4898,15.513,69.5102,84.487,0.0,39.8908,73.7819
INDIA,age_below10,00,96.3234,96.359,,,2.6008,1.3751,,,,,3.6339,1.6159,,,1.5579,1.2041,1.8623,1.4641,,,,,2.1512,1.4289,2.9576,1.4219,54.3751,58.4097,45.2622,41.0491,45.2622,41.0491,78.7455,76.7666,21.2545,23.2334,0.0,54.7378,58.9509
Jammu & Kashmir,age_10_13,01,36.7183,37.9556,1.8452,0.3911,2.721,0.4473,3.2154,0.3816,,,2.702,0.4535,2.3777,0.3424,0.6481,0.3208,1.0511,0.3597,,,,,2.1003,0.4099,2.3032,0.4068,66.008,78.1591,32.3134,19.3448,32.3134,19.3448,33.8654,20.9725,66.1346,79.0275,0.0,67.6866,80.6552
Jammu & Kashmir,age_14_17,01,4.0987,4.4201,20.4356,4.3136,23.2909,4.524,27.2967,4.198,,,23.4997,4.4993,22.4118,3.3895,10.2241,2.5171,16.3033,3.367,,,,,23.8743,3.985,21.2445,3.7807,53.8151,68.651,41.7483,21.4237,41.7483,21.4237,35.3454,19.1968,64.6546,80.8032,0.0,58.2517,78.5763
Jammu & Kashmir,age_18_21,01,3.0585,3.469,44.9501,35.4011,38.3426,34.2585,48.4061,38.7217,,,46.5249,36.8742,44.4177,33.1594,42.8176,27.8879,46.7928,32.6061,,,,,45.8469,34.661,45.4984,32.7408,33.9548,45.0652,58.5638,30.4437,58.5638,30.4437,41.324,22.2825,58.676,77.7175,0.0,41.4362,69.5563
Jammu & Kashmir,age_below10,01,93.4358,93.797,1.7897,0.7657,1.4106,0.9005,1.1161,0.6102,,,1.0169,0.665,1.0219,0.6556,0.998,0.8478,1.0567,0.8125,,,,,1.1166,0.721,1.0218,0.7577,47.244,54.2295,52.19,44.9946,52.19,44.9946,81.1464,77.9981,18.8536,22.0019,0.0,47.81,55.0054
Himachal Pradesh,age_10_13,02,40.197,39.811,3.2858,0.3124,4.0101,0.587,3.7102,0.4467,,,7.1534,0.8721,3.4754,0.3844,0.3378,0.179,0.8016,0.2816,,,,,2.1493,0.4111,4.1776,0.436,94.6536,96.5417,4.5637,2.6512,4.5637,2.6512,3.8965,2.1748,96.1035,97.8252,0.0,95.4363,97.3488
Himachal Pradesh,age_14_17,02,4.4998,4.2383,29.2869,3.9644,34.3481,5.6338,29.2958,4.4106,,,35.9306,6.5787,27.6244,3.5463,7.4427,1.3875,18.3816,2.7933,,,,,28.9618,4.4499,27.4545,3.7078,81.1334,86.3761,13.956,7.0932,13.956,7.0932,5.6533,2.9496,94.3467,97.0504,0.0,86.044,92.9068
Himachal Pradesh,age_18_21,02,3.814,4.0777,49.9715,30.8185,48.4783,38.4681,52.567,36.6093,,,43.5478,37.2272,50.6573,30.4307,59.4477,21.6599,62.4997,30.8222,,,,,55.8894,37.2017,49.8731,30.0295,49.1248,58.2719,35.9389,18.2362,35.9389,18.2362,9.5343,5.0848,90.4657,94.9152,0.0,64.0611,81.7638
