state_name,age_bracket,state_code,CMPR_SC_female,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_dropout_SC_female,Dropout_rate_SC_female,Non_worker_dropout_SC_female,School_attendance_rate_SC_female
INDIA,age_10_13,00,2.7449,1.8308,67.2683,30.0558,30.0558,0.0,69.9442
INDIA,age_14_17,00,30.4066,17.2513,42.7187,47.6199,47.6199,0.0,52.3801
INDIA,age_18_21,00,82.6548,61.7307,17.2459,65.6162,65.6162,0.0,34.3838
INDIA,age_22_25,00,82.6548,61.7307,,,,,
INDIA,age_26_29,00,93.7936,85.6676,,,,,
INDIA,age_30_33,00,94.5743,93.1525,,,,,
INDIA,age_34_plus,00,76.1417,84.014,,,,,
INDIA,age_below10,00,0.0,0.0,51.1227,48.5053,48.5053,0.0,51.4947
Jammu & Kashmir,age_10_13,01,2.1628,1.7105,75.9998,22.5863,22.5863,0.0,77.4137
Jammu & Kashmir,age_14_17,01,12.0988,7.3073,54.7707,41.5393,41.5393,0.0,58.4607
Jammu & Kashmir,age_18_21,01,60.9801,39.7365,25.3536,68.0243,68.0243,0.0,31.9757
Jammu & Kashmir,age_22_25,01,60.9801,39.7365,,,,,
Jammu & Kashmir,age_26_29,01,91.4713,74.9696,,,,,
Jammu & Kashmir,age_30_33,01,96.5677,92.5954,,,,,
Jammu & Kashmir,age_34_plus,01,81.254,86.841,,,,,
Jammu & Kashmir,age_below10,01,0.0,0.0,56.3979,43.3403,43.3403,0.0,56.6597
Himachal Pradesh,age_10_13,02,0.9686,0.7338,93.2283,5.7037,5.7037,0.0,94.2963
Himachal Pradesh,age_14_17,02,13.0177,7.3785,73.8256,19.4048,19.4048,0.0,80.5952
Himachal Pradesh,age_18_21,02,73.7808,50.5952,36.1877,44.8826,44.8826,0.0,55.1174
Himachal Pradesh,age_22_25,02,73.7808,50.5952,,,,,
Himachal Pradesh,age_26_29,02,94.5832,84.1297,,,,,
Himachal Pradesh,age_30_33,02,95.8326,94.7061,,,,,
Himachal Pradesh,age_34_plus,02,77.5136,84.0148,,,,,
Himachal Pradesh,age_below10,02,0.0,0.0,69.9505,29.8533,29.8533,0.0,70.1467
Punjab,age_10_13,03,2.1083,1.7428,76.0823,22.3386,22.3386,0.0,77.6614
Punjab,age_14_17,03,12.5657,7.671,49.0287,44.2009,44.2009,0.0,55.7991
Punjab,age_18_21,03,67.8166,48.1977,19.497,68.3519,68.3519,0.0,31.6481
