state_name,age_bracket,state_code,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_male,Child_labour_dropout_SC_male,Dropout_rate_SC_male,School_attendance_rate_SC_male
INDIA,age_10_13,00,1.0214,1.8308,78.0205,18.5768,18.5768,81.4232
INDIA,age_14_17,00,6.4476,17.2513,56.1122,25.3971,25.3971,74.6029
INDIA,age_18_21,00,41.5763,61.7307,30.7135,30.4465,30.4465,69.5535
INDIA,age_22_25,00,41.5763,61.7307,,,,
INDIA,age_26_29,00,77.3721,85.6676,,,,
INDIA,age_30_33,00,91.7177,93.1525,,,,
INDIA,age_34_plus,00,91.5173,84.014,,,,
INDIA,age_below10,00,0.0,0.0,55.541,43.9251,43.9251,56.0749
Jammu & Kashmir,age_10_13,01,1.288,1.7105,85.3659,12.7894,12.7894,87.2106
Jammu & Kashmir,age_14_17,01,2.8402,7.3073,66.7301,22.7601,22.7601,77.2399
Jammu & Kashmir,age_18_21,01,21.3314,39.7365,33.275,38.9004,38.9004,61.0996
Jammu & Kashmir,age_22_25,01,21.3314,39.7365,,,,
Jammu & Kashmir,age_26_29,01,59.8366,74.9696,,,,
Jammu & Kashmir,age_30_33,01,88.8607,92.5954,,,,
Jammu & Kashmir,age_34_plus,01,91.8614,86.841,,,,
Jammu & Kashmir,age_below10,01,0.0,0.0,62.3185,37.3154,37.3154,62.6846
Himachal Pradesh,age_10_13,02,0.5065,0.7338,95.7245,3.3348,3.3348,96.6652
Himachal Pradesh,age_14_17,02,2.189,7.3785,81.5495,10.0182,10.0182,89.9818
Himachal Pradesh,age_18_21,02,27.9053,50.5952,51.5564,22.5267,22.5267,77.4733
Himachal Pradesh,age_22_25,02,27.9053,50.5952,,,,
Himachal Pradesh,age_26_29,02,73.5837,84.1297,,,,
Himachal Pradesh,age_30_33,02,93.5799,94.7061,,,,
Himachal Pradesh,age_34_plus,02,90.3981,84.0148,,,,
Himachal Pradesh,age_below10,02,0.0,0.0,71.9452,27.8318,27.8318,72.1682
Punjab,age_10_13,03,1.4186,1.7428,79.6064,16.3984,16.3984,83.6016
Punjab,age_14_17,03,3.5996,7.671,53.2098,24.3633,24.3633,75.6367
Punjab,age_18_21,03,31.5319,48.1977,23.3445,29.8825,29.8825,70.1175
Punjab,age_22_25,03,31.5319,48.1977,,,,
Punjab,age_26_29,03,74.443,83.9378,,,,
Punjab,age_30_33,03,91.868,94.4876,,,,
Punjab,age_34_plus,03,90.2477,86.9216,,,,
Punjab,age_below10,03,0.0,0.0,58.9547,40.5225,40.5225,59.4775
Chandigarh,age_10_13,04,0.4817,0.8242,85.4305,12.4763,12.4763,87.5237
