state_name,age_bracket,state_code,CMPR_SC_female,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_attending_SC_male,Child_labour_dropout_SC_female,Child_labour_dropout_SC_male,Dropout_rate_SC_female,Dropout_rate_SC_male,Non_worker_dropout_SC_female,School_attendance_rate_SC_female,School_attendance_rate_SC_male
INDIA,age_10_13,00,2.7449,1.0214,1.8308,67.2683,78.0205,30.0558,18.5768,30.0558,18.5768,0.0,69.9442,81.4232
INDIA,age_14_17,00,30.4066,6.4476,17.2513,42.7187,56.1122,47.6199,25.3971,47.6199,25.3971,0.0,52.3801,74.6029
INDIA,age_18_21,00,82.6548,41.5763,61.7307,17.2459,30.7135,65.6162,30.4465,65.6162,30.4465,0.0,34.3838,69.5535
INDIA,age_22_25,00,82.6548,41.5763,61.7307,,,,,,,,,
INDIA,age_26_29,00,93.7936,77.3721,85.6676,,,,,,,,,
INDIA,age_30_33,00,94.5743,91.7177,93.1525,,,,,,,,,
INDIA,age_34_plus,00,76.1417,91.5173,84.014,,,,,,,,,
INDIA,age_below10,00,0.0,0.0,0.0,51.1227,55.541,48.5053,43.9251,48.5053,43.9251,0.0,51.4947,56.0749
Jammu & Kashmir,age_10_13,01,2.1628,1.288,1.7105,75.9998,85.3659,22.5863,12.7894,22.5863,12.7894,0.0,77.4137,87.2106
Jammu & Kashmir,age_14_17,01,12.0988,2.8402,7.3073,54.7707,66.7301,41.5393,22.7601,41.5393,22.7601,0.0,58.4607,77.2399
Jammu & Kashmir,age_18_21,01,60.9801,21.3314,39.7365,25.3536,33.275,68.0243,38.9004,68.0243,38.9004,0.0,31.9757,61.0996
Jammu & Kashmir,age_22_25,01,60.9801,21.3314,39.7365,,,,,,,,,
Jammu & Kashmir,age_26_29,01,91.4713,59.8366,74.9696,,,,,,,,,
Jammu & Kashmir,age_30_33,01,96.5677,88.8607,92.5954,,,,,,,,,
Jammu & Kashmir,age_34_plus,01,81.254,91.8614,86.841,,,,,,,,,
Jammu & Kashmir,age_below10,01,0.0,0.0,0.0,56.3979,62.3185,43.3403,37.3154,43.3403,37.3154,0.0,56.6597,62.6846
Himachal Pradesh,age_10_13,02,0.9686,0.5065,0.7338,93.2283,95.7245,5.7037,3.3348,5.7037,3.3348,0.0,94.2963,96.6652
Himachal Pradesh,age_14_17,02,13.0177,2.189,7.3785,73.8256,81.5495,19.4048,10.0182,19.4048,10.0182,0.0,80.5952,89.9818
Himachal Pradesh,age_18_21,02,73.7808,27.9053,50.5952,36.1877,51.5564,44.8826,22.5267,44.8826,22.5267,0.0,55.1174,77.4733
Himachal Pradesh,age_22_25,02,73.7808,27.9053,50.5952,,,,,,,,,
Himachal Pradesh,age_26_29,02,94.5832,73.5837,84.1297,,,,,,,,,
Himachal Pradesh,age_30_33,02,95.8326,93.5799,94.7061,,,,,,,,,
Himachal Pradesh,age_34_plus,02,77.5136,90.3981,84.0148,,,,,,,,,
Himachal Pradesh,age_below10,02,0.0,0.0,0.0,69.9505,71.9452,29.8533,27.8318,29.8533,27.8318,0.0,70.1467,72.1682
Punjab,age_10_13,03,2.1083,1.4186,1.7428,76.0823,79.6064,22.3386,16.3984,22.3386,16.3984,0.0,77.6614,83.6016
Punjab,age_14_17,03,12.5657,3.5996,7.671,49.0287,53.2098,44.2009,24.3633,44.2009,24.3633,0.0,55.7991,75.6367
Punjab,age_18_21,03,67.8166,31.5319,48.1977,19.497,23.3445,68.3519,29.8825,68.3519,29.8825,0.0,31.6481,70.1175
Punjab,age_22_25,03,67.8166,31.5319,48.1977,,,,,,,,,
Punjab,age_26_29,03,93.9169,74.443,83.9378,,,,,,,,,
Punjab,age_30_33,03,97.0402,91.868,94.4876,,,,,,,,,
Punjab,age_34_plus,03,83.2637,90.2477,86.9216,,,,,,,,,
