state_name,age_bracket,state_code,Below_primary_share_ST_female,CMPR_ST_female,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_dropout_ST_female,Dropout_rate_ST_female,Illiteracy_rate_ST_female,Literacy_rate_ST_female,Non_worker_dropout_ST_female,School_attendance_rate_ST_female
INDIA,age_10_13,00,52.8219,1.8396,1.2277,56.167,38.572,38.572,37.9838,62.0162,0.0,61.428
INDIA,age_14_17,00,20.0523,25.6458,15.5724,35.7631,46.621,46.621,42.5217,57.4783,0.0,53.379
INDIA,age_18_21,00,18.1891,77.6641,62.2182,17.4304,53.8085,53.8085,51.9632,48.0368,0.0,46.1915
INDIA,age_22_25,00,19.4373,77.6641,62.2182,,,,60.2309,39.7691,,
INDIA,age_26_29,00,23.0143,90.3065,84.7721,,,,68.632,31.368,,
INDIA,age_30_33,00,27.2239,92.4387,91.8402,,,,75.5344,24.4656,,
INDIA,age_34_plus,00,34.635,75.372,83.2694,,,,86.4091,13.5909,,
INDIA,age_below10,00,97.055,0.0,0.0,44.3857,54.8824,54.8824,83.3916,16.6084,0.0,45.1176
Jammu & Kashmir,age_10_13,01,48.4503,2.3283,1.7439,43.9825,53.0743,53.0743,55.0534,44.9466,0.0,46.9257
Jammu & Kashmir,age_14_17,01,9.606,17.4255,10.821,33.31,58.9219,58.9219,56.8371,43.1629,0.0,41.0781
Jammu & Kashmir,age_18_21,01,5.823,65.9282,49.5119,20.3851,66.6796,66.6796,61.9189,38.0811,0.0,33.3204
Jammu & Kashmir,age_22_25,01,4.9573,65.9282,49.5119,,,,70.3833,29.6167,,
Jammu & Kashmir,age_26_29,01,5.6633,88.2149,79.2471,,,,78.415,21.585,,
Jammu & Kashmir,age_30_33,01,5.321,94.0509,90.5447,,,,84.2961,15.7039,,
Jammu & Kashmir,age_34_plus,01,6.5768,84.8614,86.6475,,,,92.6746,7.3254,,
