state_name,age_bracket,state_code,Below_primary_share_ST_male,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_male,Child_labour_dropout_ST_male,Dropout_rate_ST_male,Illiteracy_rate_ST_male,Literacy_rate_ST_male,School_attendance_rate_ST_male
INDIA,age_10_13,00,50.7693,0.6653,1.2277,70.2798,24.3703,24.3703,23.6971,76.3029,75.6297
INDIA,age_14_17,00,17.3272,6.2144,15.5724,50.7178,26.8434,26.8434,24.3882,75.6118,73.1566
INDIA,age_18_21,00,15.7289,45.712,62.2182,30.2975,27.984,27.984,27.241,72.759,72.016
INDIA,age_22_25,00,16.5863,45.712,62.2182,,,,30.9166,69.0834,
INDIA,age_26_29,00,19.7367,78.9459,84.7721,,,,37.8509,62.1491,
INDIA,age_30_33,00,24.0765,91.2186,91.8402,,,,44.9904,55.0096,
INDIA,age_34_plus,00,34.7485,90.9494,83.2694,,,,57.6871,42.3129,
INDIA,age_below10,00,97.0161,0.0,0.0,51.2643,47.965,47.965,80.1779,19.8221,52.035
Jammu & Kashmir,age_10_13,01,49.57,1.2152,1.7439,62.4144,33.2254,33.2254,36.2545,63.7455,66.7746
Jammu & Kashmir,age_14_17,01,9.5892,4.9816,10.821,51.6838,32.0708,32.0708,36.1175,63.8825,67.9292
Jammu & Kashmir,age_18_21,01,6.162,34.3055,49.5119,31.2192,34.9932,34.9932,38.8224,61.1776,65.0068
Jammu & Kashmir,age_22_25,01,5.5284,34.3055,49.5119,,,,41.0652,58.9348,
Jammu & Kashmir,age_26_29,01,5.576,70.3967,79.2471,,,,46.2273,53.7727,
Jammu & Kashmir,age_30_33,01,5.6209,87.2604,90.5447,,,,51.764,48.236,
Jammu & Kashmir,age_34_plus,01,9.9063,88.1472,86.6475,,,,69.3955,30.6045,
Jammu & Kashmir,age_below10,01,92.8652,0.0,0.0,40.0658,58.9887,58.9887,84.4266,15.5734,41.0113
Himachal Pradesh,age_10_13,02,42.0537,0.5858,0.7289,94.7623,4.132,4.132,3.5671,96.4329,95.868
Himachal Pradesh,age_14_17,02,5.2053,2.9841,6.8529,83.2959,8.7409,8.7409,4.6093,95.3907,91.2591
Himachal Pradesh,age_18_21,02,5.3867,28.5208,45.3364,54.4328,18.6798,18.6798,7.6461,92.3539,81.3202
Himachal Pradesh,age_22_25,02,6.2274,28.5208,45.3364,,,,9.4525,90.5475,
Himachal Pradesh,age_26_29,02,7.8932,69.3953,77.5053,,,,12.5271,87.4729,
Himachal Pradesh,age_30_33,02,11.5504,88.862,89.6674,,,,18.0191,81.9809,
Himachal Pradesh,age_34_plus,02,21.4224,87.3427,80.1267,,,,43.74,56.26,
Himachal Pradesh,age_below10,02,98.3903,0.0,0.0,72.1681,27.6237,27.6237,70.6447,29.3553,72.3763
State - UTTARANCHAL  05,age_10_13,05,44.7905,0.7058,1.2388,91.5071,6.5779,6.5779,6.0511,93.9489,93.4221
State - UTTARANCHAL  05,age_14_17,05,7.7421,5.164,11.1985,74.7376,13.3896,13.3896,7.5435,92.4565,86.6104
State - UTTARANCHAL  05,age_18_21,05,6.5808,41.503,57.0516,51.4352,18.0014,18.0014,10.613,89.387,81.9986
State - UTTARANCHAL  05,age_22_25,05,7.4284,41.503,57.0516,,,,14.3971,85.6029,
State - UTTARANCHAL  05,age_26_29,05,9.6799,75.8425,84.3172,,,,19.3071,80.6929,
