state_name,age_bracket,state_code,Below_primary_share_ST_female,Below_primary_share_ST_male,CMPR_ST_female,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_attending_ST_male,Child_labour_dropout_ST_female,Child_labour_dropout_ST_male,Dropout_rate_ST_female,Dropout_rate_ST_male,Illiteracy_rate_ST_female,Illiteracy_rate_ST_male,Literacy_rate_ST_female,Literacy_rate_ST_male,Non_worker_dropout_ST_female,School_attendance_rate_ST_female,School_attendance_rate_ST_male
INDIA,age_10_13,00,52.8219,50.7693,1.8396,0.6653,1.2277,56.167,70.2798,38.572,24.3703,38.572,24.3703,37.9838,23.6971,62.0162,76.3029,0.0,61.428,75.6297
INDIA,age_14_17,00,20.0523,17.3272,25.6458,6.2144,15.5724,35.7631,50.7178,46.621,26.8434,46.621,26.8434,42.5217,24.3882,57.4783,75.6118,0.0,53.379,73.1566
INDIA,age_18_21,00,18.1891,15.7289,77.6641,45.712,62.2182,17.4304,30.2975,53.8085,27.984,53.8085,27.984,51.9632,27.241,48.0368,72.759,0.0,46.1915,72.016
INDIA,age_22_25,00,19.4373,16.5863,77.6641,45.712,62.2182,,,,,,,60.2309,30.9166,39.7691,69.0834,,,
INDIA,age_26_29,00,23.0143,19.7367,90.3065,78.9459,84.7721,,,,,,,68.632,37.8509,31.368,62.1491,,,
INDIA,age_30_33,00,27.2239,24.0765,92.4387,91.2186,91.8402,,,,,,,75.5344,44.9904,24.4656,55.0096,,,
INDIA,age_34_plus,00,34.635,34.7485,75.372,90.9494,83.2694,,,,,,,86.4091,57.6871,13.5909,42.3129,,,
INDIA,age_below10,00,97.055,97.0161,0.0,0.0,0.0,44.3857,51.2643,54.8824,47.965,54.8824,47.965,83.3916,80.1779,16.6084,19.8221,0.0,45.1176,52.035
Jammu & Kashmir,age_10_13,01,48.4503,49.57,2.3283,1.2152,1.7439,43.9825,62.4144,53.0743,33.2254,53.0743,33.2254,55.0534,36.2545,44.9466,63.7455,0.0,46.9257,66.7746
Jammu & Kashmir,age_14_17,01,9.606,9.5892,17.4255,4.9816,10.821,33.31,51.6838,58.9219,32.0708,58.9219,32.0708,56.8371,36.1175,43.1629,63.8825,0.0,41.0781,67.9292
Jammu & Kashmir,age_18_21,01,5.823,6.162,65.9282,34.3055,49.5119,20.3851,31.2192,66.6796,34.9932,66.6796,34.9932,61.9189,38.8224,38.0811,61.1776,0.0,33.3204,65.0068
Jammu & Kashmir,age_22_25,01,4.9573,5.5284,65.9282,34.3055,49.5119,,,,,,,70.3833,41.0652,29.6167,58.9348,,,
Jammu & Kashmir,age_26_29,01,5.6633,5.576,88.2149,70.3967,79.2471,,,,,,,78.415,46.2273,21.585,53.7727,,,
Jammu & Kashmir,age_30_33,01,5.321,5.6209,94.0509,87.2604,90.5447,,,,,,,84.2961,51.764,15.7039,48.236,,,
Jammu & Kashmir,age_34_plus,01,6.5768,9.9063,84.8614,88.1472,86.6475,,,,,,,92.6746,69.3955,7.3254,30.6045,,,
