state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
INDIA,age_below10,00,97.277,96.0714,96.5072,96.3508,95.1018,97.3683,74.5376,77.115,78.3451,69.8147,81.5382,72.3682,25.4624,22.885,21.6549,30.1853,18.4618,27.6318,0.0,0.0,0.0,0.0,0.0,0.0
INDIA,age_10_13,00,37.372,34.4128,41.1577,24.2432,47.3565,42.5514,8.9318,14.3094,22.1867,1.7797,30.0052,11.3285,91.0682,85.6906,77.8133,98.2203,69.9948,88.6715,5.8034,8.9225,7.0882,12.9119,5.7851,5.782
INDIA,age_14_17,00,8.0336,8.2926,10.4522,1.6451,14.9335,5.2762,9.9364,12.3583,23.9937,1.554,31.5615,13.2288,90.0636,87.6417,76.0063,98.446,68.4385,86.7712,41.7801,38.8387,35.8943,40.5937,31.384,38.2232
INDIA,age_18_21,00,8.5651,6.8206,9.5143,1.8814,12.854,3.6203,14.982,14.3333,30.5605,1.9911,35.7161,16.9787,85.018,85.6667,69.4395,98.0089,64.2839,83.0213,25.3902,19.786,20.1688,8.2272,21.4448,17.576
INDIA,age_22_25,00,10.4484,6.3174,10.2386,1.6427,14.108,2.8125,21.2177,16.092,37.8608,2.9848,42.697,23.3302,78.7823,83.908,62.1392,97.0152,57.303,76.6698,22.373,16.8406,18.0985,7.1273,19.253,15.532
INDIA,age_26_29,00,15.0302,7.2973,12.8027,2.1544,17.7934,3.6677,30.0888,19.9646,45.2682,4.2521,50.6247,31.8627,69.9112,80.0354,54.7318,95.7479,49.3753,68.1373,20.0431,16.4442,17.0264,9.734,17.3507,16.7004
INDIA,age_30_33,00,23.4502,8.5498,15.359,2.8591,21.3613,4.5915,41.092,22.6676,52.1029,5.1923,57.3281,38.306,58.908,77.3324,47.8971,94.8077,42.6719,61.694,16.5141,17.1681,16.1789,11.8607,15.6274,17.8058
INDIA,age_34_plus,00,35.3879,19.2577,21.8764,13.5214,30.1596,6.9061,67.9674,32.6788,66.7924,16.7944,70.4346,59.072,32.0326,67.3212,33.2076,83.2056,29.5654,40.928,11.8151,14.9185,13.7338,12.3825,11.1489,15.8439
Jammu & Kashmir,age_below10,01,94.7771,96.4286,95.696,90.9091,92.2759,95.5205,76.4853,77.1787,76.8485,75.9563,82.9265,68.9699,23.5147,22.8213,23.1515,24.0437,17.0735,31.0301,0.0,0.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,age_10_13,01,43.9851,47.069,37.0936,21.1765,36.633,29.3121,18.2547,20.5479,18.2026,6.5934,40.2203,5.2529,81.7453,79.4521,81.7974,93.4066,59.7797,94.7471,5.2791,5.8621,7.478,15.2941,5.0561,10.2028
