state_name,age_bracket,state_code,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_male,Literacy_rate_christian_male,Literacy_rate_hindu_male,Literacy_rate_jain_male,Literacy_rate_muslim_male,Literacy_rate_sikh_male
INDIA,age_below10,00,74.0724,76.5939,76.2442,70.2542,79.8965,72.3616,25.9276,23.4061,23.7558,29.7458,20.1035,27.6384
INDIA,age_10_13,00,5.9207,12.3293,12.784,1.2856,23.3147,8.6647,94.0793,87.6707,87.216,98.7144,76.6853,91.3353
INDIA,age_14_17,00,5.94,10.0532,12.6788,1.1583,23.6582,10.3962,94.06,89.9468,87.3212,98.8417,76.3418,89.6038
INDIA,age_18_21,00,6.9654,10.4613,14.1549,1.4531,24.7876,13.1542,93.0346,89.5387,85.8451,98.5469,75.2124,86.8458
INDIA,age_22_25,00,7.5561,10.4117,15.5611,1.4003,25.5952,15.7267,92.4439,89.5883,84.4389,98.5997,74.4048,84.2733
INDIA,age_26_29,00,10.0698,12.1637,19.927,1.6687,30.0103,20.4465,89.9302,87.8363,80.073,98.3313,69.9897,79.5535
INDIA,age_30_33,00,14.4845,13.5382,24.2771,1.8894,34.6324,24.6443,85.5155,86.4618,75.7229,98.1106,65.3676,75.3557
INDIA,age_34_plus,00,30.3342,19.1667,34.5568,3.2727,42.1041,38.9361,69.6658,80.8333,65.4432,96.7273,57.8959,61.0639
Jammu & Kashmir,age_below10,01,75.4902,76.3214,75.189,74.5455,79.3189,69.7962,24.5098,23.6786,24.811,25.4545,20.6811,30.2038
Jammu & Kashmir,age_10_13,01,12.3551,16.1168,9.4045,5.6075,25.6327,3.7053,87.6449,83.8832,90.5955,94.3925,74.3673,96.2947
Jammu & Kashmir,age_14_17,01,10.7292,16.3328,8.5919,4.1667,23.6939,3.4762,89.2708,83.6672,91.4081,95.8333,76.3061,96.5238
Jammu & Kashmir,age_18_21,01,11.4878,16.9399,10.4809,6.25,27.9844,4.6684,88.5122,83.0601,89.5191,93.75,72.0156,95.3316
Jammu & Kashmir,age_22_25,01,16.0307,13.2911,10.4572,10.2941,31.6342,4.3361,83.9693,86.7089,89.5428,89.7059,68.3658,95.6639
Jammu & Kashmir,age_26_29,01,20.5182,12.0347,11.7266,6.3063,37.1454,4.1104,79.4818,87.9653,88.2734,93.6937,62.8546,95.8896
