state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_female,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_female,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_female,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_female,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_female,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_female,Literacy_rate_buddhist_male,Literacy_rate_christian_female,Literacy_rate_christian_male,Literacy_rate_hindu_female,Literacy_rate_hindu_male,Literacy_rate_jain_female,Literacy_rate_jain_male,Literacy_rate_muslim_female,Literacy_rate_muslim_male,Literacy_rate_sikh_female,Literacy_rate_sikh_male,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female,CMPR_buddhist_female,CMPR_christian_female,CMPR_hindu_female,CMPR_jain_female,CMPR_muslim_female,CMPR_sikh_female,CMPR_buddhist_male,CMPR_christian_male,CMPR_hindu_male,CMPR_jain_male,CMPR_muslim_male,CMPR_sikh_male
INDIA,age_below10,0,97.277,96.0714,96.5072,96.3508,95.1018,97.3683,74.5376,74.0724,77.115,76.5939,78.3451,76.2442,69.8147,70.2542,81.5382,79.8965,72.3682,72.3616,25.4624,25.9276,22.885,23.4061,21.6549,23.7558,30.1853,29.7458,18.4618,20.1035,27.6318,27.6384,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
INDIA,age_10_13,0,37.372,34.4128,41.1577,24.2432,47.3565,42.5514,8.9318,5.9207,14.3094,12.3293,22.1867,12.784,1.7797,1.2856,30.0052,23.3147,11.3285,8.6647,91.0682,94.0793,85.6906,87.6707,77.8133,87.216,98.2203,98.7144,69.9948,76.6853,88.6715,91.3353,5.8034,8.9225,7.0882,12.9119,5.7851,5.782,,,,,,,,,,,,
INDIA,age_14_17,0,8.0336,8.2926,10.4522,1.6451,14.9335,5.2762,9.9364,5.94,12.3583,10.0532,23.9937,12.6788,1.554,1.1583,31.5615,23.6582,13.2288,10.3962,90.0636,94.06,87.6417,89.9468,76.0063,87.3212,98.446,98.8417,68.4385,76.3418,86.7712,89.6038,41.7801,38.8387,35.8943,40.5937,31.384,38.2232,,,,,,,,,,,,
INDIA,age_18_21,0,8.5651,6.8206,9.5143,1.8814,12.854,3.6203,14.982,6.9654,14.3333,10.4613,30.5605,14.1549,1.9911,1.4531,35.7161,24.7876,16.9787,13.1542,85.018,93.0346,85.6667,89.5387,69.4395,85.8451,98.0089,98.5469,64.2839,75.2124,83.0213,86.8458,25.3902,19.786,20.1688,8.2272,21.4448,17.576,,,,,,,,,,,,
INDIA,age_22_25,0,10.4484,6.3174,10.2386,1.6427,14.108,2.8125,21.2177,7.5561,16.092,10.4117,37.8608,15.5611,2.9848,1.4003,42.697,25.5952,23.3302,15.7267,78.7823,92.4439,83.908,89.5883,62.1392,84.4389,97.0152,98.5997,57.303,74.4048,76.6698,84.2733,22.373,16.8406,18.0985,7.1273,19.253,15.532,,,,,,,,,,,,
INDIA,age_26_29,0,15.0302,7.2973,12.8027,2.1544,17.7934,3.6677,30.0888,10.0698,19.9646,12.1637,45.2682,19.927,4.2521,1.6687,50.6247,30.0103,31.8627,20.4465,69.9112,89.9302,80.0354,87.8363,54.7318,80.073,95.7479,98.3313,49.3753,69.9897,68.1373,79.5535,20.0431,16.4442,17.0264,9.734,17.3507,16.7004,,,,,,,,,,,,
INDIA,age_30_33,0,23.4502,8.5498,15.359,2.8591,21.3613,4.5915,41.092,14.4845,22.6676,13.5382,52.1029,24.2771,5.1923,1.8894,57.3281,34.6324,38.306,24.6443,58.908,85.5155,77.3324,86.4618,47.8971,75.7229,94.8077,98.1106,42.6719,65.3676,61.694,75.3557,16.5141,17.1681,16.1789,11.8607,15.6274,17.8058,,,,,,,,,,,,
INDIA,age_34_plus,0,35.3879,19.2577,21.8764,13.5214,30.1596,6.9061,67.9674,30.3342,32.6788,19.1667,66.7924,34.5568,16.7944,3.2727,70.4346,42.1041,59.072,38.9361,32.0326,69.6658,67.3212,80.8333,33.2076,65.4432,83.2056,96.7273,29.5654,57.8959,40.928,61.0639,11.8151,14.9185,13.7338,12.3825,11.1489,15.8439,,,,,,,,,,,,
Jammu & Kashmir,age_below10,1,94.7771,96.4286,95.696,90.9091,92.2759,95.5205,76.4853,75.4902,77.1787,76.3214,76.8485,75.189,75.9563,74.5455,82.9265,79.3189,68.9699,69.7962,23.5147,24.5098,22.8213,23.6786,23.1515,24.811,24.0437,25.4545,17.0735,20.6811,31.0301,30.2038,0.0,0.0,0.0,0.0,0.0,0.0,15.2513,18.3639,17.3726,15.873,22.0797,21.2588,5.8386,10.8141,7.8584,11.8203,8.2823,9.0046
Jammu & Kashmir,age_10_13,1,43.9851,47.069,37.0936,21.1765,36.633,29.3121,18.2547,12.3551,20.5479,16.1168,18.2026,9.4045,6.5934,5.6075,40.2203,25.6327,5.2529,3.7053,81.7453,87.6449,79.4521,83.8832,81.7974,90.5955,93.4066,94.3925,59.7797,74.3673,94.7471,96.2947,5.2791,5.8621,7.478,15.2941,5.0561,10.2028,15.2513,18.3639,17.3726,15.873,22.0797,21.2588,5.8386,10.8141,7.8584,11.8203,8.2823,9.0046
Jammu & Kashmir,age_14_17,1,6.2835,9.4162,4.2401,3.4091,4.055,1.6515,16.933,10.7292,20.7463,16.3328,17.8867,8.5919,15.3846,4.1667,43.0579,23.6939,5.6705,3.4762,83.067,89.2708,79.2537,83.6672,82.1133,91.4081,84.6154,95.8333,56.9421,76.3061,94.3295,96.5238,41.3054,41.0546,45.4696,37.5,46.2454,49.5706,15.2513,18.3639,17.3726,15.873,22.0797,21.2588,5.8386,10.8141,7.8584,11.8203,8.2823,9.0046
Jammu & Kashmir,age_18_21,1,3.7809,6.2241,2.8974,5.0,3.2048,1.5267,22.7919,11.4878,21.7532,16.9399,20.5166,10.4809,9.0909,6.25,50.8297,27.9844,6.2053,4.6684,77.2081,88.5122,78.2468,83.0601,79.4834,89.5191,90.9091,93.75,49.1703,72.0156,93.7947,95.3316,32.3316,31.5353,34.1701,15.0,24.1852,25.9825,15.2513,18.3639,17.3726,15.873,22.0797,21.2588,5.8386,10.8141,7.8584,11.8203,8.2823,9.0046
Jammu & Kashmir,age_22_25,1,3.429,6.1483,2.3987,1.9048,2.6205,1.3052,32.3138,16.0307,30.0,13.2911,27.0688,10.4572,16.0,10.2941,59.9421,31.6342,8.5018,4.3361,67.6862,83.9693,70.0,86.7089,72.9312,89.5428,84.0,89.7059,40.0579,68.3658,91.4982,95.6639,25.0133,23.5081,28.9794,6.6667,20.3888,23.7012,15.2513,18.3639,17.3726,15.873,22.0797,21.2588,5.8386,10.8141,7.8584,11.8203,8.2823,9.0046
Jammu & Kashmir,age_26_29,1,4.1652,5.7082,2.9335,0.0,2.8812,1.6118,45.1713,20.5182,38.4115,12.0347,35.4567,11.7266,16.092,6.3063,71.6075,37.1454,11.8809,4.1104,54.8287,79.4818,61.5885,87.9653,64.5433,88.2734,83.908,93.6937,28.3925,62.8546,88.1191,95.8896,19.6964,17.5476,26.7518,5.4795,20.1175,26.9516,15.2513,18.3639,17.3726,15.873,22.0797,21.2588,5.8386,10.8141,7.8584,11.8203,8.2823,9.0046
Jammu & Kashmir,age_30_33,1,5.6143,6.1333,3.5808,1.2048,2.851,1.9386,60.5832,26.0405,38.7255,9.5051,43.0294,13.5227,8.7912,9.7087,78.0278,43.0619,16.0774,4.5849,39.4168,73.9595,61.2745,90.4949,56.9706,86.4773,91.2088,90.2913,21.9722,56.9381,83.9226,95.4151,18.362,17.6,23.934,4.8193,19.7841,28.1026,15.2513,18.3639,17.3726,15.873,22.0797,21.2588,5.8386,10.8141,7.8584,11.8203,8.2823,9.0046
Jammu & Kashmir,age_34_plus,1,6.9297,6.8044,5.0496,1.7544,3.4655,4.34,83.4891,49.2274,59.9708,23.4236,65.4678,30.4747,21.0162,11.6412,87.574,59.0546,41.3712,13.0507,16.5109,50.7726,40.0292,76.5764,34.5322,69.5253,78.9838,88.3588,12.426,40.9454,58.6288,86.9493,14.9571,17.74,20.206,11.9883,16.9293,26.2514,15.2513,18.3639,17.3726,15.873,22.0797,21.2588,5.8386,10.8141,7.8584,11.8203,8.2823,9.0046
Himachal Pradesh,age_below10,2,98.1828,97.7143,98.3829,96.5517,98.4656,98.2933,68.4805,67.9565,73.8416,74.9656,70.1252,70.0305,67.0455,72.4409,77.4148,74.9469,68.6087,68.288,31.5195,32.0435,26.1584,25.0344,29.8748,29.9695,32.9545,27.5591,22.5852,25.0531,31.3913,31.712,0.0,0.0,0.0,0.0,0.0,0.0,10.0109,14.7541,8.3876,15.3061,11.4295,7.951,5.2043,4.7393,3.31,0.0,5.7517,3.3201
Himachal Pradesh,age_10_13,2,42.7756,33.3333,39.9652,24.0,55.1886,35.4422,2.9163,2.5195,7.3684,7.047,3.5332,1.9514,1.9608,0.0,21.7839,11.4723,2.5173,2.0694,97.0837,97.4805,92.6316,92.953,96.4668,98.0486,98.0392,100.0,78.2161,88.5277,97.4827,97.9306,4.7161,8.3333,5.1205,10.0,3.102,6.1653,10.0109,14.7541,8.3876,15.3061,11.4295,7.951,5.2043,4.7393,3.31,0.0,5.7517,3.3201
Himachal Pradesh,age_14_17,2,7.7513,7.0866,4.3839,1.7857,10.8124,2.3977,3.6353,3.635,4.5113,10.7884,5.2568,2.6275,1.7544,0.0,29.2824,16.5655,2.9764,2.9324,96.3647,96.365,95.4887,89.2116,94.7432,97.3725,98.2456,100.0,70.7176,83.4345,97.0236,97.0676,42.2635,40.9449,41.4821,35.7143,30.293,42.5599,10.0109,14.7541,8.3876,15.3061,11.4295,7.951,5.2043,4.7393,3.31,0.0,5.7517,3.3201
