state_name,age_bracket,state_code,Below_primary_share_total_female,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female,Child_labour_attending_total_female,Child_labour_dropout_total_female,Dropout_rate_total_female,Graduate_share_total_female,Illiteracy_rate_total_female,Literacy_rate_total_female,Non_worker_dropout_total_female,School_attendance_rate_total_female
INDIA,age_10_13,00,41.8428,,6.1648,,,8.8271,,1.3729,2.7214,,,4.5465,6.6313,71.9538,25.7901,25.7901,0.0,23.0028,76.9972,0.0,74.2099
INDIA,age_14_17,00,10.8523,,36.9176,,,38.3443,,17.8561,29.3089,,,34.6223,33.8938,50.3543,41.4854,41.4854,0.0,24.5505,75.4495,0.0,58.5146
INDIA,age_18_21,00,9.7065,,41.8693,,,39.1702,,50.6525,48.0633,,,44.9397,41.6955,25.3918,60.1092,60.1092,0.0,30.4898,69.5102,0.0,39.8908
INDIA,age_22_25,00,10.3554,,7.1374,,,5.5531,,18.4722,11.1311,,,8.227,8.8786,,,,10.5185,37.4887,62.5113,,
INDIA,age_26_29,00,12.9194,,1.3413,,,0.9124,,4.099,2.106,,,1.441,1.7844,,,,12.9768,44.8989,55.1011,,
INDIA,age_30_33,00,15.4482,,0.4701,,,0.3961,,0.9311,0.5101,,,0.405,0.5325,,,,11.4311,51.6027,48.3973,,
INDIA,age_34_plus,00,22.166,,0.2539,,,0.2666,,0.2934,0.1846,,,0.178,0.2659,,,,8.1254,65.9865,34.0135,,
INDIA,age_below10,00,96.3234,,2.6008,,,3.6339,,1.5579,1.8623,,,2.1512,2.9576,54.3751,45.2622,45.2622,0.0,78.7455,21.2545,0.0,54.7378
Jammu & Kashmir,age_10_13,01,36.7183,1.8452,2.721,3.2154,,2.702,2.3777,0.6481,1.0511,,,2.1003,2.3032,66.008,32.3134,32.3134,0.0,33.8654,66.1346,0.0,67.6866
Jammu & Kashmir,age_14_17,01,4.0987,20.4356,23.2909,27.2967,,23.4997,22.4118,10.2241,16.3033,,,23.8743,21.2445,53.8151,41.7483,41.7483,0.0,35.3454,64.6546,0.0,58.2517
Jammu & Kashmir,age_18_21,01,3.0585,44.9501,38.3426,48.4061,,46.5249,44.4177,42.8176,46.7928,,,45.8469,45.4984,33.9548,58.5638,58.5638,0.0,41.324,58.676,0.0,41.4362
Jammu & Kashmir,age_22_25,01,2.5013,15.677,11.6655,12.3955,,15.0438,17.1529,25.3974,19.1416,,,13.7615,16.8153,,,,11.4481,48.593,51.407,,
Jammu & Kashmir,age_26_29,01,2.8788,4.0927,2.4645,2.5249,,3.4125,5.2756,5.8868,3.6325,,,2.4075,3.9333,,,,16.815,58.1891,41.8109,,
