state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Child_labour_attending_total_male,Child_labour_dropout_total_male,Dropout_rate_total_male,Graduate_share_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male,School_attendance_rate_total_male
INDIA,age_10_13,00,41.9748,,1.6087,,,2.2635,,0.9068,1.5793,,,1.6621,1.6191,80.7945,16.11,16.11,0.0,14.315,85.685,83.89
INDIA,age_14_17,00,9.8546,,7.9134,,,10.7195,,5.528,8.2851,,,8.102,8.0692,61.6858,21.4646,21.4646,0.0,14.1578,85.8422,78.5354
INDIA,age_18_21,00,8.5347,,39.8676,,,45.0593,,32.5754,38.6961,,,39.8322,38.3906,37.0085,26.2181,26.2181,0.0,15.513,84.487,73.7819
INDIA,age_22_25,00,8.2356,,31.2563,,,26.7431,,31.9972,29.0552,,,30.4945,29.4552,,,,10.1422,16.7234,83.2766,
INDIA,age_26_29,00,9.7121,,9.2705,,,6.0193,,15.2964,11.1754,,,9.6392,10.9629,,,,14.9171,20.9194,79.0806,
INDIA,age_30_33,00,11.7813,,4.322,,,3.2426,,6.6004,4.7401,,,4.2278,5.0262,,,,14.6036,25.1951,74.8049,
INDIA,age_34_plus,00,18.036,,1.9425,,,1.4655,,2.1914,1.6931,,,1.6483,1.8806,,,,11.9541,35.0362,64.9638,
INDIA,age_below10,00,96.359,,1.3751,,,1.6159,,1.2041,1.4641,,,1.4289,1.4219,58.4097,41.0491,41.0491,0.0,76.7666,23.2334,58.9509
Jammu & Kashmir,age_10_13,01,37.9556,0.3911,0.4473,0.3816,,0.4535,0.3424,0.3208,0.3597,,,0.4099,0.4068,78.1591,19.3448,19.3448,0.0,20.9725,79.0275,80.6552
Jammu & Kashmir,age_14_17,01,4.4201,4.3136,4.524,4.198,,4.4993,3.3895,2.5171,3.367,,,3.985,3.7807,68.651,21.4237,21.4237,0.0,19.1968,80.8032,78.5763
Jammu & Kashmir,age_18_21,01,3.469,35.4011,34.2585,38.7217,,36.8742,33.1594,27.8879,32.6061,,,34.661,32.7408,45.0652,30.4437,30.4437,0.0,22.2825,77.7175,69.5563
Jammu & Kashmir,age_22_25,01,2.9213,34.2831,32.7161,34.592,,32.8935,35.2828,36.2749,36.1747,,,35.1529,33.957,,,,9.251,23.5719,76.4281,
Jammu & Kashmir,age_26_29,01,2.6651,10.154,10.814,9.7005,,9.2921,13.7777,17.1671,13.8593,,,11.5972,12.943,,,,14.4242,26.4759,73.5241,
Jammu & Kashmir,age_30_33,01,2.6668,6.5047,5.4011,5.7965,,6.7913,6.8066,6.4029,5.1894,,,5.2034,6.7282,,,,13.6907,30.1658,69.8342,
Jammu & Kashmir,age_34_plus,01,4.3847,2.2687,2.2698,2.2581,,2.8874,2.0719,1.427,1.3241,,,1.8385,2.239,,,,13.7141,48.4945,51.5055,
Jammu & Kashmir,age_below10,01,93.797,0.7657,0.9005,0.6102,,0.665,0.6556,0.8478,0.8125,,,0.721,0.7577,54.2295,44.9946,44.9946,0.0,77.9981,22.0019,55.0054
Himachal Pradesh,age_10_13,02,39.811,0.3124,0.587,0.4467,,0.8721,0.3844,0.179,0.2816,,,0.4111,0.436,96.5417,2.6512,2.6512,0.0,2.1748,97.8252,97.3488
Himachal Pradesh,age_14_17,02,4.2383,3.9644,5.6338,4.4106,,6.5787,3.5463,1.3875,2.7933,,,4.4499,3.7078,86.3761,7.0932,7.0932,0.0,2.9496,97.0504,92.9068
Himachal Pradesh,age_18_21,02,4.0777,30.8185,38.4681,36.6093,,37.2272,30.4307,21.6599,30.8222,,,37.2017,30.0295,58.2719,18.2362,18.2362,0.0,5.0848,94.9152,81.7638
Himachal Pradesh,age_22_25,02,4.3782,38.8906,33.7324,36.6027,,32.3899,38.0283,43.156,41.4624,,,37.1934,37.6132,,,,8.2035,5.9736,94.0264,
Himachal Pradesh,age_26_29,02,5.3663,14.9611,11.3562,12.8455,,10.0007,18.0163,23.7929,16.525,,,12.664,17.5562,,,,12.5827,8.0571,91.9429,
Himachal Pradesh,age_30_33,02,6.9439,5.1475,4.6781,4.4462,,5.958,5.29,5.1654,3.9112,,,3.7196,5.3933,,,,11.3986,10.792,89.208,
Himachal Pradesh,age_34_plus,02,12.5881,2.4841,2.6248,2.12,,3.8936,1.8087,1.08,1.1428,,,1.4862,2.054,,,,9.7106,28.5429,71.4571,
Himachal Pradesh,age_below10,02,98.4271,0.9578,0.8775,0.8479,,0.9776,0.8346,1.0155,0.8763,,,0.8489,0.9475,74.599,25.2165,25.2165,0.0,70.1105,29.8895,74.7835
Punjab,age_10_13,03,45.926,0.2938,0.4757,0.2304,,0.4046,0.2913,0.2087,0.2809,,,0.3321,0.3105,86.9151,10.2391,10.2391,0.0,9.6023,90.3977,89.7609
Punjab,age_14_17,03,5.2512,3.5783,4.4259,2.7323,,4.1988,2.8411,1.6737,2.8282,,,3.4661,2.9815,66.1496,16.8308,16.8308,0.0,11.5373,88.4627,83.1692
Punjab,age_18_21,03,4.1203,42.1326,37.9278,37.2959,,39.893,33.3272,27.7006,34.9849,,,37.7224,33.425,34.1791,23.8343,23.8343,0.0,14.8061,85.1939,76.1657
Punjab,age_22_25,03,3.3724,37.2519,35.2024,39.8924,,35.8788,40.7288,44.6059,40.4845,,,38.2456,39.6339,,,,7.1108,16.921,83.079,
Punjab,age_26_29,03,3.7511,8.1034,8.8231,10.3638,,8.0426,13.3148,15.9161,11.5973,,,9.8873,12.7006,,,,10.5432,21.1723,78.8277,
Punjab,age_30_33,03,4.157,3.3955,3.7771,4.1737,,4.5232,4.1144,3.7728,3.511,,,3.5065,4.2354,,,,11.3137,24.8826,75.1174,
Punjab,age_34_plus,03,5.9033,1.2056,1.7456,1.6745,,2.1994,1.2761,0.8813,1.0833,,,1.2222,1.4764,,,,11.7309,38.1696,61.8304,
Punjab,age_below10,03,97.6163,0.7194,0.8373,0.6704,,0.701,0.7197,0.8112,0.7645,,,0.7651,0.7536,66.5001,33.0145,33.0145,0.0,72.767,27.233,66.9855
Chandigarh,age_10_13,04,40.6328,0.6873,2.1915,1.1036,,2.2111,1.0032,0.615,1.317,,,1.4823,0.9951,89.7395,7.7251,7.7251,0.0,7.579,92.421,92.2749
Chandigarh,age_14_17,04,4.8287,5.1546,11.6276,5.5178,,13.2598,6.176,3.8225,8.0434,,,9.8997,6.132,73.2416,10.3299,10.3299,0.0,9.0149,90.9851,89.6701
Chandigarh,age_18_21,04,4.0233,35.0515,42.4484,33.2767,,45.2322,29.0465,25.4297,39.7138,,,43.1651,28.6136,46.1851,13.3899,13.3899,0.0,12.3136,87.6864,86.6101
Chandigarh,age_22_25,04,3.1861,30.5842,26.8984,34.4652,,24.7792,33.5609,39.7184,32.9736,,,29.4021,33.1388,,,,18.4478,11.7236,88.2764,
Chandigarh,age_26_29,04,3.1829,19.9313,7.426,14.7708,,5.6731,20.1516,20.194,9.7983,,,7.6549,19.9726,,,,26.4283,14.2333,85.7667,
Chandigarh,age_30_33,04,3.1965,3.0928,2.5126,5.2632,,2.5273,4.9567,4.3139,2.5272,,,2.3451,5.1707,,,,27.8208,16.6006,83.3994,
Chandigarh,age_34_plus,04,3.1395,1.0309,1.1027,1.9525,,1.0447,1.1737,1.0908,0.8205,,,0.8844,1.3873,,,,37.0987,16.9356,83.0644,
Chandigarh,age_below10,04,97.9147,1.7182,1.9542,0.764,,1.9605,1.4188,1.3288,1.6652,,,1.9227,1.4339,74.7889,24.9003,24.9003,0.0,72.4802,27.5198,75.0997
State - UTTARANCHAL  05,age_10_13,05,44.6675,0.5347,1.2487,0.8869,,1.142,0.6127,0.3236,0.5271,,,0.8213,0.6975,91.0052,7.7956,7.7956,0.0,6.6644,93.3356,92.2044
State - UTTARANCHAL  05,age_14_17,05,6.0353,4.9085,8.2714,6.4759,,8.2663,4.7465,2.557,4.6717,,,6.4006,5.1984,77.5988,14.1345,14.1345,0.0,7.3552,92.6448,85.8655
State - UTTARANCHAL  05,age_18_21,05,4.5668,51.8363,42.7646,44.7425,,45.9754,38.4573,31.7338,42.7753,,,43.67,37.9588,52.8277,23.4326,23.4326,0.0,9.9288,90.0712,76.5674
State - UTTARANCHAL  05,age_22_25,05,4.1726,30.6707,30.5577,32.8815,,28.9663,34.9144,40.0795,35.4441,,,32.931,34.2241,,,,14.2958,11.629,88.371,
State - UTTARANCHAL  05,age_26_29,05,4.7332,5.3201,8.1304,8.1831,,6.142,12.7198,15.883,9.2852,,,8.2605,12.2329,,,,20.827,14.5713,85.4287,
State - UTTARANCHAL  05,age_30_33,05,5.3116,2.4229,3.5431,3.004,,3.4786,4.2752,4.39,2.7649,,,3.1649,4.3056,,,,19.6107,16.8749,83.1251,
State - UTTARANCHAL  05,age_34_plus,05,10.801,1.0895,2.1378,1.4031,,2.0053,1.4204,1.2365,1.0156,,,1.5728,1.6339,,,,14.9805,25.9819,74.0181,
State - UTTARANCHAL  05,age_below10,05,97.1291,1.0513,1.0834,0.975,,1.1649,0.9581,0.9274,0.996,,,1.0077,1.0357,66.9575,32.763,32.763,0.0,73.9482,26.0518,67.237
Haryana,age_10_13,06,48.5585,1.5281,2.4953,2.0644,,2.1502,1.4448,0.9297,1.5178,,,2.0199,1.5887,89.4241,8.8126,8.8126,0.0,7.7291,92.2709,91.1874
Haryana,age_14_17,06,6.7813,12.0972,15.1298,14.0771,,14.6239,10.5708,7.9512,11.5873,,,13.5932,11.2983,72.4757,14.1575,14.1575,0.0,8.6047,91.3953,85.8425
Haryana,age_18_21,06,4.9974,49.3085,45.8522,48.5785,,46.3242,43.0915,41.2287,46.381,,,47.7963,42.9956,44.6031,20.0189,20.0189,0.0,11.0304,88.9696,79.9811
Haryana,age_22_25,06,4.3496,26.3409,23.2209,24.6408,,23.8216,29.9513,34.1605,28.0245,,,24.9113,28.7329,,,,8.87,12.975,87.025,
Haryana,age_26_29,06,4.8109,4.9946,5.0147,4.9265,,5.1476,8.7712,9.4963,6.2536,,,5.1002,8.2157,,,,12.9337,17.4293,82.5707,
Haryana,age_30_33,06,5.4664,1.6677,1.8352,1.597,,2.4,2.147,1.8825,1.5746,,,1.4977,2.1985,,,,12.8162,22.5118,77.4882,
Haryana,age_34_plus,06,7.5197,0.733,1.0635,0.8053,,1.495,0.7435,0.4886,0.5704,,,0.6089,0.8912,,,,12.7787,36.2813,63.7187,
Haryana,age_below10,06,97.9211,1.6312,2.1714,1.8423,,1.7443,1.5451,1.4636,1.6795,,,1.9094,1.646,62.2471,37.3873,37.3873,0.0,74.452,25.548,62.6127
State - DELHI  07,age_10_13,07,40.1945,1.1878,1.5573,0.7619,,1.8537,0.7799,0.5266,0.9989,,,1.1898,0.8365,89.2255,8.9266,8.9266,0.0,6.9849,93.0151,91.0734
State - DELHI  07,age_14_17,07,5.366,11.3716,11.7016,9.1519,,12.813,6.369,4.8742,8.4247,,,9.9494,6.6188,69.8941,16.5894,16.5894,0.0,8.5627,91.4373,83.4106
State - DELHI  07,age_18_21,07,4.542,45.7238,44.0608,47.5707,,45.0718,32.6357,32.2105,42.2244,,,44.1275,32.7962,42.2665,21.5234,21.5234,0.0,11.1192,88.8808,78.4766
State - DELHI  07,age_22_25,07,3.5969,28.0963,27.5332,30.5271,,26.2538,34.6208,38.2039,32.2899,,,29.7778,33.7937,,,,18.0411,10.7087,89.2913,
