state_name,age_bracket,state_code,Below_primary_share_total_female,Below_primary_share_total_male,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male,Child_labour_attending_total_female,Child_labour_attending_total_male,Child_labour_dropout_total_female,Child_labour_dropout_total_male,Dropout_rate_total_female,Dropout_rate_total_male,Graduate_share_total_female,Graduate_share_total_male,Illiteracy_rate_total_female,Illiteracy_rate_total_male,Literacy_rate_total_female,Literacy_rate_total_male,Non_worker_dropout_total_female,School_attendance_rate_total_female,School_attendance_rate_total_male
INDIA,age_10_13,00,41.8428,41.9748,,,6.1648,1.6087,,,,,8.8271,2.2635,,,1.3729,0.9068,2.7214,1.5793,,,,,4.5465,1.6621,6.6313,1.6191,71.9538,80.7945,25.7901,16.11,25.7901,16.11,0.0,0.0,23.0028,14.315,76.9972,85.685,0.0,74.2099,83.89
INDIA,age_14_17,00,10.8523,9.8546,,,36.9176,7.9134,,,,,38.3443,10.7195,,,17.8561,5.528,29.3089,8.2851,,,,,34.6223,8.102,33.8938,8.0692,50.3543,61.6858,41.4854,21.4646,41.4854,21.4646,0.0,0.0,24.5505,14.1578,75.4495,85.8422,0.0,58.5146,78.5354
INDIA,age_18_21,00,9.7065,8.5347,,,41.8693,39.8676,,,,,39.1702,45.0593,,,50.6525,32.5754,48.0633,38.6961,,,,,44.9397,39.8322,41.6955,38.3906,25.3918,37.0085,60.1092,26.2181,60.1092,26.2181,0.0,0.0,30.4898,15.513,69.5102,84.487,0.0,39.8908,73.7819
INDIA,age_22_25,00,10.3554,8.2356,,,7.1374,31.2563,,,,,5.5531,26.7431,,,18.4722,31.9972,11.1311,29.0552,,,,,8.227,30.4945,8.8786,29.4552,,,,,,,10.5185,10.1422,37.4887,16.7234,62.5113,83.2766,,,
INDIA,age_26_29,00,12.9194,9.7121,,,1.3413,9.2705,,,,,0.9124,6.0193,,,4.099,15.2964,2.106,11.1754,,,,,1.441,9.6392,1.7844,10.9629,,,,,,,12.9768,14.9171,44.8989,20.9194,55.1011,79.0806,,,
INDIA,age_30_33,00,15.4482,11.7813,,,0.4701,4.322,,,,,0.3961,3.2426,,,0.9311,6.6004,0.5101,4.7401,,,,,0.405,4.2278,0.5325,5.0262,,,,,,,11.4311,14.6036,51.6027,25.1951,48.3973,74.8049,,,
INDIA,age_34_plus,00,22.166,18.036,,,0.2539,1.9425,,,,,0.2666,1.4655,,,0.2934,2.1914,0.1846,1.6931,,,,,0.178,1.6483,0.2659,1.8806,,,,,,,8.1254,11.9541,65.9865,35.0362,34.0135,64.9638,,,
INDIA,age_below10,00,96.3234,96.359,,,2.6008,1.3751,,,,,3.6339,1.6159,,,1.5579,1.2041,1.8623,1.4641,,,,,2.1512,1.4289,2.9576,1.4219,54.3751,58.4097,45.2622,41.0491,45.2622,41.0491,0.0,0.0,78.7455,76.7666,21.2545,23.2334,0.0,54.7378,58.9509
Jammu & Kashmir,age_10_13,01,36.7183,37.9556,1.8452,0.3911,2.721,0.4473,3.2154,0.3816,,,2.702,0.4535,2.3777,0.3424,0.6481,0.3208,1.0511,0.3597,,,,,2.1003,0.4099,2.3032,0.4068,66.008,78.1591,32.3134,19.3448,32.3134,19.3448,0.0,0.0,33.8654,20.9725,66.1346,79.0275,0.0,67.6866,80.6552
Jammu & Kashmir,age_14_17,01,4.0987,4.4201,20.4356,4.3136,23.2909,4.524,27.2967,4.198,,,23.4997,4.4993,22.4118,3.3895,10.2241,2.5171,16.3033,3.367,,,,,23.8743,3.985,21.2445,3.7807,53.8151,68.651,41.7483,21.4237,41.7483,21.4237,0.0,0.0,35.3454,19.1968,64.6546,80.8032,0.0,58.2517,78.5763
Jammu & Kashmir,age_18_21,01,3.0585,3.469,44.9501,35.4011,38.3426,34.2585,48.4061,38.7217,,,46.5249,36.8742,44.4177,33.1594,42.8176,27.8879,46.7928,32.6061,,,,,45.8469,34.661,45.4984,32.7408,33.9548,45.0652,58.5638,30.4437,58.5638,30.4437,0.0,0.0,41.324,22.2825,58.676,77.7175,0.0,41.4362,69.5563
Jammu & Kashmir,age_22_25,01,2.5013,2.9213,15.677,34.2831,11.6655,32.7161,12.3955,34.592,,,15.0438,32.8935,17.1529,35.2828,25.3974,36.2749,19.1416,36.1747,,,,,13.7615,35.1529,16.8153,33.957,,,,,,,11.4481,9.251,48.593,23.5719,51.407,76.4281,,,
Jammu & Kashmir,age_26_29,01,2.8788,2.6651,4.0927,10.154,2.4645,10.814,2.5249,9.7005,,,3.4125,9.2921,5.2756,13.7777,5.8868,17.1671,3.6325,13.8593,,,,,2.4075,11.5972,3.9333,12.943,,,,,,,16.815,14.4242,58.1891,26.4759,41.8109,73.5241,,,
Jammu & Kashmir,age_30_33,01,3.2234,2.6668,1.6232,6.5047,0.7253,5.4011,1.0454,5.7965,,,1.4466,6.7913,1.751,6.8066,1.1925,6.4029,0.7249,5.1894,,,,,0.5284,5.2034,1.3859,6.7282,,,,,,,15.7871,13.6907,65.1333,30.1658,34.8667,69.8342,,,
Jammu & Kashmir,age_34_plus,01,4.3943,4.3847,0.8602,2.2687,0.3046,2.2698,0.4409,2.2581,,,0.5952,2.8874,0.582,2.0719,0.251,1.427,0.1856,1.3241,,,,,0.191,1.8385,0.5242,2.239,,,,,,,12.5696,13.7141,79.5212,48.4945,20.4788,51.5055,,,
Jammu & Kashmir,age_below10,01,93.4358,93.797,1.7897,0.7657,1.4106,0.9005,1.1161,0.6102,,,1.0169,0.665,1.0219,0.6556,0.998,0.8478,1.0567,0.8125,,,,,1.1166,0.721,1.0218,0.7577,47.244,54.2295,52.19,44.9946,52.19,44.9946,0.0,0.0,81.1464,77.9981,18.8536,22.0019,0.0,47.81,55.0054
