state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_christian_female,CMPR_hindu_female,CMPR_jain_female,CMPR_muslim_female,CMPR_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
INDIA,age_10_13,00,31.2187,29.911,31.753,20.1484,38.2017,32.2122,1.8778,0.5756,2.7544,1.0465,2.3186,0.5192,5.002,7.8626,9.1712,2.5401,15.2837,6.3194,94.998,92.1374,90.8288,97.4599,84.7163,93.6806,8.3449,11.0273,10.3152,13.7193,8.6126,8.7927
INDIA,age_14_17,00,4.086,6.399,5.0771,0.8092,8.8292,3.0164,16.9607,7.5265,21.0571,9.4042,22.1106,7.6595,4.9591,6.8928,10.3335,1.7887,17.0667,7.0512,95.0409,93.1072,89.6665,98.2113,82.9333,92.9488,43.9989,40.4396,40.1975,39.9602,36.2662,39.2494
INDIA,age_18_21,00,4.3706,5.3031,4.9239,0.8226,8.4651,1.9323,42.2008,33.3372,43.2743,38.258,45.1655,46.2517,6.7801,9.4682,15.9494,1.9104,22.4018,8.6841,93.2199,90.5318,84.0506,98.0896,77.5982,91.3159,18.4437,15.5997,18.3959,4.6533,19.52,13.3747
INDIA,age_below10,00,95.3897,93.8607,94.0664,94.8019,93.6382,95.0401,2.1481,1.2252,2.0751,1.6604,1.8192,0.8973,72.7991,74.2148,74.0119,71.055,76.7978,72.6962,27.2009,25.7852,25.9881,28.945,23.2022,27.3038,0.0,0.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,age_10_13,01,39.442,35.1798,28.3998,20.0,29.3139,24.3016,1.3093,1.0915,1.3979,0.657,1.2589,0.8189,6.8875,11.4458,7.2572,8.5366,17.7206,3.5076,93.1125,88.5542,92.7428,91.4634,82.2794,96.4924,7.5761,8.8435,9.7633,12.0,10.5342,11.4103
Jammu & Kashmir,age_14_17,01,3.8081,4.1958,2.0106,0.0,2.3474,0.7875,6.5215,12.2962,13.4342,2.8909,10.9332,8.4506,5.1657,10.4651,8.5049,6.9444,18.6874,2.4956,94.8343,89.5349,91.4951,93.0556,81.3126,97.5044,44.5891,44.2557,46.3589,29.8507,47.9625,42.9199
Jammu & Kashmir,age_18_21,01,3.6716,3.6247,1.3839,0.0,2.1327,0.5357,30.8211,38.6709,41.1598,40.2102,39.3232,38.3778,8.7483,14.4161,11.5282,4.7619,26.288,1.9895,91.2517,85.5839,88.4718,95.2381,73.712,98.0105,21.2647,25.5864,22.3914,15.0,25.8341,9.7547
Jammu & Kashmir,age_below10,01,94.6911,96.5167,95.6641,90.4762,93.3409,94.877,1.8402,1.1191,1.0322,0.3942,1.3288,1.0632,75.5017,76.2496,74.1316,73.0769,79.6899,70.87,24.4983,23.7504,25.8684,26.9231,20.3101,29.13,0.0,0.0,0.0,0.0,0.0,0.0
Himachal Pradesh,age_10_13,02,32.4419,26.5033,20.0635,15.7895,32.6678,24.1061,0.4235,1.2999,1.5399,0.3731,1.7111,0.7439,2.3368,4.0598,2.9221,3.3898,15.0196,1.96,97.6632,95.9402,97.0779,96.6102,84.9804,98.04,7.741,11.3586,11.195,10.5263,6.711,11.188
Himachal Pradesh,age_14_17,02,3.1866,2.4194,1.1713,0.0,5.25,0.9947,7.3776,10.8945,14.3507,2.7985,18.3475,8.6375,2.1536,7.4627,2.2372,0.0,16.2888,1.539,97.8464,92.5373,97.7628,100.0,83.7112,98.461,42.7727,46.7742,45.3418,44.4444,36.25,44.405
Himachal Pradesh,age_18_21,02,3.8516,3.2432,1.2684,0.0,4.7535,0.9548,33.3673,40.0805,44.9486,40.4851,50.9532,43.0017,3.3103,9.3137,3.0809,0.0,22.5894,1.5664,96.6897,90.6863,96.9191,100.0,77.4106,98.4336,16.0485,20.0,11.7159,5.5556,17.2095,8.3386
Himachal Pradesh,age_below10,02,96.3998,96.2329,94.9265,95.2381,96.0959,95.9602,0.6582,0.9285,1.0929,1.4925,1.2447,0.8694,68.6515,70.8292,71.2643,69.7842,76.9744,70.2972,31.3485,29.1708,28.7357,30.2158,23.0256,29.7028,0.0,0.0,0.0,0.0,0.0,0.0
