state_name,age_bracket,state_code,Below_primary_share_SC_female,CMPR_SC_female,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_dropout_SC_female,Dropout_rate_SC_female,Graduate_share_SC_female,Illiteracy_rate_SC_female,Literacy_rate_SC_female,Non_worker_dropout_SC_female,School_attendance_rate_SC_female
INDIA,age_10_13,00,34.9262,2.5292,1.919,2.1766,2.2396,14.4605,0.0,11.0122,88.9878,12.2209,85.5395
INDIA,age_14_17,00,6.5449,10.5209,6.5627,3.0268,10.6837,33.7192,0.0,12.5965,87.4035,23.0355,66.2808
INDIA,age_18_21,00,6.5808,50.9855,31.9761,2.7204,23.8881,64.8443,0.0,19.6802,80.3198,40.9563,35.1557
INDIA,age_22_25,00,8.2274,82.0121,65.677,,,,8.7832,28.4477,71.5523,,
INDIA,age_26_29,00,11.0613,90.7782,82.1643,,,,10.3446,39.4388,60.5612,,
INDIA,age_30_33,00,14.2143,93.1612,90.8992,,,,8.1307,49.6173,50.3827,,
INDIA,age_34_plus,00,22.3186,76.1348,83.614,,,,4.6406,72.4235,27.5765,,
INDIA,age_below10,00,94.2767,0.0,0.0,1.0258,0.7838,36.8007,0.0,74.8882,25.1118,36.0169,63.1993
Jammu & Kashmir,age_10_13,01,31.9257,2.0099,1.5556,2.5368,1.8211,10.2289,0.0,8.9579,91.0421,8.4079,89.7711
Jammu & Kashmir,age_14_17,01,2.9941,5.2771,3.5646,3.0296,6.5678,23.9559,0.0,10.1953,89.8047,17.388,76.0441
Jammu & Kashmir,age_18_21,01,2.015,29.2783,17.5641,2.5891,13.5436,50.8448,0.0,13.7027,86.2973,37.3012,49.1552
Jammu & Kashmir,age_22_25,01,1.8294,66.5193,46.4992,,,,6.3558,19.6718,80.3282,,
Jammu & Kashmir,age_26_29,01,2.4115,85.7963,70.4569,,,,8.2858,28.4468,71.5532,,
Jammu & Kashmir,age_30_33,01,3.2926,94.0111,88.4847,,,,6.4037,38.9759,61.0241,,
Jammu & Kashmir,age_34_plus,01,6.0864,80.9036,86.6179,,,,3.9418,71.771,28.229,,
Jammu & Kashmir,age_below10,01,96.1286,0.0,0.0,0.852,0.5597,34.3552,0.0,74.7443,25.2557,33.7956,65.6448
Himachal Pradesh,age_10_13,02,23.0311,1.9974,1.6046,13.6206,1.6194,4.6496,0.0,3.1509,96.8491,3.0301,95.3504
Himachal Pradesh,age_14_17,02,1.8571,4.7819,3.3525,16.842,10.1148,15.9929,0.0,2.7506,97.2494,5.8781,84.0071
Himachal Pradesh,age_18_21,02,2.1018,35.6579,22.2404,11.2188,31.5891,47.3656,0.0,3.9246,96.0754,15.7765,52.6344
Himachal Pradesh,age_22_25,02,2.6825,75.4206,55.7747,,,,8.5981,6.4228,93.5772,,
Himachal Pradesh,age_26_29,02,4.1665,91.2069,80.0078,,,,11.2732,11.8465,88.1535,,
Himachal Pradesh,age_30_33,02,6.5707,94.7749,92.0995,,,,7.435,18.5483,81.4517,,
Himachal Pradesh,age_34_plus,02,13.8286,77.5111,84.188,,,,2.6464,57.211,42.789,,
Himachal Pradesh,age_below10,02,95.2848,0.0,0.0,5.1918,0.7351,25.7186,0.0,71.6279,28.3721,24.9835,74.2814
Punjab,age_10_13,03,36.9971,2.5547,2.0224,1.6883,1.9393,14.0873,0.0,10.095,89.905,12.148,85.9127
Punjab,age_14_17,03,5.1337,5.5092,3.8937,1.8749,8.06,38.2039,0.0,12.3166,87.6834,30.1439,61.7961
Punjab,age_18_21,03,3.2657,30.4119,19.4752,1.4529,13.9699,66.4266,0.0,16.202,83.798,52.4567,33.5734
Punjab,age_22_25,03,2.5885,68.667,53.9204,,,,7.1208,22.6256,77.3744,,
Punjab,age_26_29,03,2.6075,87.2344,77.8393,,,,8.8245,32.7053,67.2947,,
Punjab,age_30_33,03,3.6241,94.0821,90.3709,,,,6.4236,45.4575,54.5425,,
Punjab,age_34_plus,03,5.6936,81.3793,85.2717,,,,3.7318,71.2489,28.7511,,
Punjab,age_below10,03,95.0038,0.0,0.0,1.0986,0.6827,30.2364,0.0,74.043,25.957,29.5537,69.7636
