state_name,age_bracket,state_code,Below_primary_share_SC_male,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_male,Child_labour_dropout_SC_male,Dropout_rate_SC_male,Graduate_share_SC_male,Illiteracy_rate_SC_male,Literacy_rate_SC_male,School_attendance_rate_SC_male
INDIA,age_10_13,00,36.0695,1.3597,1.919,2.3589,2.6804,12.2998,0.0,8.7158,91.2842,87.7002
INDIA,age_14_17,00,6.4869,3.1344,6.5627,4.0855,18.1296,30.9412,0.0,9.1443,90.8557,69.0588
INDIA,age_18_21,00,6.058,14.8961,31.9761,4.9947,43.0589,56.6628,0.0,11.2476,88.7524,43.3372
INDIA,age_22_25,00,6.6308,50.3365,65.677,,,,9.2146,13.8274,86.1726,
INDIA,age_26_29,00,7.9786,73.6026,82.1643,,,,12.0284,19.2011,80.7989,
INDIA,age_30_33,00,9.3399,88.6691,90.8992,,,,10.7964,24.489,75.511,
INDIA,age_34_plus,00,16.3694,90.9161,83.614,,,,8.3168,42.2561,57.7439,
INDIA,age_below10,00,94.0742,0.0,0.0,1.094,0.8496,35.8422,0.0,74.2109,25.7891,64.1578
Jammu & Kashmir,age_10_13,01,33.194,1.1545,1.5556,2.5727,1.6563,6.6439,0.0,5.6743,94.3257,93.3561
Jammu & Kashmir,age_14_17,01,2.8291,2.0532,3.5646,4.3047,10.5106,19.0458,0.0,5.3258,94.6742,80.9542
Jammu & Kashmir,age_18_21,01,2.6411,6.8261,17.5641,5.3307,30.1021,45.6955,0.0,7.3687,92.6313,54.3045
Jammu & Kashmir,age_22_25,01,2.8118,26.7681,46.4992,,,,4.6365,10.0194,89.9806,
Jammu & Kashmir,age_26_29,01,3.1492,56.6745,70.4569,,,,6.8822,13.8813,86.1187,
Jammu & Kashmir,age_30_33,01,3.7477,83.3927,88.4847,,,,6.8814,17.7634,82.2366,
Jammu & Kashmir,age_34_plus,01,5.2256,91.8331,86.6179,,,,5.5295,39.1838,60.8162,
Jammu & Kashmir,age_below10,01,95.6426,0.0,0.0,0.8909,0.4396,31.8055,0.0,73.6397,26.3603,68.1945
Himachal Pradesh,age_10_13,02,23.4821,1.2368,1.6046,13.0993,1.4499,4.0479,0.0,2.8569,97.1431,95.9521
Himachal Pradesh,age_14_17,02,1.8644,2.0326,3.3525,17.1362,10.7328,14.3463,0.0,2.0914,97.9086,85.6537
Himachal Pradesh,age_18_21,02,2.1279,9.2094,22.2404,13.2483,34.1893,40.9297,0.0,2.4943,97.5057,59.0703
Himachal Pradesh,age_22_25,02,2.7429,35.8278,55.7747,,,,6.7001,3.3948,96.6052,
Himachal Pradesh,age_26_29,02,3.7326,68.7116,80.0078,,,,11.3601,5.2208,94.7792,
Himachal Pradesh,age_30_33,02,5.1546,89.4407,92.0995,,,,10.0175,7.3588,92.6412,
Himachal Pradesh,age_34_plus,02,11.79,90.8251,84.188,,,,5.4052,27.1611,72.8389,
Himachal Pradesh,age_below10,02,95.1221,0.0,0.0,5.0334,0.7255,25.1478,0.0,71.4809,28.5191,74.8522
Punjab,age_10_13,03,40.711,1.569,2.0224,1.8954,3.4609,12.7164,0.0,9.315,90.685,87.2836
Punjab,age_14_17,03,5.6782,2.5241,3.8937,2.7175,22.0613,36.6177,0.0,11.9727,88.0273,63.3823
Punjab,age_18_21,03,4.1101,10.2221,19.4752,2.7553,48.2977,65.4489,0.0,15.1679,84.8321,34.5511
Punjab,age_22_25,03,3.7579,40.3707,53.9204,,,,4.0785,18.1995,81.8005,
Punjab,age_26_29,03,3.3181,68.7256,77.8393,,,,5.9033,23.2592,76.7408,
Punjab,age_30_33,03,3.623,86.7851,90.3709,,,,5.3122,30.3898,69.6102,
Punjab,age_34_plus,03,5.4287,88.9771,85.2717,,,,5.3635,49.128,50.872,
Punjab,age_below10,03,95.1001,0.0,0.0,1.2287,0.7906,29.3359,0.0,73.23,26.77,70.6641
Chandigarh,age_10_13,04,48.0835,0.6589,0.937,1.3556,1.9241,9.555,0.0,7.3029,92.6971,90.445
Chandigarh,age_14_17,04,7.1924,1.4676,2.7426,2.3909,13.6104,24.6765,0.0,8.2036,91.7964,75.3235
Chandigarh,age_18_21,04,4.6129,9.3355,19.2382,3.8675,36.7876,49.852,0.0,10.1406,89.8594,50.148
Chandigarh,age_22_25,04,3.5121,40.7228,53.2719,,,,9.8411,8.8845,91.1155,
Chandigarh,age_26_29,04,2.9947,73.1892,79.2318,,,,15.4742,12.2336,87.7664,
Chandigarh,age_30_33,04,3.2824,90.2979,91.7082,,,,13.2582,16.1742,83.8258,
Chandigarh,age_34_plus,04,4.8249,93.3167,88.1671,,,,14.5627,27.4619,72.5381,
Chandigarh,age_below10,04,97.561,0.0,0.0,1.1698,0.3807,27.0634,0.0,73.2617,26.7383,72.9366
Uttarakhand,age_10_13,05,37.1394,0.6526,1.0161,3.8019,1.3495,6.5766,0.0,4.6295,95.3705,93.4234
Uttarakhand,age_14_17,05,3.6853,1.4718,3.1262,5.9186,11.0214,18.4535,0.0,3.6447,96.3553,81.5465
Uttarakhand,age_18_21,05,2.3758,8.5164,22.8254,6.6176,33.3304,43.7221,0.0,5.1807,94.8193,56.2779
Uttarakhand,age_22_25,05,2.5411,44.0263,62.01,,,,12.5054,6.533,93.467,
Uttarakhand,age_26_29,05,2.8788,73.1988,82.173,,,,15.3239,10.4155,89.5845,
Uttarakhand,age_30_33,05,3.742,89.0424,91.8853,,,,14.4964,14.4487,85.5513,
Uttarakhand,age_34_plus,05,8.8611,89.1356,82.6934,,,,8.7836,30.6656,69.3344,
Uttarakhand,age_below10,05,95.3746,0.0,0.0,1.481,0.5127,29.9119,0.0,72.1778,27.8222,70.0881
Haryana,age_10_13,06,44.2905,1.4395,1.8689,1.3849,1.9829,8.2272,0.0,6.6903,93.3097,91.7728
Haryana,age_14_17,06,6.939,2.6501,4.7117,2.8689,14.797,24.4218,0.0,8.2862,91.7138,75.5782
Haryana,age_18_21,06,5.7997,13.9362,27.902,3.7143,39.9004,51.9478,0.0,11.1945,88.8055,48.0522
Haryana,age_22_25,06,5.5235,50.3259,65.5258,,,,7.6014,13.4232,86.5768,
Haryana,age_26_29,06,5.7471,77.0519,84.9798,,,,10.8149,18.0882,81.9118,
Haryana,age_30_33,06,6.438,90.1896,92.8548,,,,9.4065,24.0006,75.9994,
Haryana,age_34_plus,06,8.5301,90.7563,85.3347,,,,6.5988,45.312,54.688,
Haryana,age_below10,06,96.7576,0.0,0.0,0.6714,0.4974,30.8803,0.0,73.6618,26.3382,69.1197
NCT of Delhi,age_10_13,07,37.7634,0.6081,0.9519,0.588,1.1339,7.8987,0.0,5.0981,94.9019,92.1013
NCT of Delhi,age_14_17,07,4.3653,1.3656,2.9981,1.1065,9.3632,21.604,0.0,5.3227,94.6773,78.396
NCT of Delhi,age_18_21,07,3.3279,8.395,18.0837,2.1213,29.1045,47.2086,0.0,7.076,92.924,52.7914
NCT of Delhi,age_22_25,07,2.6165,37.0642,51.2795,,,,12.5906,7.4988,92.5012,
NCT of Delhi,age_26_29,07,2.4393,67.0579,75.5725,,,,15.2754,9.1444,90.8556,
NCT of Delhi,age_30_33,07,2.5899,87.4864,90.199,,,,13.9115,11.3483,88.6517,
NCT of Delhi,age_34_plus,07,4.4866,91.9007,85.7593,,,,13.1516,23.0104,76.9896,
NCT of Delhi,age_below10,07,95.9381,0.0,0.0,0.3239,0.2621,31.2748,0.0,73.0894,26.9106,68.7252
Rajasthan,age_10_13,08,40.7566,1.7677,2.6849,2.9824,3.4731,13.4064,0.0,9.5863,90.4137,86.5936
Rajasthan,age_14_17,08,7.6587,5.6794,10.056,5.1373,22.5714,32.49,0.0,9.7701,90.2299,67.51
Rajasthan,age_18_21,08,6.7681,26.6661,43.69,5.0996,50.2585,58.2881,0.0,11.9513,88.0487,41.7119
Rajasthan,age_22_25,08,7.2262,68.7879,79.1544,,,,9.4119,15.0608,84.9392,
Rajasthan,age_26_29,08,8.3116,86.4072,91.2194,,,,13.0706,20.8073,79.1927,
Rajasthan,age_30_33,08,9.279,93.0229,94.6626,,,,11.5038,26.4831,73.5169,
Rajasthan,age_34_plus,08,15.0511,91.2489,85.0049,,,,8.3768,48.3685,51.6315,
