state_name,age_bracket,state_code,Below_primary_share_SC_female,Below_primary_share_SC_male,CMPR_SC_female,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_attending_SC_male,Child_labour_dropout_SC_female,Child_labour_dropout_SC_male,Dropout_rate_SC_female,Dropout_rate_SC_male,Graduate_share_SC_female,Graduate_share_SC_male,Illiteracy_rate_SC_female,Illiteracy_rate_SC_male,Literacy_rate_SC_female,Literacy_rate_SC_male,Non_worker_dropout_SC_female,School_attendance_rate_SC_female,School_attendance_rate_SC_male
INDIA,age_10_13,00,34.9262,36.0695,2.5292,1.3597,1.919,2.1766,2.3589,2.2396,2.6804,14.4605,12.2998,0.0,0.0,11.0122,8.7158,88.9878,91.2842,12.2209,85.5395,87.7002
INDIA,age_14_17,00,6.5449,6.4869,10.5209,3.1344,6.5627,3.0268,4.0855,10.6837,18.1296,33.7192,30.9412,0.0,0.0,12.5965,9.1443,87.4035,90.8557,23.0355,66.2808,69.0588
INDIA,age_18_21,00,6.5808,6.058,50.9855,14.8961,31.9761,2.7204,4.9947,23.8881,43.0589,64.8443,56.6628,0.0,0.0,19.6802,11.2476,80.3198,88.7524,40.9563,35.1557,43.3372
INDIA,age_22_25,00,8.2274,6.6308,82.0121,50.3365,65.677,,,,,,,8.7832,9.2146,28.4477,13.8274,71.5523,86.1726,,,
INDIA,age_26_29,00,11.0613,7.9786,90.7782,73.6026,82.1643,,,,,,,10.3446,12.0284,39.4388,19.2011,60.5612,80.7989,,,
INDIA,age_30_33,00,14.2143,9.3399,93.1612,88.6691,90.8992,,,,,,,8.1307,10.7964,49.6173,24.489,50.3827,75.511,,,
INDIA,age_34_plus,00,22.3186,16.3694,76.1348,90.9161,83.614,,,,,,,4.6406,8.3168,72.4235,42.2561,27.5765,57.7439,,,
INDIA,age_below10,00,94.2767,94.0742,0.0,0.0,0.0,1.0258,1.094,0.7838,0.8496,36.8007,35.8422,0.0,0.0,74.8882,74.2109,25.1118,25.7891,36.0169,63.1993,64.1578
Jammu & Kashmir,age_10_13,01,31.9257,33.194,2.0099,1.1545,1.5556,2.5368,2.5727,1.8211,1.6563,10.2289,6.6439,0.0,0.0,8.9579,5.6743,91.0421,94.3257,8.4079,89.7711,93.3561
Jammu & Kashmir,age_14_17,01,2.9941,2.8291,5.2771,2.0532,3.5646,3.0296,4.3047,6.5678,10.5106,23.9559,19.0458,0.0,0.0,10.1953,5.3258,89.8047,94.6742,17.388,76.0441,80.9542
Jammu & Kashmir,age_18_21,01,2.015,2.6411,29.2783,6.8261,17.5641,2.5891,5.3307,13.5436,30.1021,50.8448,45.6955,0.0,0.0,13.7027,7.3687,86.2973,92.6313,37.3012,49.1552,54.3045
Jammu & Kashmir,age_22_25,01,1.8294,2.8118,66.5193,26.7681,46.4992,,,,,,,6.3558,4.6365,19.6718,10.0194,80.3282,89.9806,,,
Jammu & Kashmir,age_26_29,01,2.4115,3.1492,85.7963,56.6745,70.4569,,,,,,,8.2858,6.8822,28.4468,13.8813,71.5532,86.1187,,,
Jammu & Kashmir,age_30_33,01,3.2926,3.7477,94.0111,83.3927,88.4847,,,,,,,6.4037,6.8814,38.9759,17.7634,61.0241,82.2366,,,
Jammu & Kashmir,age_34_plus,01,6.0864,5.2256,80.9036,91.8331,86.6179,,,,,,,3.9418,5.5295,71.771,39.1838,28.229,60.8162,,,
Jammu & Kashmir,age_below10,01,96.1286,95.6426,0.0,0.0,0.0,0.852,0.8909,0.5597,0.4396,34.3552,31.8055,0.0,0.0,74.7443,73.6397,25.2557,26.3603,33.7956,65.6448,68.1945
Himachal Pradesh,age_10_13,02,23.0311,23.4821,1.9974,1.2368,1.6046,13.6206,13.0993,1.6194,1.4499,4.6496,4.0479,0.0,0.0,3.1509,2.8569,96.8491,97.1431,3.0301,95.3504,95.9521
Himachal Pradesh,age_14_17,02,1.8571,1.8644,4.7819,2.0326,3.3525,16.842,17.1362,10.1148,10.7328,15.9929,14.3463,0.0,0.0,2.7506,2.0914,97.2494,97.9086,5.8781,84.0071,85.6537
Himachal Pradesh,age_18_21,02,2.1018,2.1279,35.6579,9.2094,22.2404,11.2188,13.2483,31.5891,34.1893,47.3656,40.9297,0.0,0.0,3.9246,2.4943,96.0754,97.5057,15.7765,52.6344,59.0703
Himachal Pradesh,age_22_25,02,2.6825,2.7429,75.4206,35.8278,55.7747,,,,,,,8.5981,6.7001,6.4228,3.3948,93.5772,96.6052,,,
Himachal Pradesh,age_26_29,02,4.1665,3.7326,91.2069,68.7116,80.0078,,,,,,,11.2732,11.3601,11.8465,5.2208,88.1535,94.7792,,,
Himachal Pradesh,age_30_33,02,6.5707,5.1546,94.7749,89.4407,92.0995,,,,,,,7.435,10.0175,18.5483,7.3588,81.4517,92.6412,,,
Himachal Pradesh,age_34_plus,02,13.8286,11.79,77.5111,90.8251,84.188,,,,,,,2.6464,5.4052,57.211,27.1611,42.789,72.8389,,,
Himachal Pradesh,age_below10,02,95.2848,95.1221,0.0,0.0,0.0,5.1918,5.0334,0.7351,0.7255,25.7186,25.1478,0.0,0.0,71.6279,71.4809,28.3721,28.5191,24.9835,74.2814,74.8522
Punjab,age_10_13,03,36.9971,40.711,2.5547,1.569,2.0224,1.6883,1.8954,1.9393,3.4609,14.0873,12.7164,0.0,0.0,10.095,9.315,89.905,90.685,12.148,85.9127,87.2836
Punjab,age_14_17,03,5.1337,5.6782,5.5092,2.5241,3.8937,1.8749,2.7175,8.06,22.0613,38.2039,36.6177,0.0,0.0,12.3166,11.9727,87.6834,88.0273,30.1439,61.7961,63.3823
Punjab,age_18_21,03,3.2657,4.1101,30.4119,10.2221,19.4752,1.4529,2.7553,13.9699,48.2977,66.4266,65.4489,0.0,0.0,16.202,15.1679,83.798,84.8321,52.4567,33.5734,34.5511
Punjab,age_22_25,03,2.5885,3.7579,68.667,40.3707,53.9204,,,,,,,7.1208,4.0785,22.6256,18.1995,77.3744,81.8005,,,
Punjab,age_26_29,03,2.6075,3.3181,87.2344,68.7256,77.8393,,,,,,,8.8245,5.9033,32.7053,23.2592,67.2947,76.7408,,,
Punjab,age_30_33,03,3.6241,3.623,94.0821,86.7851,90.3709,,,,,,,6.4236,5.3122,45.4575,30.3898,54.5425,69.6102,,,
Punjab,age_34_plus,03,5.6936,5.4287,81.3793,88.9771,85.2717,,,,,,,3.7318,5.3635,71.2489,49.128,28.7511,50.872,,,
Punjab,age_below10,03,95.0038,95.1001,0.0,0.0,0.0,1.0986,1.2287,0.6827,0.7906,30.2364,29.3359,0.0,0.0,74.043,73.23,25.957,26.77,29.5537,69.7636,70.6641
Chandigarh,age_10_13,04,46.5015,48.0835,1.2584,0.6589,0.937,1.4309,1.3556,1.9121,1.9241,12.2578,9.555,0.0,0.0,10.0545,7.3029,89.9455,92.6971,10.3457,87.7422,90.445
Chandigarh,age_14_17,04,7.4939,7.1924,4.2444,1.4676,2.7426,1.8077,2.3909,6.7821,13.6104,26.1667,24.6765,0.0,0.0,10.5256,8.2036,89.4744,91.7964,19.3846,73.8333,75.3235
Chandigarh,age_18_21,04,3.6839,4.6129,31.5907,9.3355,19.2382,1.8896,3.8675,10.454,36.7876,47.6564,49.852,0.0,0.0,12.7362,10.1406,87.2638,89.8594,37.2025,52.3436,50.148
Chandigarh,age_22_25,04,2.9485,3.5121,67.3256,40.7228,53.2719,,,,,,,15.3299,9.8411,16.984,8.8845,83.016,91.1155,,,
Chandigarh,age_26_29,04,3.2557,2.9947,85.8812,73.1892,79.2318,,,,,,,19.3489,15.4742,25.8392,12.2336,74.1608,87.7664,,,
Chandigarh,age_30_33,04,4.257,3.2824,93.2382,90.2979,91.7082,,,,,,,16.5214,13.2582,35.9766,16.1742,64.0234,83.8258,,,
Chandigarh,age_34_plus,04,6.4145,4.8249,82.2221,93.3167,88.1671,,,,,,,11.234,14.5627,56.9721,27.4619,43.0279,72.5381,,,
Chandigarh,age_below10,04,96.7199,97.561,0.0,0.0,0.0,1.0594,1.1698,0.4556,0.3807,28.022,27.0634,0.0,0.0,73.9427,73.2617,26.0573,26.7383,27.5665,71.978,72.9366
Uttarakhand,age_10_13,05,36.3059,37.1394,1.4074,0.6526,1.0161,4.1772,3.8019,1.0872,1.3495,7.2256,6.5766,0.0,0.0,5.29,4.6295,94.71,95.3705,6.1384,92.7744,93.4234
Uttarakhand,age_14_17,05,3.8251,3.6853,4.923,1.4718,3.1262,5.4684,5.9186,7.8415,11.0214,22.8147,18.4535,0.0,0.0,5.1903,3.6447,94.8097,96.3553,14.9732,77.1853,81.5465
Uttarakhand,age_18_21,05,2.34,2.3758,38.2235,8.5164,22.8254,4.6183,6.6176,21.5704,33.3304,52.5954,43.7221,0.0,0.0,8.585,5.1807,91.415,94.8193,31.025,47.4046,56.2779
Uttarakhand,age_22_25,05,2.9947,2.5411,79.9265,44.0263,62.01,,,,,,,13.6777,12.5054,15.7915,6.533,84.2085,93.467,,,
Uttarakhand,age_26_29,05,5.0204,2.8788,91.2023,73.1988,82.173,,,,,,,15.9988,15.3239,29.2853,10.4155,70.7147,89.5845,,,
Uttarakhand,age_30_33,05,8.2815,3.742,94.6824,89.0424,91.8853,,,,,,,12.7658,14.4964,43.165,14.4487,56.835,85.5513,,,
Uttarakhand,age_34_plus,05,13.9901,8.8611,76.0588,89.1356,82.6934,,,,,,,6.2512,8.7836,72.4294,30.6656,27.5706,69.3344,,,
Uttarakhand,age_below10,05,95.6126,95.3746,0.0,0.0,0.0,1.6487,1.481,0.5302,0.5127,30.317,29.9119,0.0,0.0,72.7331,72.1778,27.2669,27.8222,29.7867,69.683,70.0881
Haryana,age_10_13,06,42.6535,44.2905,2.3718,1.4395,1.8689,1.3145,1.3849,1.1409,1.9829,8.8692,8.2272,0.0,0.0,7.6905,6.6903,92.3095,93.3097,7.7283,91.1308,91.7728
Haryana,age_14_17,06,7.0722,6.939,7.1906,2.6501,4.7117,2.0702,2.8689,5.896,14.797,26.4129,24.4218,0.0,0.0,10.2846,8.2862,89.7154,91.7138,20.5169,73.5871,75.5782
Haryana,age_18_21,06,5.53,5.7997,44.8738,13.9362,27.902,1.7595,3.7143,14.5627,39.9004,61.0878,51.9478,0.0,0.0,16.727,11.1945,83.273,88.8055,46.5251,38.9122,48.0522
Haryana,age_22_25,06,5.2127,5.5235,83.3482,50.3259,65.5258,,,,,,,7.485,7.6014,25.0557,13.4232,74.9443,86.5768,,,
Haryana,age_26_29,06,6.3642,5.7471,93.9474,77.0519,84.9798,,,,,,,9.1125,10.8149,35.9208,18.0882,64.0792,81.9118,,,
Haryana,age_30_33,06,8.3332,6.438,95.7074,90.1896,92.8548,,,,,,,6.3319,9.4065,47.8666,24.0006,52.1334,75.9994,,,
Haryana,age_34_plus,06,10.4128,8.5301,79.6025,90.7563,85.3347,,,,,,,3.5519,6.5988,80.6068,45.312,19.3932,54.688,,,
