state_name,age_bracket,state_code,Below_primary_share_ST_female,CMPR_ST_female,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_dropout_ST_female,Dropout_rate_ST_female,Graduate_share_ST_female,Illiteracy_rate_ST_female,Literacy_rate_ST_female,Non_worker_dropout_ST_female,School_attendance_rate_ST_female
INDIA,age_10_13,00,39.3357,2.4394,1.9096,3.8501,5.4804,19.1223,0.0,15.4595,84.5405,13.6418,80.8777
INDIA,age_14_17,00,10.4409,11.112,7.2543,5.4367,24.141,40.6905,0.0,19.9234,80.0766,16.5495,59.3095
INDIA,age_18_21,00,11.3108,51.7381,36.0166,4.7608,47.8351,69.8913,0.0,31.5719,68.4281,22.0561,30.1087
INDIA,age_22_25,00,13.2978,80.165,69.0173,,,,5.6764,40.9877,59.0123,,
INDIA,age_26_29,00,16.1119,88.0596,82.9923,,,,8.034,51.1679,48.8321,,
INDIA,age_30_33,00,19.186,90.5749,89.8755,,,,6.7548,59.5202,40.4798,,
INDIA,age_34_plus,00,27.0091,75.1751,82.6645,,,,4.3983,78.9324,21.0676,,
INDIA,age_below10,00,94.8465,0.0,0.0,1.45,1.2071,38.3846,0.0,76.7478,23.2522,37.1775,61.6154
Jammu & Kashmir,age_10_13,01,37.1828,2.0794,1.6517,4.4146,4.9622,28.2146,0.0,28.3754,71.6246,23.2525,71.7854
Jammu & Kashmir,age_14_17,01,5.5212,7.5923,5.3201,5.2153,14.7695,41.8506,0.0,32.9324,67.0676,27.0811,58.1494
Jammu & Kashmir,age_18_21,01,4.3125,41.3883,28.3206,3.9155,26.354,64.0236,0.0,45.1378,54.8622,37.6696,35.9764
Jammu & Kashmir,age_22_25,01,4.4247,74.6843,61.786,,,,6.0115,54.7713,45.2287,,
Jammu & Kashmir,age_26_29,01,4.0663,86.1705,79.1792,,,,9.442,65.0175,34.9825,,
Jammu & Kashmir,age_30_33,01,4.8383,92.3586,89.3695,,,,8.5939,72.3356,27.6644,,
Jammu & Kashmir,age_34_plus,01,6.9706,83.6668,86.0461,,,,5.7041,88.5211,11.4789,,
Jammu & Kashmir,age_below10,01,94.8675,0.0,0.0,1.6277,1.5436,49.6241,0.0,82.4936,17.5064,48.0806,50.3759
Himachal Pradesh,age_10_13,02,22.7939,1.7924,1.5057,15.2138,3.11,8.0451,0.0,5.6203,94.3797,4.9351,91.9549
Himachal Pradesh,age_14_17,02,1.7379,4.7399,3.3499,18.1717,11.7094,18.4396,0.0,5.2535,94.7465,6.7303,81.5604
Himachal Pradesh,age_18_21,02,1.968,25.8636,16.9227,14.1471,30.3396,44.5654,0.0,6.7261,93.2739,14.2258,55.4346
Himachal Pradesh,age_22_25,02,2.0823,65.9398,49.2448,,,,9.9741,9.3871,90.6129,,
Himachal Pradesh,age_26_29,02,3.5556,85.0777,74.7577,,,,15.3273,15.7466,84.2534,,
Himachal Pradesh,age_30_33,02,6.0416,90.335,87.9861,,,,11.413,25.4713,74.5287,,
Himachal Pradesh,age_34_plus,02,16.6711,74.5917,81.7869,,,,5.5349,68.8242,31.1758,,
Himachal Pradesh,age_below10,02,95.4471,0.0,0.0,6.2835,1.3547,27.0364,0.0,72.685,27.315,25.6817,72.9636
Uttarakhand,age_10_13,05,29.0793,1.5403,1.1186,7.039,1.1078,5.8105,0.0,4.3937,95.6063,4.7027,94.1895
Uttarakhand,age_14_17,05,2.7837,4.5654,3.1233,10.8045,7.4524,17.5723,0.0,4.1708,95.8292,10.12,82.4277
Uttarakhand,age_18_21,05,2.5343,27.403,18.3201,10.378,19.9038,40.9485,0.0,8.8797,91.1203,21.0447,59.0515
Uttarakhand,age_22_25,05,2.9554,65.4919,52.9618,,,,21.4308,15.6722,84.3278,,
Uttarakhand,age_26_29,05,5.4067,85.1467,75.8377,,,,25.521,29.5672,70.4328,,
Uttarakhand,age_30_33,05,8.2824,93.1972,89.2573,,,,19.0809,42.998,57.002,,
Uttarakhand,age_34_plus,05,14.5647,78.5263,83.0278,,,,10.5407,70.7267,29.2733,,
Uttarakhand,age_below10,05,94.3564,0.0,0.0,2.9581,0.5916,25.4693,0.0,70.2594,29.7406,24.8777,74.5307
Rajasthan,age_10_13,08,42.3216,3.3774,2.4648,4.0632,8.6394,30.0168,0.0,24.9884,75.0116,21.3774,69.9832
Rajasthan,age_14_17,08,11.4961,15.1875,10.2619,5.9153,31.2672,50.2608,0.0,29.4588,70.5412,18.9937,49.7392
Rajasthan,age_18_21,08,10.9519,63.7041,47.78,4.4461,57.3409,75.177,0.0,44.7365,55.2635,17.8361,24.823
Rajasthan,age_22_25,08,11.9619,92.4005,83.157,,,,8.9577,58.9556,41.0444,,
Rajasthan,age_26_29,08,15.2332,96.7882,92.9308,,,,11.997,72.7081,27.2919,,
Rajasthan,age_30_33,08,18.9026,96.4746,95.224,,,,7.7934,80.5295,19.4705,,
Rajasthan,age_34_plus,08,22.5958,81.5419,86.2864,,,,3.6287,91.9696,8.0304,,
Rajasthan,age_below10,08,94.1605,0.0,0.0,1.0762,1.4333,49.4928,0.0,80.4102,19.5898,48.0595,50.5072
Uttar Pradesh,age_10_13,09,44.4547,2.8012,2.0998,3.0629,3.3216,24.5046,0.0,20.8132,79.1868,21.183,75.4954
Uttar Pradesh,age_14_17,09,7.425,11.5814,7.381,4.1941,11.8736,38.0977,0.0,23.511,76.489,26.2241,61.9023
Uttar Pradesh,age_18_21,09,4.0465,57.0666,39.5274,3.4951,26.4816,64.0084,0.0,36.5749,63.4251,37.5268,35.9916
Uttar Pradesh,age_22_25,09,4.7997,90.7252,80.3662,,,,9.2803,51.7994,48.2006,,
Uttar Pradesh,age_26_29,09,5.5244,96.1688,92.4388,,,,10.8729,64.7923,35.2077,,
Uttar Pradesh,age_30_33,09,6.2556,96.6388,95.4045,,,,8.0914,73.1984,26.8016,,
Uttar Pradesh,age_34_plus,09,8.2617,83.9145,87.2814,,,,4.7851,86.2576,13.7424,,
Uttar Pradesh,age_below10,09,93.6951,0.0,0.0,1.4695,1.5072,48.1932,0.0,78.1071,21.8929,46.686,51.8068
Bihar,age_10_13,10,53.514,2.5858,2.0024,3.7756,3.9487,24.5437,0.0,22.8268,77.1732,20.595,75.4563
Bihar,age_14_17,10,13.9385,10.7815,6.7912,5.0006,14.8644,41.9586,0.0,30.3245,69.6755,27.0942,58.0414
Bihar,age_18_21,10,12.422,63.2358,39.7064,4.4905,34.8667,72.819,0.0,48.1333,51.8667,37.9524,27.181
Bihar,age_22_25,10,15.434,91.3837,78.6201,,,,4.5309,60.7152,39.2848,,
Bihar,age_26_29,10,18.4642,95.2731,90.8317,,,,4.3141,68.2304,31.7696,,
Bihar,age_30_33,10,19.8154,95.2823,94.3631,,,,3.755,72.5881,27.4119,,
Bihar,age_34_plus,10,20.0735,80.9387,86.4163,,,,3.3864,85.3607,14.6393,,
Bihar,age_below10,10,94.2457,0.0,0.0,1.7075,1.8288,49.2553,0.0,78.8559,21.1441,47.4265,50.7447
Sikkim,age_10_13,11,41.5436,1.4842,1.1421,9.1682,1.5404,5.1949,0.0,4.3344,95.6656,3.6545,94.8051
Sikkim,age_14_17,11,11.4803,9.1777,5.7388,13.3693,9.5857,15.8,0.0,3.6145,96.3855,6.2143,84.2
Sikkim,age_18_21,11,11.9053,32.9769,23.0038,11.8615,24.2641,38.1385,0.0,4.9134,95.0866,13.8745,61.8615
Sikkim,age_22_25,11,14.1933,58.889,48.1548,,,,9.9731,8.2382,91.7618,,
Sikkim,age_26_29,11,16.2759,72.5431,65.2034,,,,16.6573,13.5306,86.4694,,
Sikkim,age_30_33,11,18.5035,81.751,77.986,,,,11.6758,19.6518,80.3482,,
Sikkim,age_34_plus,11,25.3023,75.5675,78.9311,,,,7.826,55.9014,44.0986,,
Sikkim,age_below10,11,93.617,0.0,0.0,2.7928,0.53,17.4906,0.0,68.7596,31.2404,16.9606,82.5094
Arunachal Pradesh,age_10_13,12,41.7211,2.35,1.7214,4.0506,2.1232,14.6815,0.0,19.3796,80.6204,12.5583,85.3185
Arunachal Pradesh,age_14_17,12,8.6721,7.7569,5.2013,6.067,6.5996,15.1562,0.0,13.8971,86.1029,8.5566,84.8438
Arunachal Pradesh,age_18_21,12,5.2228,31.8,22.1569,8.163,19.0879,31.3437,0.0,18.3292,81.6708,12.2558,68.6563
Arunachal Pradesh,age_22_25,12,5.4296,63.631,53.1866,,,,9.8337,25.0404,74.9596,,
Arunachal Pradesh,age_26_29,12,6.5811,80.0999,74.2717,,,,14.8177,35.7564,64.2436,,
Arunachal Pradesh,age_30_33,12,8.3684,87.3908,85.4708,,,,9.8333,45.2704,54.7296,,
Arunachal Pradesh,age_34_plus,12,13.3053,76.6706,82.8904,,,,5.5629,75.8693,24.1307,,
Arunachal Pradesh,age_below10,12,93.076,0.0,0.0,1.9279,1.244,39.2572,0.0,79.1642,20.8358,38.0131,60.7428
Nagaland,age_10_13,13,36.8178,1.4069,1.007,14.9318,4.6092,13.4077,0.0,13.0874,86.9126,8.7986,86.5923
Nagaland,age_14_17,13,7.643,6.129,3.7967,17.4982,14.3592,22.9679,0.0,9.8309,90.1691,8.6087,77.0321
Nagaland,age_18_21,13,6.5057,18.5914,12.6079,12.9719,29.0008,41.5879,0.0,11.2574,88.7426,12.5871,58.4121
Nagaland,age_22_25,13,6.7764,41.0468,31.9801,,,,10.076,13.0264,86.9736,,
Nagaland,age_26_29,13,7.1725,59.9326,52.6083,,,,15.8454,15.568,84.432,,
Nagaland,age_30_33,13,7.9229,74.2533,71.3459,,,,12.4009,18.4768,81.5232,,
Nagaland,age_34_plus,13,15.5797,76.9439,82.6069,,,,5.5551,40.3398,59.6602,,
Nagaland,age_below10,13,93.7772,0.0,0.0,5.0377,1.514,28.4689,0.0,76.4938,23.5062,26.9549,71.5311
Manipur,age_10_13,14,29.0071,1.8844,1.3224,7.063,3.8702,13.1345,0.0,18.4421,81.5579,9.2643,86.8655
Manipur,age_14_17,14,4.5846,5.6253,3.6989,9.9286,11.4062,19.5803,0.0,13.1236,86.8764,8.1741,80.4197
Manipur,age_18_21,14,3.2513,17.8031,12.1394,10.9548,24.1368,35.8147,0.0,16.5986,83.4014,11.6779,64.1853
Manipur,age_22_25,14,3.8288,39.2585,31.1344,,,,10.1857,20.5736,79.4264,,
Manipur,age_26_29,14,4.9147,57.5067,50.9466,,,,14.8802,26.0462,73.9538,,
Manipur,age_30_33,14,5.7697,71.2587,68.4951,,,,13.9387,30.558,69.442,,
