state_name,age_bracket,state_code,Below_primary_share_ST_male,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_male,Child_labour_dropout_ST_male,Dropout_rate_ST_male,Graduate_share_ST_male,Illiteracy_rate_ST_male,Literacy_rate_ST_male,School_attendance_rate_ST_male
INDIA,age_10_13,00,39.5858,1.4024,1.9096,3.903,4.7198,15.6886,0.0,11.8203,88.1797,84.3114
INDIA,age_14_17,00,9.7982,3.6828,7.2543,6.2376,24.8118,35.6827,0.0,12.7432,87.2568,64.3173
INDIA,age_18_21,00,9.6098,19.9438,36.0166,6.7207,49.9349,59.3303,0.0,15.8947,84.1053,40.6697
INDIA,age_22_25,00,11.0594,57.8648,69.0173,,,,6.2279,20.3775,79.6225,
INDIA,age_26_29,00,13.3242,77.7806,82.9923,,,,9.0167,27.6797,72.3203,
INDIA,age_30_33,00,15.3089,89.1633,89.8755,,,,8.4889,33.4989,66.5011,
INDIA,age_34_plus,00,24.4849,90.2658,82.6645,,,,6.3023,51.3097,48.6903,
INDIA,age_below10,00,94.5108,0.0,0.0,1.4448,1.1123,37.0788,0.0,76.1971,23.8029,62.9212
Jammu & Kashmir,age_10_13,01,35.3057,1.264,1.6517,5.2925,3.9103,18.0889,0.0,18.309,81.691,81.9111
Jammu & Kashmir,age_14_17,01,3.9379,3.3127,5.3201,8.1214,14.8266,25.0507,0.0,16.398,83.602,74.9493
Jammu & Kashmir,age_18_21,01,2.7739,15.9943,28.3206,8.4388,34.5627,44.7703,0.0,21.4885,78.5115,55.2297
Jammu & Kashmir,age_22_25,01,3.4327,49.0235,61.786,,,,5.7713,28.4679,71.5321,
Jammu & Kashmir,age_26_29,01,3.3447,71.9158,79.1792,,,,9.399,38.1675,61.8325,
Jammu & Kashmir,age_30_33,01,4.0804,86.4257,89.3695,,,,8.792,43.7802,56.2198,
Jammu & Kashmir,age_34_plus,01,6.4626,88.1644,86.0461,,,,6.8444,62.8292,37.1708,
Jammu & Kashmir,age_below10,01,93.8867,0.0,0.0,1.8996,1.4171,44.454,0.0,80.9038,19.0962,55.546
Himachal Pradesh,age_10_13,02,24.0165,1.2386,1.5057,14.5851,1.9496,5.5928,0.0,4.289,95.711,94.4072
Himachal Pradesh,age_14_17,02,1.9686,1.9899,3.3499,19.8461,9.5859,13.2434,0.0,3.7084,96.2916,86.7566
Himachal Pradesh,age_18_21,02,1.9809,7.8769,16.9227,16.3736,29.9439,36.4551,0.0,4.1539,95.8461,63.5449
Himachal Pradesh,age_22_25,02,2.0014,31.6362,49.2448,,,,8.9976,4.9087,95.0913,
Himachal Pradesh,age_26_29,02,2.7951,64.0166,74.7577,,,,15.7198,6.1644,93.8356,
Himachal Pradesh,age_30_33,02,3.7174,85.5849,87.9861,,,,14.9659,8.0485,91.9515,
