state_name,age_bracket,state_code,Below_primary_share_ST_female,Below_primary_share_ST_male,CMPR_ST_female,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_attending_ST_male,Child_labour_dropout_ST_female,Child_labour_dropout_ST_male,Dropout_rate_ST_female,Dropout_rate_ST_male,Graduate_share_ST_female,Graduate_share_ST_male,Illiteracy_rate_ST_female,Illiteracy_rate_ST_male,Literacy_rate_ST_female,Literacy_rate_ST_male,Non_worker_dropout_ST_female,School_attendance_rate_ST_female,School_attendance_rate_ST_male
INDIA,age_10_13,00,39.3357,39.5858,2.4394,1.4024,1.9096,3.8501,3.903,5.4804,4.7198,19.1223,15.6886,0.0,0.0,15.4595,11.8203,84.5405,88.1797,13.6418,80.8777,84.3114
INDIA,age_14_17,00,10.4409,9.7982,11.112,3.6828,7.2543,5.4367,6.2376,24.141,24.8118,40.6905,35.6827,0.0,0.0,19.9234,12.7432,80.0766,87.2568,16.5495,59.3095,64.3173
INDIA,age_18_21,00,11.3108,9.6098,51.7381,19.9438,36.0166,4.7608,6.7207,47.8351,49.9349,69.8913,59.3303,0.0,0.0,31.5719,15.8947,68.4281,84.1053,22.0561,30.1087,40.6697
INDIA,age_22_25,00,13.2978,11.0594,80.165,57.8648,69.0173,,,,,,,5.6764,6.2279,40.9877,20.3775,59.0123,79.6225,,,
INDIA,age_26_29,00,16.1119,13.3242,88.0596,77.7806,82.9923,,,,,,,8.034,9.0167,51.1679,27.6797,48.8321,72.3203,,,
INDIA,age_30_33,00,19.186,15.3089,90.5749,89.1633,89.8755,,,,,,,6.7548,8.4889,59.5202,33.4989,40.4798,66.5011,,,
INDIA,age_34_plus,00,27.0091,24.4849,75.1751,90.2658,82.6645,,,,,,,4.3983,6.3023,78.9324,51.3097,21.0676,48.6903,,,
INDIA,age_below10,00,94.8465,94.5108,0.0,0.0,0.0,1.45,1.4448,1.2071,1.1123,38.3846,37.0788,0.0,0.0,76.7478,76.1971,23.2522,23.8029,37.1775,61.6154,62.9212
Jammu & Kashmir,age_10_13,01,37.1828,35.3057,2.0794,1.264,1.6517,4.4146,5.2925,4.9622,3.9103,28.2146,18.0889,0.0,0.0,28.3754,18.309,71.6246,81.691,23.2525,71.7854,81.9111
Jammu & Kashmir,age_14_17,01,5.5212,3.9379,7.5923,3.3127,5.3201,5.2153,8.1214,14.7695,14.8266,41.8506,25.0507,0.0,0.0,32.9324,16.398,67.0676,83.602,27.0811,58.1494,74.9493
Jammu & Kashmir,age_18_21,01,4.3125,2.7739,41.3883,15.9943,28.3206,3.9155,8.4388,26.354,34.5627,64.0236,44.7703,0.0,0.0,45.1378,21.4885,54.8622,78.5115,37.6696,35.9764,55.2297
Jammu & Kashmir,age_22_25,01,4.4247,3.4327,74.6843,49.0235,61.786,,,,,,,6.0115,5.7713,54.7713,28.4679,45.2287,71.5321,,,
Jammu & Kashmir,age_26_29,01,4.0663,3.3447,86.1705,71.9158,79.1792,,,,,,,9.442,9.399,65.0175,38.1675,34.9825,61.8325,,,
Jammu & Kashmir,age_30_33,01,4.8383,4.0804,92.3586,86.4257,89.3695,,,,,,,8.5939,8.792,72.3356,43.7802,27.6644,56.2198,,,
Jammu & Kashmir,age_34_plus,01,6.9706,6.4626,83.6668,88.1644,86.0461,,,,,,,5.7041,6.8444,88.5211,62.8292,11.4789,37.1708,,,
Jammu & Kashmir,age_below10,01,94.8675,93.8867,0.0,0.0,0.0,1.6277,1.8996,1.5436,1.4171,49.6241,44.454,0.0,0.0,82.4936,80.9038,17.5064,19.0962,48.0806,50.3759,55.546
Himachal Pradesh,age_10_13,02,22.7939,24.0165,1.7924,1.2386,1.5057,15.2138,14.5851,3.11,1.9496,8.0451,5.5928,0.0,0.0,5.6203,4.289,94.3797,95.711,4.9351,91.9549,94.4072
Himachal Pradesh,age_14_17,02,1.7379,1.9686,4.7399,1.9899,3.3499,18.1717,19.8461,11.7094,9.5859,18.4396,13.2434,0.0,0.0,5.2535,3.7084,94.7465,96.2916,6.7303,81.5604,86.7566
Himachal Pradesh,age_18_21,02,1.968,1.9809,25.8636,7.8769,16.9227,14.1471,16.3736,30.3396,29.9439,44.5654,36.4551,0.0,0.0,6.7261,4.1539,93.2739,95.8461,14.2258,55.4346,63.5449
Himachal Pradesh,age_22_25,02,2.0823,2.0014,65.9398,31.6362,49.2448,,,,,,,9.9741,8.9976,9.3871,4.9087,90.6129,95.0913,,,
Himachal Pradesh,age_26_29,02,3.5556,2.7951,85.0777,64.0166,74.7577,,,,,,,15.3273,15.7198,15.7466,6.1644,84.2534,93.8356,,,
Himachal Pradesh,age_30_33,02,6.0416,3.7174,90.335,85.5849,87.9861,,,,,,,11.413,14.9659,25.4713,8.0485,74.5287,91.9515,,,
Himachal Pradesh,age_34_plus,02,16.6711,11.0335,74.5917,89.226,81.7869,,,,,,,5.5349,9.3669,68.8242,32.5099,31.1758,67.4901,,,
Himachal Pradesh,age_below10,02,95.4471,95.0148,0.0,0.0,0.0,6.2835,6.0146,1.3547,1.188,27.0364,25.7259,0.0,0.0,72.685,71.9388,27.315,28.0612,25.6817,72.9636,74.2741
Uttarakhand,age_10_13,05,29.0793,30.2054,1.5403,0.7248,1.1186,7.039,6.5242,1.1078,1.4975,5.8105,4.8017,0.0,0.0,4.3937,3.5011,95.6063,96.4989,4.7027,94.1895,95.1983
Uttarakhand,age_14_17,05,2.7837,2.411,4.5654,1.6952,3.1233,10.8045,10.1751,7.4524,10.2578,17.5723,14.9318,0.0,0.0,4.1708,2.2129,95.8292,97.7871,10.12,82.4277,85.0682
Uttarakhand,age_18_21,05,2.5343,1.8844,27.403,9.1953,18.3201,10.378,11.4943,19.9038,28.5869,40.9485,34.9561,0.0,0.0,8.8797,3.8404,91.1203,96.1596,21.0447,59.0515,65.0439
Uttarakhand,age_22_25,05,2.9554,2.5315,65.4919,40.3246,52.9618,,,,,,,21.4308,19.6045,15.6722,5.7352,84.3278,94.2648,,,
Uttarakhand,age_26_29,05,5.4067,3.4661,85.1467,66.4321,75.8377,,,,,,,25.521,24.7327,29.5672,9.3431,70.4328,90.6569,,,
Uttarakhand,age_30_33,05,8.2824,4.4836,93.1972,85.3781,89.2573,,,,,,,19.0809,22.0862,42.998,14.2591,57.002,85.7409,,,
Uttarakhand,age_34_plus,05,14.5647,10.1519,78.5263,87.3073,83.0278,,,,,,,10.5407,12.5794,70.7267,32.9237,29.2733,67.0763,,,
Uttarakhand,age_below10,05,94.3564,94.9825,0.0,0.0,0.0,2.9581,2.7906,0.5916,0.6502,25.4693,26.0566,0.0,0.0,70.2594,70.1635,29.7406,29.8365,24.8777,74.5307,73.9434
Rajasthan,age_10_13,08,42.3216,38.8279,3.3774,1.6334,2.4648,4.0632,4.4,8.6394,4.8663,30.0168,17.2053,0.0,0.0,24.9884,12.7801,75.0116,87.2199,21.3774,69.9832,82.7947
Rajasthan,age_14_17,08,11.4961,7.7747,15.1875,5.8177,10.2619,5.9153,7.3335,31.2672,23.607,50.2608,33.4063,0.0,0.0,29.4588,12.1125,70.5412,87.8875,18.9937,49.7392,66.5937
Rajasthan,age_18_21,08,10.9519,7.1644,63.7041,32.3027,47.78,4.4461,7.4784,57.3409,47.6742,75.177,53.847,0.0,0.0,44.7365,14.8237,55.2635,85.1763,17.8361,24.823,46.153
Rajasthan,age_22_25,08,11.9619,8.2255,92.4005,75.1123,83.157,,,,,,,8.9577,12.4933,58.9556,19.207,41.0444,80.793,,,
Rajasthan,age_26_29,08,15.2332,10.2049,96.7882,88.8254,92.9308,,,,,,,11.997,17.1147,72.7081,27.5195,27.2919,72.4805,,,
Rajasthan,age_30_33,08,18.9026,11.8228,96.4746,93.9893,95.224,,,,,,,7.7934,14.434,80.5295,34.7772,19.4705,65.2228,,,
Rajasthan,age_34_plus,08,22.5958,16.6974,81.5419,90.9578,86.2864,,,,,,,3.6287,9.5311,91.9696,56.5366,8.0304,43.4634,,,
Rajasthan,age_below10,08,94.1605,93.2674,0.0,0.0,0.0,1.0762,1.0867,1.4333,0.9419,49.4928,43.4429,0.0,0.0,80.4102,77.8942,19.5898,22.1058,48.0595,50.5072,56.5571
Uttar Pradesh,age_10_13,09,44.4547,44.885,2.8012,1.4462,2.0998,3.0629,3.2419,3.3216,3.5534,24.5046,20.5139,0.0,0.0,20.8132,15.4691,79.1868,84.5309,21.183,75.4954,79.4861
Uttar Pradesh,age_14_17,09,7.425,8.1754,11.5814,3.6129,7.381,4.1941,5.2977,11.8736,17.4163,38.0977,35.5051,0.0,0.0,23.511,15.1742,76.489,84.8258,26.2241,61.9023,64.4949
Uttar Pradesh,age_18_21,09,4.0465,4.6584,57.0666,23.6441,39.5274,3.4951,6.5152,26.4816,38.0229,64.0084,56.0151,0.0,0.0,36.5749,17.6007,63.4251,82.3993,37.5268,35.9916,43.9849
