state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_christian_female,CMPR_hindu_female,CMPR_jain_female,CMPR_muslim_female,CMPR_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
INDIA,age_10_13,00,31.2187,29.911,31.753,20.1484,38.2017,32.2122,1.8778,0.5756,2.7544,1.0465,2.3186,0.5192,5.002,7.8626,9.1712,2.5401,15.2837,6.3194,94.998,92.1374,90.8288,97.4599,84.7163,93.6806,8.3449,11.0273,10.3152,13.7193,8.6126,8.7927
INDIA,age_14_17,00,4.086,6.399,5.0771,0.8092,8.8292,3.0164,16.9607,7.5265,21.0571,9.4042,22.1106,7.6595,4.9591,6.8928,10.3335,1.7887,17.0667,7.0512,95.0409,93.1072,89.6665,98.2113,82.9333,92.9488,43.9989,40.4396,40.1975,39.9602,36.2662,39.2494
INDIA,age_18_21,00,4.3706,5.3031,4.9239,0.8226,8.4651,1.9323,42.2008,33.3372,43.2743,38.258,45.1655,46.2517,6.7801,9.4682,15.9494,1.9104,22.4018,8.6841,93.2199,90.5318,84.0506,98.0896,77.5982,91.3159,18.4437,15.5997,18.3959,4.6533,19.52,13.3747
INDIA,age_22_25,00,5.6098,5.3036,5.8827,0.7936,9.5289,1.558,11.001,23.4259,9.8359,25.7203,8.6938,22.0038,9.2329,11.8891,22.2855,2.3554,28.0897,12.3092,90.7671,88.1109,77.7145,97.6446,71.9103,87.6908,19.1297,13.943,17.8126,4.7125,18.1573,13.2258
INDIA,age_26_29,00,7.8121,5.7979,7.6112,0.9358,11.2725,1.6552,2.9726,9.1273,2.296,5.3768,1.8292,4.6967,12.9199,14.7494,29.9984,2.8061,35.6464,18.3578,87.0801,85.2506,70.0016,97.1939,64.3536,81.6422,20.0935,15.3241,18.2772,5.6024,18.7676,14.7919
INDIA,age_30_33,00,11.3738,6.1342,9.5557,1.2519,13.2938,2.247,0.9343,2.4793,0.5839,0.9613,0.5943,0.9781,18.3711,16.7169,37.2012,3.2513,42.8001,25.8934,81.6289,83.2831,62.7988,96.7487,57.1999,74.1066,20.1666,15.8342,17.9577,6.973,18.4571,15.9414
INDIA,age_34_plus,00,25.006,12.8243,15.892,7.5147,22.2677,3.7568,0.352,0.9687,0.1992,0.283,0.2322,0.2812,48.003,26.3241,57.0655,10.9433,61.3771,48.799,51.997,73.6759,42.9345,89.0567,38.6229,51.201,14.1108,14.5221,15.2333,10.8451,14.242,16.1597
INDIA,age_below10,00,95.3897,93.8607,94.0664,94.8019,93.6382,95.0401,2.1481,1.2252,2.0751,1.6604,1.8192,0.8973,72.7991,74.2148,74.0119,71.055,76.7978,72.6962,27.2009,25.7852,25.9881,28.945,23.2022,27.3038,0.0,0.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,age_10_13,01,39.442,35.1798,28.3998,20.0,29.3139,24.3016,1.3093,1.0915,1.3979,0.657,1.2589,0.8189,6.8875,11.4458,7.2572,8.5366,17.7206,3.5076,93.1125,88.5542,92.7428,91.4634,82.2794,96.4924,7.5761,8.8435,9.7633,12.0,10.5342,11.4103
Jammu & Kashmir,age_14_17,01,3.8081,4.1958,2.0106,0.0,2.3474,0.7875,6.5215,12.2962,13.4342,2.8909,10.9332,8.4506,5.1657,10.4651,8.5049,6.9444,18.6874,2.4956,94.8343,89.5349,91.4951,93.0556,81.3126,97.5044,44.5891,44.2557,46.3589,29.8507,47.9625,42.9199
Jammu & Kashmir,age_18_21,01,3.6716,3.6247,1.3839,0.0,2.1327,0.5357,30.8211,38.6709,41.1598,40.2102,39.3232,38.3778,8.7483,14.4161,11.5282,4.7619,26.288,1.9895,91.2517,85.5839,88.4718,95.2381,73.712,98.0105,21.2647,25.5864,22.3914,15.0,25.8341,9.7547
Jammu & Kashmir,age_22_25,01,4.3708,2.2979,1.2366,0.0,1.9677,0.6807,23.9158,18.9831,20.0477,31.6689,19.9074,23.6577,14.4199,20.2308,15.5426,3.2967,35.3814,3.5737,85.5801,79.7692,84.4574,96.7033,64.6186,96.4263,15.5828,22.6383,21.2673,5.6818,24.921,10.524
