state_name,age_bracket,state_code,CMPR_buddhist_male,CMPR_christian_male,CMPR_hindu_male,CMPR_jain_male,CMPR_muslim_male,CMPR_sikh_male,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_male,Literacy_rate_christian_male,Literacy_rate_hindu_male,Literacy_rate_jain_male,Literacy_rate_muslim_male,Literacy_rate_sikh_male
INDIA,age_10_13,00,0.428,0.161,0.6904,0.2003,0.4018,0.1628,4.121,7.4002,6.8535,2.3943,13.6463,5.5777,95.879,92.5998,93.1465,97.6057,86.3537,94.4223
INDIA,age_14_17,00,2.209,0.9671,4.1578,1.0403,3.0025,1.3216,3.5903,5.8984,6.7906,1.6124,14.5687,6.4795,96.4097,94.1016,93.2094,98.3876,85.4313,93.5205
INDIA,age_18_21,00,25.3127,14.3613,34.1897,15.1268,32.7864,25.6065,4.1814,6.8516,8.2754,1.6954,16.6241,8.0667,95.8186,93.1484,91.7246,98.3046,83.3759,91.9333
INDIA,age_22_25,00,33.9259,27.4543,29.4511,39.5925,33.2918,38.9197,4.8393,7.8488,10.0031,1.7905,18.6727,9.8162,95.1607,92.1512,89.9969,98.2095,81.3273,90.1838
INDIA,age_26_29,00,15.4605,25.1107,12.4559,23.9541,12.3512,15.4012,6.1991,9.634,13.5775,2.0151,22.9742,12.8043,93.8009,90.366,86.4225,97.9849,77.0258,87.1957
INDIA,age_30_33,00,7.36,15.0044,5.8146,6.7337,5.5616,5.1327,7.6862,10.6515,16.926,2.1808,26.5704,17.0859,92.3138,89.3485,83.074,97.8192,73.4296,82.9141
INDIA,age_34_plus,00,2.4929,5.9074,2.0442,1.7191,2.1631,1.569,20.317,16.1946,29.2252,3.8919,37.4977,32.9278,79.683,83.8054,70.7748,96.1081,62.5023,67.0722
INDIA,age_below10,00,1.8207,1.0548,1.384,2.0321,1.2833,0.9958,72.5691,74.2474,73.4259,70.6235,76.2632,71.7777,27.4309,25.7526,26.5741,29.3765,23.7368,28.2223
Jammu & Kashmir,age_10_13,01,1.0456,0.2126,0.229,0.1348,0.389,0.1895,7.1788,9.2066,4.4291,3.4091,12.3682,3.2032,92.8212,90.7934,95.5709,96.5909,87.6318,96.7968
Jammu & Kashmir,age_14_17,01,3.6283,1.5411,1.3499,0.4043,2.6455,0.6278,3.7003,8.4719,3.8632,3.8462,9.2833,1.835,96.2997,91.5281,96.1368,96.1538,90.7167,98.165
Jammu & Kashmir,age_18_21,01,23.6841,18.6786,18.2016,7.8167,25.0894,11.9951,4.5224,10.2964,5.1443,5.4054,11.8293,2.281,95.4776,89.7036,94.8557,94.5946,88.1707,97.719
Jammu & Kashmir,age_22_25,01,28.4642,34.7533,35.3703,42.5876,31.0121,36.2867,7.9519,8.0569,5.8644,6.25,16.0357,2.054,92.0481,91.9431,94.1356,93.75,83.9643,97.946
Jammu & Kashmir,age_26_29,01,14.9809,23.2309,23.3681,29.9191,14.8888,24.1008,10.4717,6.6686,6.4123,2.8369,23.0063,2.2102,89.5283,93.3314,93.5877,97.1631,76.9937,97.7898
Jammu & Kashmir,age_30_33,01,7.9641,8.3872,9.9328,7.2776,9.345,12.7322,14.1372,9.5424,8.5632,2.8037,28.4934,2.5198,85.8628,90.4576,91.4368,97.1963,71.5066,97.4802
Jammu & Kashmir,age_34_plus,01,4.501,2.3381,2.5756,1.6173,4.0362,4.493,40.3462,25.568,22.673,4.9451,49.2142,7.9241,59.6538,74.432,77.327,95.0549,50.7858,92.0759
Jammu & Kashmir,age_below10,01,1.5999,1.2399,1.0813,1.6173,1.3429,1.0773,75.6469,76.7544,73.0872,70.5584,79.4608,71.23,24.3531,23.2456,26.9128,29.4416,20.5392,28.77
Himachal Pradesh,age_10_13,02,0.2664,0.2601,0.2468,0.3868,0.2813,0.1026,2.3563,3.8314,2.5162,0.0,9.8472,1.5502,97.6437,96.1686,97.4838,100.0,90.1528,98.4498
Himachal Pradesh,age_14_17,02,2.4936,2.052,2.182,0.9671,3.0648,0.8393,2.4146,5.598,1.9081,3.3333,10.5864,1.2879,97.5854,94.402,98.0919,96.6667,89.4136,98.7121
Himachal Pradesh,age_18_21,02,21.7285,18.815,21.8303,11.0251,32.2719,13.7735,2.3136,5.4852,2.5778,3.0303,14.2477,2.1875,97.6864,94.5148,97.4222,96.9697,85.7523,97.8125
Himachal Pradesh,age_22_25,02,28.841,31.9942,34.8956,39.265,36.6688,39.1896,3.5986,11.4713,3.1269,4.918,14.888,2.1497,96.4014,88.5287,96.8731,95.082,85.112,97.8503
Himachal Pradesh,age_26_29,02,17.9201,23.3815,23.1379,31.528,13.1906,25.7938,5.6512,8.1365,4.2197,5.9524,18.3478,2.879,94.3488,91.8635,95.7803,94.0476,81.6522,97.121
Himachal Pradesh,age_30_33,02,9.9518,10.1445,6.9207,6.1896,4.1289,8.6166,8.43,10.5754,5.2358,3.9474,22.4023,4.47,91.57,89.4246,94.7642,96.0526,77.5977,95.53
Himachal Pradesh,age_34_plus,02,6.1434,3.6127,1.8403,2.3211,1.6478,2.4199,26.351,17.0346,18.3489,4.557,42.5967,13.0302,73.649,82.9654,81.6511,95.443,57.4033,86.9698
Himachal Pradesh,age_below10,02,0.5837,0.5202,1.0181,0.9671,0.9553,1.1004,66.8841,72.243,70.8139,71.5976,74.24,69.3053,33.1159,27.757,29.1861,28.4024,25.76,30.6947
Punjab,age_10_13,03,0.2739,0.1443,0.2662,0.0912,0.3387,0.1488,4.6154,9.6274,7.5119,2.2996,15.1216,5.8014,95.3846,90.3726,92.4881,97.7004,84.8784,94.1986
Punjab,age_14_17,03,1.4442,1.1712,1.9499,0.4714,2.9725,1.2348,4.2705,12.8494,7.7352,2.2354,17.9172,6.9586,95.7295,87.1506,92.2648,97.7646,82.0828,93.0414
Punjab,age_18_21,03,20.9288,27.832,23.2509,10.0905,31.8511,25.9091,4.824,16.7726,9.2749,2.5671,21.4544,8.6895,95.176,83.2274,90.7251,97.4329,78.5456,91.3105
Punjab,age_22_25,03,35.9064,39.2138,37.4675,47.1067,36.6539,39.6761,5.5371,18.9724,9.7554,1.9286,23.3386,10.7594,94.4629,81.0276,90.2446,98.0714,76.6614,89.2406
Punjab,age_26_29,03,18.501,12.9637,18.9264,25.6026,11.2555,14.6103,7.8788,22.4905,11.5085,2.1109,27.1366,14.1504,92.1212,77.5095,88.4915,97.8891,72.8634,85.8496
Punjab,age_30_33,03,7.8436,4.6259,5.5353,4.7145,4.3471,4.7938,9.3005,29.2922,13.804,3.0601,31.4192,19.0569,90.6995,70.7078,86.196,96.9399,68.5808,80.9431
Punjab,age_34_plus,03,1.7679,1.2334,1.2946,0.9125,1.478,1.4722,23.6187,46.9915,22.7882,4.9853,51.6782,36.2044,76.3813,53.0085,77.2118,95.0147,48.3218,63.7956
Punjab,age_below10,03,1.4318,1.0831,1.1684,1.7261,1.0155,0.9627,72.234,72.9339,73.0105,69.5538,76.0478,71.7643,27.766,27.0661,26.9895,30.4462,23.9522,28.2357
Chandigarh,age_10_13,04,0.4219,0.1393,0.5656,0.0,0.2688,0.1129,3.4483,3.9877,5.1805,0.0,8.0431,1.8574,96.5517,96.0123,94.8195,100.0,91.9569,98.1426
Chandigarh,age_14_17,04,2.5316,1.4856,4.3774,0.5226,4.9652,0.7776,5.4545,2.8986,5.6097,1.5385,12.6233,0.9728,94.5455,97.1014,94.3903,98.4615,87.3767,99.0272
Chandigarh,age_18_21,04,20.2532,15.9239,27.6209,9.2334,35.7132,11.9232,3.8462,5.291,7.6295,0.0,13.5837,0.9543,96.1538,94.709,92.3705,100.0,86.4163,99.0457
Chandigarh,age_22_25,04,22.3629,29.5265,31.6421,33.4495,35.7132,32.8312,1.3245,5.4656,7.2511,0.0,15.1141,0.9807,98.6755,94.5344,92.7489,100.0,84.8859,99.0193
Chandigarh,age_26_29,04,26.5823,31.2906,21.4525,38.8502,11.7094,32.3898,2.5641,4.0476,8.7554,0.0,18.8503,1.3395,97.4359,95.9524,91.2446,100.0,81.1497,98.6605
Chandigarh,age_30_33,04,12.2363,11.5599,5.863,7.3171,3.7951,10.1422,6.4516,4.0712,10.5745,2.3529,23.3812,1.5933,93.5484,95.9288,89.4255,97.6471,76.6188,98.4067
Chandigarh,age_34_plus,04,6.3291,3.4355,1.393,2.0906,1.1385,2.9,9.6045,7.3557,14.8184,1.0799,35.6249,4.5256,90.3955,92.6443,85.1816,98.9201,64.3751,95.4744
Chandigarh,age_below10,04,0.4219,0.8357,1.1392,1.2195,0.9409,1.2344,71.7391,69.541,72.1495,70.0935,72.7273,69.5491,28.2609,30.459,27.8505,29.9065,27.2727,30.4509
Uttarakhand,age_10_13,05,0.4058,0.1333,0.3043,0.0,0.235,0.1732,2.6426,5.3851,3.5065,3.413,12.9178,5.4213,97.3574,94.6149,96.4935,96.587,87.0822,94.5787
Uttarakhand,age_14_17,05,1.0822,1.0218,2.7077,0.3486,2.3602,1.0708,1.006,4.3056,2.4258,1.8237,14.4402,3.6956,98.994,95.6944,97.5742,98.1763,85.5598,96.3044
Uttarakhand,age_18_21,05,13.8992,17.681,29.371,8.4043,37.9256,27.0742,0.885,5.2295,3.5775,1.5306,17.4175,4.8444,99.115,94.7705,96.4225,98.4694,82.5825,95.1556
Uttarakhand,age_22_25,05,24.3152,30.1533,34.6301,37.1805,35.8822,39.9144,3.3214,4.505,4.3218,0.9479,20.3954,5.9472,96.6786,95.495,95.6782,99.0521,79.6046,94.0528
Uttarakhand,age_26_29,05,20.4937,22.49,16.1003,32.7266,9.572,14.9169,4.3,6.2537,6.1813,1.199,28.101,9.3317,95.7,93.7463,93.8187,98.801,71.899,90.6683
Uttarakhand,age_30_33,05,13.4596,11.8947,5.9082,8.5205,3.8524,5.5291,4.186,6.5499,7.8476,2.071,35.5426,12.2342,95.814,93.4501,92.1524,97.929,64.4574,87.7658
Uttarakhand,age_34_plus,05,10.4498,5.3976,1.734,2.5174,1.4086,1.6587,26.9448,11.2047,16.7167,1.658,51.342,24.5438,73.0552,88.7953,83.2833,98.342,48.658,75.4562
Uttarakhand,age_below10,05,0.6764,0.8552,0.7494,1.433,0.7215,0.6828,66.8734,71.6909,71.5865,71.3608,75.7465,72.0331,33.1266,28.3091,28.4135,28.6392,24.2535,27.9669
Haryana,age_10_13,06,0.4042,0.2619,0.6979,0.0929,0.6657,0.1879,5.2174,7.2237,4.533,1.7828,14.9283,4.5362,94.7826,92.7763,95.467,98.2172,85.0717,95.4638
