state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_buddhist_male,CMPR_christian_female,CMPR_christian_male,CMPR_hindu_female,CMPR_hindu_male,CMPR_jain_female,CMPR_jain_male,CMPR_muslim_female,CMPR_muslim_male,CMPR_sikh_female,CMPR_sikh_male,Illiteracy_rate_buddhist_female,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_female,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_female,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_female,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_female,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_female,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_female,Literacy_rate_buddhist_male,Literacy_rate_christian_female,Literacy_rate_christian_male,Literacy_rate_hindu_female,Literacy_rate_hindu_male,Literacy_rate_jain_female,Literacy_rate_jain_male,Literacy_rate_muslim_female,Literacy_rate_muslim_male,Literacy_rate_sikh_female,Literacy_rate_sikh_male,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
INDIA,age_10_13,00,31.2187,29.911,31.753,20.1484,38.2017,32.2122,1.8778,0.428,0.5756,0.161,2.7544,0.6904,1.0465,0.2003,2.3186,0.4018,0.5192,0.1628,5.002,4.121,7.8626,7.4002,9.1712,6.8535,2.5401,2.3943,15.2837,13.6463,6.3194,5.5777,94.998,95.879,92.1374,92.5998,90.8288,93.1465,97.4599,97.6057,84.7163,86.3537,93.6806,94.4223,8.3449,11.0273,10.3152,13.7193,8.6126,8.7927
INDIA,age_14_17,00,4.086,6.399,5.0771,0.8092,8.8292,3.0164,16.9607,2.209,7.5265,0.9671,21.0571,4.1578,9.4042,1.0403,22.1106,3.0025,7.6595,1.3216,4.9591,3.5903,6.8928,5.8984,10.3335,6.7906,1.7887,1.6124,17.0667,14.5687,7.0512,6.4795,95.0409,96.4097,93.1072,94.1016,89.6665,93.2094,98.2113,98.3876,82.9333,85.4313,92.9488,93.5205,43.9989,40.4396,40.1975,39.9602,36.2662,39.2494
INDIA,age_18_21,00,4.3706,5.3031,4.9239,0.8226,8.4651,1.9323,42.2008,25.3127,33.3372,14.3613,43.2743,34.1897,38.258,15.1268,45.1655,32.7864,46.2517,25.6065,6.7801,4.1814,9.4682,6.8516,15.9494,8.2754,1.9104,1.6954,22.4018,16.6241,8.6841,8.0667,93.2199,95.8186,90.5318,93.1484,84.0506,91.7246,98.0896,98.3046,77.5982,83.3759,91.3159,91.9333,18.4437,15.5997,18.3959,4.6533,19.52,13.3747
INDIA,age_22_25,00,5.6098,5.3036,5.8827,0.7936,9.5289,1.558,11.001,33.9259,23.4259,27.4543,9.8359,29.4511,25.7203,39.5925,8.6938,33.2918,22.0038,38.9197,9.2329,4.8393,11.8891,7.8488,22.2855,10.0031,2.3554,1.7905,28.0897,18.6727,12.3092,9.8162,90.7671,95.1607,88.1109,92.1512,77.7145,89.9969,97.6446,98.2095,71.9103,81.3273,87.6908,90.1838,19.1297,13.943,17.8126,4.7125,18.1573,13.2258
INDIA,age_26_29,00,7.8121,5.7979,7.6112,0.9358,11.2725,1.6552,2.9726,15.4605,9.1273,25.1107,2.296,12.4559,5.3768,23.9541,1.8292,12.3512,4.6967,15.4012,12.9199,6.1991,14.7494,9.634,29.9984,13.5775,2.8061,2.0151,35.6464,22.9742,18.3578,12.8043,87.0801,93.8009,85.2506,90.366,70.0016,86.4225,97.1939,97.9849,64.3536,77.0258,81.6422,87.1957,20.0935,15.3241,18.2772,5.6024,18.7676,14.7919
INDIA,age_30_33,00,11.3738,6.1342,9.5557,1.2519,13.2938,2.247,0.9343,7.36,2.4793,15.0044,0.5839,5.8146,0.9613,6.7337,0.5943,5.5616,0.9781,5.1327,18.3711,7.6862,16.7169,10.6515,37.2012,16.926,3.2513,2.1808,42.8001,26.5704,25.8934,17.0859,81.6289,92.3138,83.2831,89.3485,62.7988,83.074,96.7487,97.8192,57.1999,73.4296,74.1066,82.9141,20.1666,15.8342,17.9577,6.973,18.4571,15.9414
INDIA,age_34_plus,00,25.006,12.8243,15.892,7.5147,22.2677,3.7568,0.352,2.4929,0.9687,5.9074,0.1992,2.0442,0.283,1.7191,0.2322,2.1631,0.2812,1.569,48.003,20.317,26.3241,16.1946,57.0655,29.2252,10.9433,3.8919,61.3771,37.4977,48.799,32.9278,51.997,79.683,73.6759,83.8054,42.9345,70.7748,89.0567,96.1081,38.6229,62.5023,51.201,67.0722,14.1108,14.5221,15.2333,10.8451,14.242,16.1597
INDIA,age_below10,00,95.3897,93.8607,94.0664,94.8019,93.6382,95.0401,2.1481,1.8207,1.2252,1.0548,2.0751,1.384,1.6604,2.0321,1.8192,1.2833,0.8973,0.9958,72.7991,72.5691,74.2148,74.2474,74.0119,73.4259,71.055,70.6235,76.7978,76.2632,72.6962,71.7777,27.2009,27.4309,25.7852,25.7526,25.9881,26.5741,28.945,29.3765,23.2022,23.7368,27.3038,28.2223,0.0,0.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,age_10_13,01,39.442,35.1798,28.3998,20.0,29.3139,24.3016,1.3093,1.0456,1.0915,0.2126,1.3979,0.229,0.657,0.1348,1.2589,0.389,0.8189,0.1895,6.8875,7.1788,11.4458,9.2066,7.2572,4.4291,8.5366,3.4091,17.7206,12.3682,3.5076,3.2032,93.1125,92.8212,88.5542,90.7934,92.7428,95.5709,91.4634,96.5909,82.2794,87.6318,96.4924,96.7968,7.5761,8.8435,9.7633,12.0,10.5342,11.4103
Jammu & Kashmir,age_14_17,01,3.8081,4.1958,2.0106,0.0,2.3474,0.7875,6.5215,3.6283,12.2962,1.5411,13.4342,1.3499,2.8909,0.4043,10.9332,2.6455,8.4506,0.6278,5.1657,3.7003,10.4651,8.4719,8.5049,3.8632,6.9444,3.8462,18.6874,9.2833,2.4956,1.835,94.8343,96.2997,89.5349,91.5281,91.4951,96.1368,93.0556,96.1538,81.3126,90.7167,97.5044,98.165,44.5891,44.2557,46.3589,29.8507,47.9625,42.9199
