state_name,age_bracket,state_code,Below_primary_share_total_female,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female,Graduate_share_total_female,Illiteracy_rate_total_female,Literacy_rate_total_female
INDIA,age_10_13,00,32.7493,3.7586,3.5141,4.336,3.6828,4.8694,3.5244,0.8819,1.6873,3.1245,2.5728,2.6949,6.5671,0.0,10.1105,89.8895
INDIA,age_14_17,00,5.6531,29.0924,29.2268,27.7041,26.2404,30.5792,25.1872,12.7786,21.9889,23.7051,18.6532,26.1872,49.2396,0.0,11.3028,88.6972
INDIA,age_18_21,00,5.4232,52.4187,49.5815,51.9173,48.7175,49.2264,48.7273,52.285,53.0058,48.828,42.0462,51.942,98.6262,0.0,16.7263,83.2737
INDIA,age_22_25,00,6.2911,7.0092,8.4243,7.6932,11.0555,6.6918,11.2914,18.9925,12.0435,12.4026,18.9977,9.4572,22.9624,14.7513,22.6831,77.3169
INDIA,age_26_29,00,7.8937,1.1281,1.6407,1.4838,2.4259,1.1878,3.3257,4.5818,2.4168,2.7247,7.4032,1.7145,5.3901,17.7613,30.1022,69.8978
INDIA,age_30_33,00,9.724,0.3861,0.5886,0.5181,0.737,0.4811,1.0273,1.1447,0.6328,0.7273,2.1983,0.4943,1.5269,15.3043,37.0982,62.9018
INDIA,age_34_plus,00,16.1156,0.1659,0.2729,0.2442,0.2923,0.256,0.3763,0.3529,0.2152,0.2832,0.7298,0.1916,0.588,10.7028,56.4017,43.5983
INDIA,age_below10,00,94.0089,2.7802,2.1135,2.969,2.4063,2.697,2.5722,1.6456,1.7478,2.1559,2.0436,1.9806,4.6227,0.0,74.5052,25.4948
Jammu & Kashmir,age_10_13,01,29.1191,1.4026,1.9546,1.7619,1.4437,1.9782,1.2271,0.5416,0.9349,0.6196,0.9945,1.4779,1.5481,0.0,15.085,84.915
Jammu & Kashmir,age_14_17,01,2.2523,12.9055,17.9103,17.0554,10.9277,16.2793,10.525,5.6141,10.9354,13.4001,7.8267,16.7285,13.4459,0.0,15.8384,84.1616
Jammu & Kashmir,age_18_21,01,1.9052,48.6601,44.2974,50.7109,43.0566,47.6196,37.2333,38.1613,45.8666,44.112,30.8405,48.7643,44.4565,0.0,21.9608,78.0392
Jammu & Kashmir,age_22_25,01,1.7277,19.4562,15.4208,17.8136,23.2432,19.0042,24.3393,30.1311,24.3071,22.1065,27.2655,18.0849,21.8872,15.8887,29.1193,70.8807
Jammu & Kashmir,age_26_29,01,1.5834,6.2764,4.3035,4.7313,7.8886,5.7457,13.0623,11.144,7.0503,7.2344,17.1054,4.5547,7.558,21.8588,39.2972,60.7028
Jammu & Kashmir,age_30_33,01,1.96,2.9306,1.2722,1.8239,3.1666,2.3461,5.1267,3.0892,1.8162,2.5027,6.6875,1.2543,2.6401,18.1911,47.8863,52.1137
Jammu & Kashmir,age_34_plus,01,3.0053,1.0186,0.5761,0.8839,1.0369,1.043,1.4932,0.7349,0.4515,0.9459,1.7929,0.3599,0.9386,15.3198,70.6123,29.3877
Jammu & Kashmir,age_below10,01,93.961,1.763,1.3339,1.3776,1.6671,1.3446,1.5569,1.3647,1.2432,1.3245,1.6029,1.1387,1.3511,0.0,78.3851,21.6149
Himachal Pradesh,age_10_13,02,20.5644,2.3204,3.3689,2.2831,1.7617,5.7679,2.0144,0.2574,0.5753,3.0698,1.3827,1.641,2.5582,0.0,3.2271,96.7729
Himachal Pradesh,age_14_17,02,1.2855,23.2486,29.7662,21.0389,18.1995,32.5522,18.7196,4.5878,14.0014,19.3388,12.962,23.4297,19.4709,0.0,2.5766,97.4234
Himachal Pradesh,age_18_21,02,1.3646,52.1825,51.6791,55.3079,51.5744,47.0505,51.3404,54.7706,62.4171,47.8688,42.2926,58.5601,51.2549,0.0,3.533,96.467
Himachal Pradesh,age_22_25,02,1.6568,13.6713,8.9394,14.4145,17.4504,8.167,17.7655,29.0353,15.8767,18.9322,25.8293,10.7869,17.5266,15.9809,5.3947,94.6053
Himachal Pradesh,age_26_29,02,2.4994,2.9215,1.6891,2.5908,4.8134,1.549,4.9971,4.8909,2.0613,3.7993,10.679,1.4341,3.6388,20.5995,8.9247,91.0753
Himachal Pradesh,age_30_33,02,3.6921,0.8819,0.5278,0.6202,1.1652,0.5869,1.148,0.7301,0.338,0.6536,2.3685,0.3156,0.7059,14.9233,13.2426,86.7574
Himachal Pradesh,age_34_plus,02,8.9473,0.4286,0.2927,0.3115,0.3745,0.4099,0.4373,0.1921,0.118,0.2789,0.7244,0.144,0.2859,7.5467,45.541,54.459
Himachal Pradesh,age_below10,02,94.9749,1.4632,1.3553,1.3967,1.3178,2.1043,1.3432,0.9135,1.0148,1.5571,1.2091,1.1421,1.4428,0.0,71.4013,28.5987
Punjab,age_10_13,03,32.4132,0.7604,1.0603,0.5888,0.8221,1.1491,0.7293,0.2945,0.5119,0.7177,0.7323,0.6611,0.7186,0.0,7.6762,92.3238
Punjab,age_14_17,03,2.9994,10.4726,13.7038,6.2231,7.8291,13.4952,8.234,4.3021,9.0775,9.4774,8.126,10.9487,9.3602,0.0,8.0462,91.9538
Punjab,age_18_21,03,1.7766,56.93,53.9229,48.8926,53.3977,57.307,45.4807,49.0387,56.6072,53.282,42.0118,57.7065,52.4626,0.0,9.6977,90.3023
Punjab,age_22_25,03,1.415,21.2372,17.7426,28.782,25.5047,18.876,28.4971,31.5848,22.5389,24.6219,30.1492,20.6458,24.9629,18.3896,13.1525,86.8475
Punjab,age_26_29,03,1.4438,4.026,3.1703,6.6639,4.8573,3.3257,8.8992,6.1586,3.5526,4.5979,10.5532,3.3419,5.1094,21.9697,18.8567,81.1433
Punjab,age_30_33,03,1.8889,1.2141,0.7657,1.9447,1.0243,1.0886,1.8749,0.9776,0.627,0.9498,2.0817,0.7183,1.066,17.9883,25.992,74.008
Punjab,age_34_plus,03,3.2568,0.3413,0.2494,0.5834,0.4057,0.4006,0.46,0.2025,0.162,0.2799,0.4717,0.205,0.3041,12.2905,48.0691,51.9309
Punjab,age_below10,03,94.8948,0.8944,0.8846,0.9788,1.1591,0.9363,1.0865,0.9702,0.9297,0.9651,1.1293,0.8994,0.978,0.0,73.4462,26.5538
Chandigarh,age_10_13,04,37.821,3.1088,3.9885,1.0417,2.3018,5.9997,2.0829,0.4293,1.4404,2.2716,2.0797,2.498,2.2401,0.0,6.3705,93.6295
Chandigarh,age_14_17,04,4.0237,23.3161,31.8888,11.9792,21.3555,36.4661,15.3762,8.8035,21.1137,18.6469,15.2731,27.8449,18.026,0.0,6.1508,93.8492
Chandigarh,age_18_21,04,1.9525,31.6062,47.1716,41.1458,46.9309,44.0103,29.8655,49.9021,56.317,44.8858,29.5712,52.7715,41.7879,0.0,7.1813,92.8187
Chandigarh,age_22_25,04,1.6009,20.2073,8.6865,25.5208,19.4373,7.587,29.562,27.9867,14.048,22.6098,29.7569,10.4789,23.9713,32.3021,10.641,89.359
Chandigarh,age_26_29,04,1.9096,10.3627,1.5916,10.9375,5.1151,1.2578,15.1072,6.267,1.9218,5.6425,15.2842,1.5642,7.5596,43.0191,16.4968,83.5032
Chandigarh,age_30_33,04,2.2281,2.5907,0.3452,2.6042,1.2788,0.3708,2.9117,1.109,0.3032,0.8963,2.9376,0.3435,1.3039,39.7548,21.7422,78.2578
Chandigarh,age_34_plus,04,2.5545,1.0363,0.1918,0.0,0.3836,0.2353,0.8015,0.3762,0.1403,0.325,0.8096,0.1634,0.4191,37.1952,28.7696,71.2304
