state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Graduate_share_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male
INDIA,age_10_13,00,33.9047,0.6081,0.7068,0.9013,0.6452,1.0818,0.607,0.4389,0.676,1.1848,0.432,0.749,1.4142,0.0,7.9438,92.0562
INDIA,age_14_17,00,5.7155,4.5661,4.7522,5.4545,3.8247,6.6393,3.8427,2.7194,4.31,6.4598,2.6061,4.7461,8.7022,0.0,7.9716,92.0284
INDIA,age_18_21,00,5.2215,43.4047,37.5102,43.0124,33.9061,43.9337,34.4553,28.7955,37.2952,31.2825,25.843,39.1372,70.4785,0.0,9.5404,90.4596
INDIA,age_22_25,00,5.4607,32.3652,33.3926,30.7746,33.4313,29.8736,32.5117,32.4529,31.0295,24.835,33.538,32.0769,62.2992,13.7516,11.2305,88.7695
INDIA,age_26_29,00,6.2536,8.61,10.7807,9.2369,13.8161,7.3109,14.1185,17.1259,12.2346,11.2468,19.2291,10.4569,26.1903,18.0526,14.7287,85.2713
INDIA,age_30_33,00,7.133,3.5653,4.9555,4.0581,5.8903,3.6273,6.4427,7.9442,5.2959,6.6609,9.037,4.4822,12.2951,16.6874,17.9817,82.0183
INDIA,age_34_plus,00,12.2962,1.2422,2.1235,1.5005,1.9344,1.5538,2.1939,2.6336,1.9056,3.0952,3.0004,1.6613,4.4099,14.2614,29.8616,70.1384
INDIA,age_below10,00,93.8114,1.3453,1.3304,1.3718,1.4703,1.396,1.4271,1.4449,1.2987,1.4624,1.4903,1.3406,2.8473,0.0,73.9223,26.0777
Jammu & Kashmir,age_10_13,01,29.2573,0.3725,0.3458,0.331,0.4309,0.4453,0.3246,0.2826,0.3433,0.2201,0.3148,0.369,0.3587,0.0,10.2854,89.7146
Jammu & Kashmir,age_14_17,01,1.9961,2.7905,3.2486,2.7225,2.9043,3.2152,2.0609,1.4929,2.5848,3.0458,1.7565,2.9816,2.3618,0.0,7.6975,92.3025
Jammu & Kashmir,age_18_21,01,1.7446,28.7247,29.5341,29.5787,25.9971,29.5452,22.5314,19.3827,25.1597,23.4084,19.6141,28.1792,23.8902,0.0,9.7386,90.2614
Jammu & Kashmir,age_22_25,01,1.6819,34.4278,34.0185,36.2945,33.1815,33.9525,34.8833,36.0078,35.5031,28.6606,34.5267,35.4743,33.9798,13.808,12.3394,87.6606
Jammu & Kashmir,age_26_29,01,1.4199,15.8017,14.5696,15.7077,17.6523,13.6272,20.3315,22.2649,18.8832,14.8054,22.2996,15.9426,18.5625,17.0775,15.6431,84.3569
Jammu & Kashmir,age_30_33,01,1.7134,8.7039,7.1439,7.9212,9.9136,8.8107,10.5402,9.9539,8.2255,9.7339,11.5618,7.2367,9.9613,14.6508,20.1442,79.8558
Jammu & Kashmir,age_34_plus,01,2.7069,3.253,2.7684,2.9342,3.3868,4.3013,3.6119,2.8747,2.4475,4.7612,3.8684,2.6789,3.6815,14.8749,39.1604,60.8396
Jammu & Kashmir,age_below10,01,93.4658,1.3948,1.1995,1.2114,1.4544,1.2235,1.2921,1.3084,1.3409,1.1395,1.3037,1.2315,1.2849,0.0,77.9181,22.0819
Himachal Pradesh,age_10_13,02,21.2984,0.2887,0.5342,0.3115,0.2247,0.7625,0.2397,0.1366,0.2114,0.5819,0.1955,0.3457,0.2994,0.0,2.6997,97.3003
Himachal Pradesh,age_14_17,02,1.415,3.1781,5.1243,3.4285,2.2568,6.4494,2.3118,0.8655,2.1997,4.201,1.6157,3.8444,2.6076,0.0,2.1286,97.8714
Himachal Pradesh,age_18_21,02,1.7138,29.5684,36.17,31.6075,21.2049,35.5583,23.6261,16.5187,26.5256,24.2365,18.7227,33.4524,23.7977,0.0,2.8959,97.1041
Himachal Pradesh,age_22_25,02,1.9247,35.0043,33.9468,36.2353,37.5807,31.9988,36.2763,39.6799,39.9627,33.3153,36.3246,36.7075,36.2523,11.1095,3.4777,96.5223
