state_name,age_bracket,state_code,Below_primary_share_total_female,Below_primary_share_total_male,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male,Graduate_share_total_female,Graduate_share_total_male,Illiteracy_rate_total_female,Illiteracy_rate_total_male,Literacy_rate_total_female,Literacy_rate_total_male
INDIA,age_10_13,00,32.7493,33.9047,3.7586,0.6081,3.5141,0.7068,4.336,0.9013,3.6828,0.6452,4.8694,1.0818,3.5244,0.607,0.8819,0.4389,1.6873,0.676,3.1245,1.1848,2.5728,0.432,2.6949,0.749,6.5671,1.4142,0.0,0.0,10.1105,7.9438,89.8895,92.0562
INDIA,age_14_17,00,5.6531,5.7155,29.0924,4.5661,29.2268,4.7522,27.7041,5.4545,26.2404,3.8247,30.5792,6.6393,25.1872,3.8427,12.7786,2.7194,21.9889,4.31,23.7051,6.4598,18.6532,2.6061,26.1872,4.7461,49.2396,8.7022,0.0,0.0,11.3028,7.9716,88.6972,92.0284
INDIA,age_18_21,00,5.4232,5.2215,52.4187,43.4047,49.5815,37.5102,51.9173,43.0124,48.7175,33.9061,49.2264,43.9337,48.7273,34.4553,52.285,28.7955,53.0058,37.2952,48.828,31.2825,42.0462,25.843,51.942,39.1372,98.6262,70.4785,0.0,0.0,16.7263,9.5404,83.2737,90.4596
INDIA,age_22_25,00,6.2911,5.4607,7.0092,32.3652,8.4243,33.3926,7.6932,30.7746,11.0555,33.4313,6.6918,29.8736,11.2914,32.5117,18.9925,32.4529,12.0435,31.0295,12.4026,24.835,18.9977,33.538,9.4572,32.0769,22.9624,62.2992,14.7513,13.7516,22.6831,11.2305,77.3169,88.7695
INDIA,age_26_29,00,7.8937,6.2536,1.1281,8.61,1.6407,10.7807,1.4838,9.2369,2.4259,13.8161,1.1878,7.3109,3.3257,14.1185,4.5818,17.1259,2.4168,12.2346,2.7247,11.2468,7.4032,19.2291,1.7145,10.4569,5.3901,26.1903,17.7613,18.0526,30.1022,14.7287,69.8978,85.2713
INDIA,age_30_33,00,9.724,7.133,0.3861,3.5653,0.5886,4.9555,0.5181,4.0581,0.737,5.8903,0.4811,3.6273,1.0273,6.4427,1.1447,7.9442,0.6328,5.2959,0.7273,6.6609,2.1983,9.037,0.4943,4.4822,1.5269,12.2951,15.3043,16.6874,37.0982,17.9817,62.9018,82.0183
INDIA,age_34_plus,00,16.1156,12.2962,0.1659,1.2422,0.2729,2.1235,0.2442,1.5005,0.2923,1.9344,0.256,1.5538,0.3763,2.1939,0.3529,2.6336,0.2152,1.9056,0.2832,3.0952,0.7298,3.0004,0.1916,1.6613,0.588,4.4099,10.7028,14.2614,56.4017,29.8616,43.5983,70.1384
INDIA,age_below10,00,94.0089,93.8114,2.7802,1.3453,2.1135,1.3304,2.969,1.3718,2.4063,1.4703,2.697,1.396,2.5722,1.4271,1.6456,1.4449,1.7478,1.2987,2.1559,1.4624,2.0436,1.4903,1.9806,1.3406,4.6227,2.8473,0.0,0.0,74.5052,73.9223,25.4948,26.0777
Jammu & Kashmir,age_10_13,01,29.1191,29.2573,1.4026,0.3725,1.9546,0.3458,1.7619,0.331,1.4437,0.4309,1.9782,0.4453,1.2271,0.3246,0.5416,0.2826,0.9349,0.3433,0.6196,0.2201,0.9945,0.3148,1.4779,0.369,1.5481,0.3587,0.0,0.0,15.085,10.2854,84.915,89.7146
Jammu & Kashmir,age_14_17,01,2.2523,1.9961,12.9055,2.7905,17.9103,3.2486,17.0554,2.7225,10.9277,2.9043,16.2793,3.2152,10.525,2.0609,5.6141,1.4929,10.9354,2.5848,13.4001,3.0458,7.8267,1.7565,16.7285,2.9816,13.4459,2.3618,0.0,0.0,15.8384,7.6975,84.1616,92.3025
