source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Age-group | 1,Total | Persons | 2,Males | 3,Females | 4,Marital status | Persons | 5,Never married | Males | 6,Females | 7,Married | Persons | 8,Males | 9,Females | 10,Widowed | Persons | 11,Males | 12,Females | 13,Divorced/Separated | Persons | 14,Males | 15,Females | 16,Unspecified | Persons | 17,Males | 18,Females | 19
C-02_(SC)_Andhra_Pradesh,C0502SC,28,00,0000,State - ANDHRA PRADESH  28,Total,All ages,12339496,6228011,6111485,5748743,3214275,2534468,5886875,2889468,2997407,633496,107856,525640,70382,16412,53970,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,00,0000,State - ANDHRA PRADESH  28,Total,0-9,2711435,1374308,1337127,2711435,1374308,1337127,0,0,0,0,0,0,0,0,0,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,00,0000,State - ANDHRA PRADESH  28,Total,Oct-14,1547308,807529,739779,1530395,803906,726489,15591,3212,12379,844,229,615,478,182,296,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,00,0000,State - ANDHRA PRADESH  28,Total,15-19,1220693,645332,575361,982100,622721,359379,232807,22096,210711,2271,235,2036,3515,280,3235,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,00,0000,State - ANDHRA PRADESH  28,Total,20-24,1078406,528945,549461,366823,295823,71000,693598,230846,462752,8331,1007,7324,9654,1269,8385,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,00,0000,State - ANDHRA PRADESH  28,Total,25-29,1074200,512024,562176,95395,78485,16910,949886,429181,520705,16427,2118,14309,12492,2240,10252,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,00,0000,State - ANDHRA PRADESH  28,Total,30-34,868661,437320,431341,20511,15126,5385,813676,416830,396846,22991,3070,19921,11483,2294,9189,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,00,0000,State - ANDHRA PRADESH  28,Total,35-39,878606,429256,449350,7654,4880,2774,827607,417735,409872,33457,4461,28996,9888,2180,7708,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,00,0000,State - ANDHRA PRADESH  28,Total,40-44,673660,359114,314546,4861,2837,2024,619034,347887,271147,42084,6289,35795,7681,2101,5580,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,00,0000,State - ANDHRA PRADESH  28,Total,45-49,593986,303257,290729,2934,1724,1210,533715,291661,242054,52356,8256,44100,4981,1616,3365,0,0,0
