source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Age-group | 1,Total | Persons | 2,Males | 3,Females | 4,Marital status | Persons | 5,Never married | Males | 6,Females | 7,Married | Persons | 8,Males | 9,Females | 10,Widowed | Persons | 11,Males | 12,Females | 13,Divorced/Separated | Persons | 14,Males | 15,Females | 16,Unspecified | Persons | 17,Males | 18,Females | 19
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All ages,29469,15127,14342,15927,8637,7290,12205,6050,6155,1231,411,820,106,29,77,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,0-9,5409,2810,2599,5409,2810,2599,0,0,0,0,0,0,0,0,0,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,10-14,3190,1661,1529,3181,1658,1523,8,3,5,1,0,1,0,0,0,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,15-19,2995,1528,1467,2929,1521,1408,60,6,54,5,1,4,1,0,1,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,20-24,2689,1341,1348,2013,1180,833,653,161,492,10,0,10,13,0,13,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,25-29,2774,1322,1452,1127,685,442,1606,631,975,22,5,17,19,1,18,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,30-34,2297,1155,1142,477,305,172,1759,825,934,44,21,23,17,4,13,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,35-39,2524,1262,1262,337,211,126,2103,1031,1072,66,16,50,18,4,14,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,40-44,1826,943,883,165,95,70,1587,824,763,67,22,45,7,2,5,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,45-49,1787,1020,767,136,81,55,1528,901,627,116,35,81,7,3,4,0,0,0
