source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Age-group | 1,Total | Persons | 2,Males | 3,Females | 4,Marital status | Persons | 5,Never married | Males | 6,Females | 7,Married | Persons | 8,Males | 9,Females | 10,Widowed | Persons | 11,Males | 12,Females | 13,Divorced/Separated | Persons | 14,Males | 15,Females | 16,Unspecified | Persons | 17,Males | 18,Females | 19
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All ages,356152,192972,163180,182279,105638,76641,161737,84492,77245,10707,2246,8461,1429,596,833,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,0-9,65290,33266,32024,65290,33266,32024,0,0,0,0,0,0,0,0,0,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,10-14,38754,19924,18830,38476,19823,18653,227,89,138,42,9,33,9,3,6,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,15-19,38448,20801,17647,35865,20511,15354,2521,280,2241,38,6,32,24,4,20,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,20-24,38290,20956,17334,24172,17771,6401,13886,3155,10731,119,14,105,113,16,97,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,25-29,36751,19383,17368,10576,8582,1994,25793,10709,15084,224,52,172,158,40,118,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,30-34,28599,15911,12688,2933,2368,565,25085,13377,11708,378,92,286,203,74,129,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,35-39,28531,15191,13340,1254,982,272,26371,14031,12340,691,104,587,215,74,141,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,40-44,20609,11720,8889,598,423,175,19000,11110,7890,831,114,717,180,73,107,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,45-49,19077,11067,8010,413,287,126,17389,10514,6875,1143,192,951,132,74,58,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,50-54,12649,7786,4863,232,174,58,11122,7276,3846,1179,271,908,116,65,51,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,55-59,9509,5921,3588,148,109,39,8130,5483,2647,1165,287,878,66,42,24,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,60-64,6496,3790,2706,117,92,25,4998,3346,1652,1305,302,1003,76,50,26,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,65-69,4688,2659,2029,83,61,22,3335,2308,1027,1217,254,963,53,36,17,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,70-74,2983,1654,1329,66,52,14,1856,1365,491,1035,224,811,26,13,13,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,75-79,1534,869,665,30,20,10,907,683,224,577,154,423,20,12,8,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,80+,1665,862,803,35,22,13,856,654,202,741,168,573,33,18,15,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Age not stated,2279,1212,1067,1991,1095,896,261,112,149,22,3,19,5,2,3,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Less than 18,126026,64872,61154,125200,64663,60537,754,194,560,58,12,46,14,3,11,0,0,0
