source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Marital | status | 1,Total population | Persons | 2,Males | 3,Females | 4,Religious communities | Hindu | Persons | 5,Males | 6,Females | 7,Muslim | Persons | 8,Males | 9,Females | 10,Christian | Persons | 11,Males | 12,Females | 13,Sikh | Persons | 14,Males | 15,Females | 16,Buddhist | Persons | 17,Males | 18,Females | 19,Jain | Persons | 20,Males | 21,Females | 22,Other religious communities | Persons | 23,Males | 24,Females | 25
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total,356152,192972,163180,246589,134878,111711,29265,15736,13529,77178,40529,36649,1587,873,714,421,310,111,23,12,11,238,128,110
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Never married,182279,105638,76641,123956,73035,50921,15266,8743,6523,41519,22911,18608,752,430,322,206,154,52,11,6,5,125,70,55
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Married,161737,84492,77245,114411,60088,54323,12957,6850,6107,32896,16728,16168,805,432,373,203,153,50,12,6,6,103,58,45
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Widowed,10707,2246,8461,7206,1316,5890,879,101,778,2521,779,1742,28,9,19,10,2,8,0,0,0,8,0,8
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Divorced/Separated,1429,596,833,1016,439,577,163,42,121,242,111,131,2,2,0,2,1,1,0,0,0,2,0,2
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,Total,239954,128961,110993,158644,86221,72423,15326,8071,7255,63996,33560,30436,825,448,377,137,64,73,5,2,3,191,103,88
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,Never married,123945,71016,52929,80085,46790,33295,8218,4575,3643,34670,19078,15592,381,211,170,56,24,32,3,1,2,101,57,44
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,Married,107247,55672,51575,72807,38121,34686,6602,3417,3185,26914,13647,13267,427,229,198,72,39,33,2,1,1,81,46,35
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,Widowed,7629,1778,5851,4941,946,3995,406,55,351,2197,731,1466,15,6,9,8,1,7,0,0,0,7,0,7
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,Divorced/Separated,1133,495,638,811,364,447,100,24,76,215,104,111,2,2,0,1,0,1,0,0,0,2,0,2
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,Total,116198,64011,52187,87945,48657,39288,13939,7665,6274,13182,6969,6213,762,425,337,284,246,38,18,10,8,47,25,22
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,Never married,58334,34622,23712,43871,26245,17626,7048,4168,2880,6849,3833,3016,371,219,152,150,130,20,8,5,3,24,13,11
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,Married,54490,28820,25670,41604,21967,19637,6355,3433,2922,5982,3081,2901,378,203,175,131,114,17,10,5,5,22,12,10
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,Widowed,3078,468,2610,2265,370,1895,473,46,427,324,48,276,13,3,10,2,1,1,0,0,0,1,0,1
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,Divorced/Separated,296,101,195,205,75,130,63,18,45,27,7,20,0,0,0,1,1,0,0,0,0,0,0,0
C-03_Andaman_and_Nicobar_Islands,C0703,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_Andhra_Pradesh,C0703,28,00,0000,State - ANDHRA PRADESH  28,Total,Total,76210007,38527413,37682594,67836651,34278050,33558601,6986856,3562239,3424617,1181917,580319,601598,30998,17264,13734,32037,16342,15695,41846,21613,20233,4768,2450,2318
