source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40+ | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-04_(SC)_Andhra_Pradesh,C1204SC,28,00,0000,State - ANDHRA PRADESH  28,Total,All ages,3013736,3577017,2889468,2997407,379976,414709,430064,453892,777247,825400,598648,605597,334315,336491,290132,273284,79086,88034
C-04_(SC)_Andhra_Pradesh,C1204SC,28,00,0000,State - ANDHRA PRADESH  28,Total,Less than 10,41468,110761,39137,86509,7,101,34,454,5166,18648,12694,20754,8639,18143,12518,28342,79,67
C-04_(SC)_Andhra_Pradesh,C1204SC,28,00,0000,State - ANDHRA PRADESH  28,Total,10-11,13182,132487,11477,104682,38,826,173,4706,1566,20543,2615,24010,2390,21681,4670,32863,25,53
C-04_(SC)_Andhra_Pradesh,C1204SC,28,00,0000,State - ANDHRA PRADESH  28,Total,12-13,17018,279695,14833,226617,145,8113,643,27866,2881,68818,3426,54195,2887,34889,4840,32672,11,64
C-04_(SC)_Andhra_Pradesh,C1204SC,28,00,0000,State - ANDHRA PRADESH  28,Total,14-15,77833,794170,69306,667797,1531,52651,4233,87769,14541,196530,15314,157032,13329,94402,20313,79218,45,195
C-04_(SC)_Andhra_Pradesh,C1204SC,28,00,0000,State - ANDHRA PRADESH  28,Total,16-17,133672,732494,124900,645954,14412,138651,18454,114782,36827,186640,24038,116935,14895,55101,16210,33618,64,227
C-04_(SC)_Andhra_Pradesh,C1204SC,28,00,0000,State - ANDHRA PRADESH  28,Total,18-19,460775,764263,438677,668689,63754,131952,67642,122189,123651,191147,86528,128235,48979,59717,47954,35258,169,191
C-04_(SC)_Andhra_Pradesh,C1204SC,28,00,0000,State - ANDHRA PRADESH  28,Total,20-21,974663,435699,933439,347837,107053,44039,139298,64026,253205,98003,209220,76417,115287,39319,108946,25899,430,134
C-04_(SC)_Andhra_Pradesh,C1204SC,28,00,0000,State - ANDHRA PRADESH  28,Total,22-23,470648,94409,460987,83478,86829,20793,84265,17453,134976,22774,89793,13799,41009,6056,23943,2559,172,44
C-04_(SC)_Andhra_Pradesh,C1204SC,28,00,0000,State - ANDHRA PRADESH  28,Total,24-25,438223,57992,426922,47749,52996,9766,63962,8782,123489,13226,97700,8921,53379,4858,35207,2176,189,20
