source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40+ | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-04_(ST)_Andaman_and_Nicobar_Islands,C1304ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All ages,6490,7052,6050,6155,693,725,926,949,1797,1831,1381,1385,648,633,479,483,126,149
C-04_(ST)_Andaman_and_Nicobar_Islands,C1304ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Less than 10,43,39,40,37,0,0,0,1,0,5,19,12,12,11,9,8,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1304ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,10-11,5,10,5,10,0,0,0,2,0,1,1,3,2,1,2,3,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1304ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,12-13,3,20,3,19,0,2,0,0,2,10,1,5,0,1,0,1,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1304ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,14-15,4,86,3,76,0,3,0,1,3,40,0,23,0,7,0,2,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1304ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,16-17,31,414,23,368,3,23,1,28,8,125,5,114,4,47,2,30,0,1
C-04_(ST)_Andaman_and_Nicobar_Islands,C1304ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,18-19,317,1687,296,1536,19,151,16,239,109,458,85,412,38,161,28,114,1,1
C-04_(ST)_Andaman_and_Nicobar_Islands,C1304ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,20-21,959,2135,883,1868,86,190,153,294,276,597,224,424,72,197,72,166,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1304ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,22-23,1155,1008,1089,889,121,127,184,157,359,264,253,189,97,81,75,71,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1304ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,24-25,1565,634,1464,536,140,92,221,90,432,151,357,95,173,54,141,54,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1304ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,26-27,747,331,707,286,105,66,89,51,227,75,158,42,68,35,60,17,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1304ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,28-29,584,173,558,137,77,28,79,23,164,40,112,25,80,16,46,5,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1304ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,30-31,367,133,339,109,42,13,57,30,98,34,66,16,50,11,26,5,0,0
