source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Religion,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40+ | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-05_Andaman_and_Nicobar_Islands,C1405,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All Religious Communities,All ages,87334,86539,84492,77245,13177,11969,13906,12750,24465,22854,17794,16142,8216,7239,4414,4206,2520,2085
C-05_Andaman_and_Nicobar_Islands,C1405,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All Religious Communities,Less than 10,694,1400,669,1101,0,0,1,2,44,218,261,355,184,250,178,271,1,5
C-05_Andaman_and_Nicobar_Islands,C1405,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All Religious Communities,10-11,67,823,63,619,0,3,1,9,13,137,16,152,16,123,16,192,1,3
C-05_Andaman_and_Nicobar_Islands,C1405,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All Religious Communities,12-13,96,2681,87,2091,1,9,4,78,16,667,26,611,18,411,21,314,1,1
C-05_Andaman_and_Nicobar_Islands,C1405,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All Religious Communities,14-15,290,8924,270,7596,2,163,12,607,53,2466,77,2243,57,1222,68,886,1,9
C-05_Andaman_and_Nicobar_Islands,C1405,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All Religious Communities,16-17,1037,14505,954,12948,50,1402,79,2135,331,4517,228,3043,141,1223,121,599,4,29
C-05_Andaman_and_Nicobar_Islands,C1405,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All Religious Communities,18-19,4466,22937,4199,20984,348,3844,558,4003,1340,6390,974,4167,580,1768,392,777,7,35
C-05_Andaman_and_Nicobar_Islands,C1405,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All Religious Communities,20-21,12487,15448,11917,13895,1318,2399,1971,2721,3603,3945,2769,2856,1318,1201,926,750,12,23
C-05_Andaman_and_Nicobar_Islands,C1405,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All Religious Communities,22-23,13979,7609,13586,7145,2183,1732,2485,1420,4290,2044,2875,1297,1171,446,568,196,14,10
C-05_Andaman_and_Nicobar_Islands,C1405,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All Religious Communities,24-25,17658,4987,17103,4592,2667,1152,2793,890,5101,1297,3779,775,1766,324,985,146,12,8
C-05_Andaman_and_Nicobar_Islands,C1405,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All Religious Communities,26-27,11180,2315,10977,2174,2463,670,2056,449,3294,599,2071,302,752,125,332,27,9,2
C-05_Andaman_and_Nicobar_Islands,C1405,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All Religious Communities,28-29,9269,1199,9108,1101,1937,321,1689,219,2650,289,1764,178,793,73,271,21,4,0
