source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Workers,Age at | marriage | 1,Number | of ever | married persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All | durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40+ | Males | 16,Females | 17,Duration | not known | Males | 18,Females | 19
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,All ages,75118,13894,73399,11526,11479,1384,12747,1808,22933,4198,16397,2755,6129,882,2005,288,1709,211
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,Less than 10,577,217,563,155,0,0,0,0,26,12,223,57,173,49,140,36,1,1
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,10-11,55,99,53,70,0,0,1,1,11,19,14,25,14,14,13,11,0,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,12-13,78,406,74,292,1,1,3,13,14,98,24,103,18,58,13,19,1,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,14-15,240,1151,230,857,1,6,8,58,48,304,75,325,54,105,44,59,0,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,16-17,851,1824,800,1384,30,67,60,163,295,555,215,445,129,128,67,25,4,1
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,18-19,3743,2892,3575,2306,256,195,466,282,1208,892,917,646,531,232,194,57,3,2
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,20-21,10655,2309,10321,1882,1044,154,1733,301,3355,727,2594,504,1179,152,406,44,10,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,22-23,12332,1648,12076,1491,1840,196,2233,275,4025,609,2702,317,994,74,269,19,13,1
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,24-25,15396,1418,15051,1302,2292,264,2580,304,4777,489,3571,190,1404,40,419,13,8,2
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,26-27,10083,853,9952,810,2213,239,1954,214,3144,268,1971,70,511,17,151,2,8,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,28-29,8246,450,8145,431,1770,143,1589,111,2546,119,1667,47,475,8,94,3,4,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,30-31,5591,209,5465,194,906,54,1083,51,1704,67,1282,19,358,3,131,0,1,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,32-33,2389,78,2354,73,499,27,479,18,779,23,475,3,99,2,21,0,2,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,34+,3148,82,3088,75,627,38,558,17,1001,16,667,4,190,0,43,0,2,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Total Main workers,Not stated,1734,258,1652,204,0,0,0,0,0,0,0,0,0,0,0,0,1652,204
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Cultivators,All ages,10212,2343,9849,1965,1279,179,1548,280,2632,606,2163,530,1241,234,823,116,163,20
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Cultivators,Less than 10,69,61,67,44,0,0,0,0,3,6,25,9,23,14,16,15,0,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Cultivators,10-11,8,39,7,29,0,0,0,0,1,5,2,11,1,8,3,5,0,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Cultivators,12-13,12,121,12,94,0,0,0,4,2,34,3,34,3,16,4,6,0,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Cultivators,14-15,25,315,25,249,0,5,1,19,5,96,3,70,7,36,9,23,0,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Cultivators,16-17,142,452,134,383,6,35,10,62,46,127,32,112,12,36,28,11,0,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Cultivators,18-19,641,685,601,612,53,84,99,98,174,191,139,149,80,60,56,29,0,1
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Cultivators,20-21,1858,347,1767,290,222,26,329,57,530,79,329,81,179,29,176,18,2,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Cultivators,22-23,2034,140,1973,113,316,10,342,17,567,35,434,30,184,14,128,7,2,0
C-07_Andaman_and_Nicobar_Islands,C0107,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,Cultivators,24-25,2113,79,2048,67,265,3,301,7,538,20,485,20,273,15,186,2,0,0
