source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Age-group | 1,Total | Persons | 2,Males | 3,Females | 4,Illiterate | Persons | 5,Males | 6,Females | 7,Literate | Persons | 8,Males | 9,Females | 10,Educational level | Literate without | educational level | Persons | 11,Males | 12,Females | 13,Below | primary | Persons | 14,Males | 15,Females | 16,Primary | Persons | 17,Males | 18,Females | 19,Middle | Persons | 20,Males | 21,Females | 22,Matric/Secondary | Persons | 23,Males | 24,Females | 25,Higher secondary/Intermediate | Pre-University/Senior secondary | Persons | 26,Males | 27,Females | 28,Non-technical diploma or | certificate not equal to degree | Persons | 29,Males | 30,Females | 31,Technical diploma or certificate | not equal to degree | Persons | 32,Males | 33,Females | 34,Graduate & above | Persons | 35,Males | 36,Females | 37,Unclassified | Persons | 38,Males | 39,Females | 40
C-08_(ST)_Andaman_and_Nicobar_Islands,C2708ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,All ages,29469,15127,14342,12350,5436,6914,17119,9691,7428,196,129,67,3491,1959,1532,6208,3573,2635,4436,2498,1938,1935,1046,889,602,338,264,2,1,1,63,24,39,186,123,63,0,0,0
C-08_(ST)_Andaman_and_Nicobar_Islands,C2708ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,0-6,3836,1961,1875,3836,1961,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-08_(ST)_Andaman_and_Nicobar_Islands,C2708ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,7,464,257,207,214,116,98,250,141,109,0,0,0,250,141,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-08_(ST)_Andaman_and_Nicobar_Islands,C2708ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,8,578,310,268,180,94,86,398,216,182,1,0,1,397,216,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-08_(ST)_Andaman_and_Nicobar_Islands,C2708ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,9,531,282,249,124,63,61,407,219,188,1,1,0,370,204,166,36,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-08_(ST)_Andaman_and_Nicobar_Islands,C2708ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,10,771,410,361,166,89,77,605,321,284,5,3,2,419,228,191,181,90,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-08_(ST)_Andaman_and_Nicobar_Islands,C2708ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,11,502,261,241,64,30,34,438,231,207,0,0,0,202,114,88,236,117,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-08_(ST)_Andaman_and_Nicobar_Islands,C2708ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,12,758,394,364,94,45,49,664,349,315,0,0,0,203,117,86,423,213,210,38,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-08_(ST)_Andaman_and_Nicobar_Islands,C2708ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,13,583,291,292,61,27,34,522,264,258,0,0,0,96,51,45,346,178,168,80,35,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-08_(ST)_Andaman_and_Nicobar_Islands,C2708ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,14,576,305,271,37,12,25,539,293,246,1,1,0,73,44,29,276,150,126,189,98,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
