source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Religion,Age-group | 1,Total Population | Persons | 2,Males | 3,Females | 4,Illiterate | Persons | 5,Males | 6,Females | 7,Literate | Persons | 8,Males | 9,Females | 10,Educational level | Literate without | educational level | Persons | 11,Males | 12,Females | 13,Below | primary | Persons | 14,Males | 15,Females | 16,Primary | Persons | 17,Males | 18,Females | 19,Middle | Persons | 20,Males | 21,Females | 22,Matric/Secondary | Persons | 23,Males | 24,Females | 25,Higher secondary/Intermediate | Pre-University/Senior secondary | Persons | 26,Males | 27,Females | 28,Non-technical diploma or | certificate not equal to degree | Persons | 29,Males | 30,Females | 31,Technical diploma or certificate | not equal to degree | Persons | 32,Males | 33,Females | 34,Graduate & above | Persons | 35,Males | 36,Females | 37,Unclassified | Persons | 38,Males | 39,Females | 40
C-09_All_India,C2909,01,00,0000,State - JAMMU & KASHMIR  01,Total,All Religious Communities,Total,10143700,5360926,4782774,5336414,2300298,3036116,4807286,3060628,1746658,246932,135290,111642,860480,496517,363963,1031707,617935,413772,1074049,710489,363560,914050,638612,275438,339163,225426,113737,1087,807,280,7493,6317,1176,331548,228649,102899,777,586,191
C-09_All_India,C2909,01,00,0000,State - JAMMU & KASHMIR  01,Total,All Religious Communities,0-6,1485803,765394,720409,1485803,765394,720409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-09_All_India,C2909,01,00,0000,State - JAMMU & KASHMIR  01,Total,All Religious Communities,7,217317,111487,105830,106713,50665,56048,110604,60822,49782,5330,2881,2449,105261,57938,47323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,10
C-09_All_India,C2909,01,00,0000,State - JAMMU & KASHMIR  01,Total,All Religious Communities,8,321662,165379,156283,129296,58503,70793,192366,106876,85490,6701,3647,3054,185649,103221,82428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,8
C-09_All_India,C2909,01,00,0000,State - JAMMU & KASHMIR  01,Total,All Religious Communities,9,231584,119404,112180,72575,31514,41061,159009,87890,71119,3992,2122,1870,141667,78575,63092,13340,7188,6152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5
C-09_All_India,C2909,01,00,0000,State - JAMMU & KASHMIR  01,Total,All Religious Communities,10,368272,190872,177400,115170,48744,66426,253102,142128,110974,6971,3702,3269,181152,102405,78747,64962,36010,28952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,6
C-09_All_India,C2909,01,00,0000,State - JAMMU & KASHMIR  01,Total,All Religious Communities,11,178719,93395,85324,40409,16028,24381,138310,77367,60943,2575,1345,1230,52412,29931,22481,83314,46088,37226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6
C-09_All_India,C2909,01,00,0000,State - JAMMU & KASHMIR  01,Total,All Religious Communities,12,333604,172296,161308,92179,35915,56264,241425,136381,105044,5905,3122,2783,47878,27761,20117,171825,96897,74928,15790,8586,7204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,12
C-09_All_India,C2909,01,00,0000,State - JAMMU & KASHMIR  01,Total,All Religious Communities,13,210357,106871,103486,49054,17479,31575,161303,89392,71911,3209,1652,1557,15662,8907,6755,114072,63977,50095,28349,14851,13498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,6
C-09_All_India,C2909,01,00,0000,State - JAMMU & KASHMIR  01,Total,All Religious Communities,14,269707,139403,130304,67416,24605,42811,202291,114798,87493,4653,2404,2249,11823,6890,4933,87899,50826,37073,97899,54671,43228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,10
