source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Age | 1,Total | Persons | 2,Males | 3,Females | 4,Attending educational institution | Main workers | Persons | 5,Males | 6,Females | 7,Marginal workers | Persons | 8,Males | 9,Females | 10,Non-workers | Persons | 11,Males | 12,Females | 13,Not attending educational institution | Main workers | Persons | 14,Males | 15,Females | 16,Marginal workers | Persons | 17,Males | 18,Females | 19,Non-workers | Persons | 20,Males | 21,Females | 22
C-12_(SC)_Andhra_Pradesh,C0312SC,28,00,0000,State - ANDHRA PRADESH  28,Total,5-19,4343548,2252591,2090957,30475,18110,12365,20626,11025,9601,2624146,1457192,1166954,637350,343040,294310,222363,88277,134086,808588,334947,473641
C-12_(SC)_Andhra_Pradesh,C0312SC,28,00,0000,State - ANDHRA PRADESH  28,Total,5,290572,147680,142892,281,152,129,152,67,85,94508,48921,45587,1553,869,684,666,307,359,193412,97364,96048
C-12_(SC)_Andhra_Pradesh,C0312SC,28,00,0000,State - ANDHRA PRADESH  28,Total,6,301939,153981,147958,631,334,297,379,207,172,190413,98913,91500,1183,649,534,546,233,313,108787,53645,55142
C-12_(SC)_Andhra_Pradesh,C0312SC,28,00,0000,State - ANDHRA PRADESH  28,Total,7,312678,159642,153036,836,478,358,593,286,307,263344,136732,126612,1618,829,789,657,266,391,45630,21051,24579
C-12_(SC)_Andhra_Pradesh,C0312SC,28,00,0000,State - ANDHRA PRADESH  28,Total,8,361230,181212,180018,1145,615,530,939,450,489,311470,160044,151426,4424,2159,2265,1795,659,1136,41457,17285,24172
C-12_(SC)_Andhra_Pradesh,C0312SC,28,00,0000,State - ANDHRA PRADESH  28,Total,9,309128,157215,151913,1130,633,497,1045,544,501,272390,142038,130352,5657,2640,3017,2508,906,1602,26398,10454,15944
C-12_(SC)_Andhra_Pradesh,C0312SC,28,00,0000,State - ANDHRA PRADESH  28,Total,10,389627,202940,186687,2023,1135,888,1884,966,918,313504,170741,142763,19945,9545,10400,8215,3130,5085,44056,17423,26633
C-12_(SC)_Andhra_Pradesh,C0312SC,28,00,0000,State - ANDHRA PRADESH  28,Total,11,252817,133001,119816,1285,715,570,1311,668,643,207653,115564,92089,14313,6117,8196,5993,1930,4063,22262,8007,14255
C-12_(SC)_Andhra_Pradesh,C0312SC,28,00,0000,State - ANDHRA PRADESH  28,Total,12,368039,192238,175801,2837,1579,1258,2389,1224,1165,254567,146172,108395,44195,19968,24227,18188,6271,11917,45863,17024,28839
C-12_(SC)_Andhra_Pradesh,C0312SC,28,00,0000,State - ANDHRA PRADESH  28,Total,13,270986,139203,131783,2297,1268,1029,1799,869,930,180773,104416,76357,39088,16990,22098,15696,4990,10706,31333,10670,20663
C-12_(SC)_Andhra_Pradesh,C0312SC,28,00,0000,State - ANDHRA PRADESH  28,Total,14,265839,140147,125692,2734,1566,1168,1967,1070,897,155611,93119,62492,53070,25519,27551,19903,7186,12717,32554,11687,20867
