source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Age | 1,Total | Persons | 2,Males | 3,Females | 4,Attending educational institution | Main workers | Persons | 5,Males | 6,Females | 7,Marginal workers | Persons | 8,Males | 9,Females | 10,Non-workers | Persons | 11,Males | 12,Females | 13,Not attending educational institution | Main workers | Persons | 14,Males | 15,Females | 16,Marginal workers | Persons | 17,Males | 18,Females | 19,Non-workers | Persons | 20,Males | 21,Females | 22
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,5-19,9027,4688,4339,35,27,8,423,234,189,5191,2653,2538,269,227,42,690,353,337,2419,1194,1225
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,5,626,320,306,0,0,0,0,0,0,84,43,41,2,1,1,0,0,0,540,276,264
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,6,643,330,313,0,0,0,2,2,0,240,117,123,0,0,0,3,1,2,398,210,188
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,7,464,257,207,3,3,0,0,0,0,310,167,143,1,1,0,4,2,2,146,84,62
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,8,578,310,268,0,0,0,4,1,3,431,232,199,1,0,1,2,2,0,140,75,65
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,9,531,282,249,2,1,1,8,2,6,414,229,185,1,0,1,3,2,1,103,48,55
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,10,771,410,361,0,0,0,24,13,11,580,305,275,4,4,0,22,7,15,141,81,60
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,11,502,261,241,0,0,0,16,10,6,415,215,200,4,3,1,6,2,4,61,31,30
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,12,758,394,364,1,1,0,44,30,14,580,305,275,2,1,1,25,10,15,106,47,59
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,13,583,291,292,2,0,2,27,14,13,445,225,220,5,3,2,30,12,18,74,37,37
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,14,576,305,271,4,4,0,47,28,19,406,207,199,6,5,1,48,27,21,65,34,31
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,15,668,350,318,9,6,3,51,29,22,400,199,201,27,24,3,67,42,25,114,50,64
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,16,621,318,303,5,5,0,55,25,30,316,151,165,34,30,4,94,52,42,117,55,62
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,17,457,238,219,4,3,1,45,24,21,205,92,113,39,37,2,73,43,30,91,39,52
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,18,708,349,359,4,3,1,65,36,29,224,100,124,71,61,10,149,66,83,195,83,112
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,19,541,273,268,1,1,0,35,20,15,141,66,75,72,57,15,164,85,79,128,44,84
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,5-19,8736,4550,4186,35,27,8,423,234,189,4958,2546,2412,264,222,42,690,353,337,2366,1168,1198
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,5,600,308,292,0,0,0,0,0,0,74,39,35,2,1,1,0,0,0,524,268,256
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,6,622,321,301,0,0,0,2,2,0,229,112,117,0,0,0,3,1,2,388,206,182
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,7,454,249,205,3,3,0,0,0,0,301,159,142,1,1,0,4,2,2,145,84,61
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,8,553,297,256,0,0,0,4,1,3,408,220,188,1,0,1,2,2,0,138,74,64
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,9,515,273,242,2,1,1,8,2,6,399,220,179,1,0,1,3,2,1,102,48,54
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,10,754,402,352,0,0,0,24,13,11,563,297,266,4,4,0,22,7,15,141,81,60
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,11,488,253,235,0,0,0,16,10,6,401,207,194,4,3,1,6,2,4,61,31,30
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,12,731,381,350,1,1,0,44,30,14,553,292,261,2,1,1,25,10,15,106,47,59
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,13,569,284,285,2,0,2,27,14,13,431,218,213,5,3,2,30,12,18,74,37,37
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,14,564,303,261,4,4,0,47,28,19,396,205,191,6,5,1,48,27,21,63,34,29
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,15,649,343,306,9,6,3,51,29,22,384,194,190,27,24,3,67,42,25,111,48,63
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,16,602,307,295,5,5,0,55,25,30,299,142,157,34,30,4,94,52,42,115,53,62
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,17,434,227,207,4,3,1,45,24,21,187,85,102,38,36,2,73,43,30,87,36,51
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,18,683,339,344,4,3,1,65,36,29,204,92,112,71,61,10,149,66,83,190,81,109
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,19,518,263,255,1,1,0,35,20,15,129,64,65,68,53,15,164,85,79,121,40,81
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,5-19,291,138,153,0,0,0,0,0,0,233,107,126,5,5,0,0,0,0,53,26,27
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,5,26,12,14,0,0,0,0,0,0,10,4,6,0,0,0,0,0,0,16,8,8
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,6,21,9,12,0,0,0,0,0,0,11,5,6,0,0,0,0,0,0,10,4,6
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,7,10,8,2,0,0,0,0,0,0,9,8,1,0,0,0,0,0,0,1,0,1
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,8,25,13,12,0,0,0,0,0,0,23,12,11,0,0,0,0,0,0,2,1,1
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,9,16,9,7,0,0,0,0,0,0,15,9,6,0,0,0,0,0,0,1,0,1
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,10,17,8,9,0,0,0,0,0,0,17,8,9,0,0,0,0,0,0,0,0,0
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,11,14,8,6,0,0,0,0,0,0,14,8,6,0,0,0,0,0,0,0,0,0
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,12,27,13,14,0,0,0,0,0,0,27,13,14,0,0,0,0,0,0,0,0,0
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,13,14,7,7,0,0,0,0,0,0,14,7,7,0,0,0,0,0,0,0,0,0
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,14,12,2,10,0,0,0,0,0,0,10,2,8,0,0,0,0,0,0,2,0,2
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,15,19,7,12,0,0,0,0,0,0,16,5,11,0,0,0,0,0,0,3,2,1
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,16,19,11,8,0,0,0,0,0,0,17,9,8,0,0,0,0,0,0,2,2,0
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,17,23,11,12,0,0,0,0,0,0,18,7,11,1,1,0,0,0,0,4,3,1
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,18,25,10,15,0,0,0,0,0,0,20,8,12,0,0,0,0,0,0,5,2,3
C-12_(ST)_Andaman_and_Nicobar_Islands,C0412ST,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,19,23,10,13,0,0,0,0,0,0,12,2,10,4,4,0,0,0,0,7,4,3
C-12_(ST)_Andhra_Pradesh,C0412ST,28,00,0000,State - ANDHRA PRADESH  28,Total,5-19,1859925,974217,885708,15314,9267,6047,10910,5977,4933,940390,561411,378979,327666,163560,164106,130816,48855,81961,434829,185147,249682
C-12_(ST)_Andhra_Pradesh,C0412ST,28,00,0000,State - ANDHRA PRADESH  28,Total,5,141533,72466,69067,166,89,77,90,38,52,42181,22441,19740,1024,516,508,484,237,247,97588,49145,48443
C-12_(ST)_Andhra_Pradesh,C0412ST,28,00,0000,State - ANDHRA PRADESH  28,Total,6,160672,81396,79276,381,215,166,254,146,108,88325,46732,41593,1270,590,680,670,267,403,69772,33446,36326
C-12_(ST)_Andhra_Pradesh,C0412ST,28,00,0000,State - ANDHRA PRADESH  28,Total,7,146183,74768,71415,487,255,232,406,201,205,107587,57706,49881,1872,911,961,980,390,590,34851,15305,19546
C-12_(ST)_Andhra_Pradesh,C0412ST,28,00,0000,State - ANDHRA PRADESH  28,Total,8,194046,99486,94560,808,466,342,816,385,431,139719,76993,62726,5691,2505,3186,3265,1166,2099,43747,17971,25776
C-12_(ST)_Andhra_Pradesh,C0412ST,28,00,0000,State - ANDHRA PRADESH  28,Total,9,135715,72187,63528,663,377,286,672,321,351,102860,58848,44012,5688,2535,3153,3193,1160,2033,22639,8946,13693
