source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Age | 1,Total | Persons | 2,Males | 3,Females | 4,Attending educational institution | Main workers | Persons | 5,Males | 6,Females | 7,Marginal workers | Persons | 8,Males | 9,Females | 10,Non-workers | Persons | 11,Males | 12,Females | 13,Not attending educational institution | Main workers | Persons | 14,Males | 15,Females | 16,Marginal workers | Persons | 17,Males | 18,Females | 19,Non-workers | Persons | 20,Males | 21,Females | 22
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,5-19,111251,58035,53216,207,148,59,1682,985,697,79242,41065,38177,4734,4109,625,3099,1964,1135,22287,9764,12523
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,5,6959,3563,3396,3,3,0,1,1,0,2343,1221,1122,21,18,3,7,2,5,4584,2318,2266
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,6,6581,3366,3215,3,3,0,5,5,0,3959,2060,1899,17,13,4,10,3,7,2587,1282,1305
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,7,6757,3446,3311,16,9,7,18,9,9,5849,2995,2854,18,13,5,14,8,6,842,412,430
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,8,7302,3713,3589,11,6,5,46,24,22,6533,3338,3195,16,13,3,12,8,4,684,324,360
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,9,6450,3222,3228,8,6,2,47,22,25,5962,3006,2956,11,8,3,12,6,6,410,174,236
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,10,8491,4379,4112,9,5,4,114,63,51,7599,3923,3676,52,44,8,44,16,28,673,328,345
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,11,6675,3437,3238,10,7,3,96,55,41,6108,3162,2946,41,29,12,28,11,17,392,173,219
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,12,8629,4504,4125,15,9,6,196,122,74,7542,3928,3614,85,63,22,82,49,33,709,333,376
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,13,7388,3725,3663,14,3,11,149,79,70,6398,3255,3143,98,70,28,104,48,56,625,270,355
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,14,7571,3879,3692,10,10,0,194,114,80,6257,3201,3056,143,106,37,180,99,81,787,349,438
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,15,7572,3946,3626,24,16,8,193,117,76,5654,2911,2743,307,247,60,255,167,88,1139,488,651
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,16,7698,4029,3669,17,15,2,197,103,94,5220,2666,2554,453,389,64,368,244,124,1443,612,831
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,17,6712,3707,3005,19,18,1,167,106,61,3985,2176,1809,593,524,69,403,270,133,1545,613,932
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,18,9460,5310,4150,20,15,5,172,108,64,3783,2076,1707,1532,1369,163,841,561,280,3112,1181,1931
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Total,19,7006,3809,3197,28,23,5,87,57,30,2050,1147,903,1347,1203,144,739,472,267,2755,907,1848
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,5-19,76825,40000,36825,142,98,44,1647,967,680,52688,27362,25326,3227,2763,464,2855,1758,1097,16266,7052,9214
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,5,4838,2469,2369,1,1,0,1,1,0,1512,789,723,7,6,1,5,1,4,3312,1671,1641
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,6,4529,2316,2213,2,2,0,5,5,0,2654,1365,1289,8,6,2,9,3,6,1851,935,916
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,7,4660,2385,2275,11,7,4,15,8,7,3933,2015,1918,9,8,1,14,8,6,678,339,339
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,8,5030,2586,2444,7,5,2,44,23,21,4395,2286,2109,11,8,3,11,8,3,562,256,306
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,9,4450,2197,2253,6,4,2,47,22,25,4021,2014,2007,7,5,2,10,5,5,359,147,212
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,10,5873,3040,2833,7,3,4,110,62,48,5135,2655,2480,35,31,4,43,16,27,543,273,270
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,11,4626,2382,2244,9,6,3,96,55,41,4152,2157,1995,26,16,10,27,11,16,316,137,179
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,12,6116,3203,2913,12,6,6,193,120,73,5215,2728,2487,55,38,17,79,46,33,562,265,297
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,13,5065,2524,2541,10,2,8,147,79,68,4224,2122,2102,71,49,22,100,46,54,513,226,287
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,14,5344,2766,2578,8,8,0,191,113,78,4252,2195,2057,104,73,31,173,95,78,616,282,334
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,15,5220,2696,2524,18,11,7,191,116,75,3680,1868,1812,212,171,41,240,154,86,879,376,503
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,16,5372,2830,2542,13,12,1,195,103,92,3431,1774,1657,323,273,50,346,227,119,1064,441,623
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,17,4568,2511,2057,11,10,1,167,106,61,2538,1393,1145,407,362,45,368,239,129,1077,401,676
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,18,6526,3640,2886,14,10,4,162,101,61,2369,1321,1048,1093,968,125,762,490,272,2126,750,1376
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,19,4608,2455,2153,13,11,2,83,53,30,1177,680,497,859,749,110,668,409,259,1808,553,1255
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,5-19,34426,18035,16391,65,50,15,35,18,17,26554,13703,12851,1507,1346,161,244,206,38,6021,2712,3309
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,5,2121,1094,1027,2,2,0,0,0,0,831,432,399,14,12,2,2,1,1,1272,647,625
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,6,2052,1050,1002,1,1,0,0,0,0,1305,695,610,9,7,2,1,0,1,736,347,389
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,7,2097,1061,1036,5,2,3,3,1,2,1916,980,936,9,5,4,0,0,0,164,73,91
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,8,2272,1127,1145,4,1,3,2,1,1,2138,1052,1086,5,5,0,1,0,1,122,68,54
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,9,2000,1025,975,2,2,0,0,0,0,1941,992,949,4,3,1,2,1,1,51,27,24
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,10,2618,1339,1279,2,2,0,4,1,3,2464,1268,1196,17,13,4,1,0,1,130,55,75
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,11,2049,1055,994,1,1,0,0,0,0,1956,1005,951,15,13,2,1,0,1,76,36,40
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,12,2513,1301,1212,3,3,0,3,2,1,2327,1200,1127,30,25,5,3,3,0,147,68,79
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,13,2323,1201,1122,4,1,3,2,0,2,2174,1133,1041,27,21,6,4,2,2,112,44,68
C-12_Andaman_and_Nicobar_Islands,C0212,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,14,2227,1113,1114,2,2,0,3,1,2,2005,1006,999,39,33,6,7,4,3,171,67,104
