source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age-group | 1,Total | Persons | 2,Males | 3,Females | 4,Marital status | Persons | 5,Never married | Males | 6,Females | 7,Currently Married | Persons | 8,Males | 9,Females | 10,Widowed | Persons | 11,Males | 12,Females | 13,Separated | Persons | 14,Males | 15,Females | 16,Divorced | Persons | 17,Males | 18,Females | 19,Unspecified | Persons | 20,Males | 21,Females | 22
C-02_(SC)_Andhra_Pradesh,C0502SC,28,000,State - ANDHRA PRADESH (28),Total,All ages,13878078,6913047,6965031,6082462,3380723,2701739,6821504,3361935,3459569,874489,145706,728783,84542,21182,63360,15081,3501,11580,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,000,State - ANDHRA PRADESH (28),Total,0-9,2312882,1178072,1134810,2312882,1178072,1134810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,000,State - ANDHRA PRADESH (28),Total,10-14,1464258,736053,728205,1440685,728314,712371,22004,7178,14826,960,311,649,549,222,327,60,28,32,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,000,State - ANDHRA PRADESH (28),Total,15-19,1418821,728191,690630,1249783,706263,543520,164734,21132,143602,2282,467,1815,1701,296,1405,321,33,288,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,000,State - ANDHRA PRADESH (28),Total,20-24,1407020,699027,707993,685292,490397,194895,704352,206235,498117,8672,1214,7458,7174,946,6228,1530,235,1295,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,000,State - ANDHRA PRADESH (28),Total,25-29,1293356,634056,659300,220408,169771,50637,1035240,459061,576179,22422,2575,19847,12625,2168,10457,2661,481,2180,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,000,State - ANDHRA PRADESH (28),Total,30-34,1046811,521511,525300,53523,38683,14840,942884,475546,467338,33970,3944,30026,13762,2759,11003,2672,579,2093,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,000,State - ANDHRA PRADESH (28),Total,35-39,1037939,506422,531517,19530,12384,7146,951304,484563,466741,50920,5665,45255,13781,3276,10505,2404,534,1870,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,000,State - ANDHRA PRADESH (28),Total,40-44,843999,432876,411123,9993,5991,4002,758962,415320,343642,62151,8046,54105,11059,3061,7998,1834,458,1376,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,000,State - ANDHRA PRADESH (28),Total,45-49,717790,360755,357035,5551,3088,2463,630949,344593,286356,72218,10203,62015,7893,2537,5356,1179,334,845,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,000,State - ANDHRA PRADESH (28),Total,50-54,562876,281967,280909,5013,2726,2287,466475,264050,202425,85050,13054,71996,5580,1874,3706,758,263,495,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,000,State - ANDHRA PRADESH (28),Total,55-59,436349,196243,240106,3566,1932,1634,353547,180814,172733,75809,12298,63511,3011,1065,1946,416,134,282,0,0,0
C-02_(SC)_Andhra_Pradesh,C0502SC,28,000,State - ANDHRA PRADESH (28),Total,60-64,505233,233927,271306,5393,2520,2873,343675,205612,138063,152154,24358,127796,3502,1270,2232,509,167,342,0,0,0
