source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age-group | 1,Total | Persons | 2,Males | 3,Females | 4,Marital status | Persons | 5,Never married | Males | 6,Females | 7,Currently Married | Persons | 8,Males | 9,Females | 10,Widowed | Persons | 11,Males | 12,Females | 13,Separated | Persons | 14,Males | 15,Females | 16,Divorced | Persons | 17,Males | 18,Females | 19,Unspecified | Persons | 20,Males | 21,Females | 22
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,All ages,28530,14731,13799,14279,7892,6387,12727,6305,6422,1492,526,966,29,8,21,3,0,3,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,0-9,5038,2585,2453,5038,2585,2453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,10-14,2304,1209,1095,2277,1198,1079,26,11,15,1,0,1,0,0,0,0,0,0,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,15-19,2426,1270,1156,2303,1246,1057,118,22,96,5,2,3,0,0,0,0,0,0,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,20-24,2593,1319,1274,1797,1084,713,781,231,550,10,2,8,5,2,3,0,0,0,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,25-29,2561,1289,1272,1074,684,390,1459,597,862,24,8,16,4,0,4,0,0,0,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,30-34,2526,1284,1242,595,396,199,1885,871,1014,45,17,28,1,0,1,0,0,0,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,35-39,2486,1225,1261,439,254,185,1961,938,1023,82,31,51,4,2,2,0,0,0,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,40-44,2125,1108,1017,289,173,116,1740,896,844,95,39,56,0,0,0,1,0,1,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,45-49,1825,951,874,176,104,72,1518,802,716,129,45,84,2,0,2,0,0,0,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,50-54,1468,767,701,103,59,44,1163,650,513,201,57,144,1,1,0,0,0,0,0,0,0
C-02_(ST)_Andaman_and_Nicobar_Islands,C0602ST,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Total,55-59,1080,604,476,61,38,23,843,508,335,173,58,115,3,0,3,0,0,0,0,0,0
