source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age-group | 1,Total | Persons | 2,Males | 3,Females | 4,Marital status | Persons | 5,Never married | Males | 6,Females | 7,Currently Married | Persons | 8,Males | 9,Females | 10,Widowed | Persons | 11,Males | 12,Females | 13,Separated | Persons | 14,Males | 15,Females | 16,Divorced | Persons | 17,Males | 18,Females | 19,Unspecified | Persons | 20,Males | 21,Females | 22
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Total,15,291823,149542,142281,280341,146929,133412,10774,2433,8341,529,116,413,154,58,96,25,6,19,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Total,16,271184,139863,131321,257617,136885,120732,13001,2845,10156,349,84,265,192,47,145,25,2,23,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Total,17,252515,133786,118729,232959,130736,102223,18979,2927,16052,311,79,232,228,42,186,38,2,36,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Total,18,336455,171595,164860,278738,165898,112840,56582,5511,51071,483,94,389,555,80,475,97,12,85,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Total,19,266844,133405,133439,200128,125815,74313,65398,7416,57982,610,94,516,572,69,503,136,11,125,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Total,20,397136,188424,208712,233331,161326,72005,160202,26642,133560,1746,252,1494,1548,168,1380,309,36,273,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Total,21,235861,120172,115689,135783,95030,40753,97928,24803,73125,1076,181,895,878,129,749,196,29,167,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Total,22,283986,142962,141024,132784,97193,35591,147585,45331,102254,1724,216,1508,1561,170,1391,332,52,280,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Total,23,240108,123576,116532,100516,74524,25992,136078,48542,87536,1732,242,1490,1471,229,1242,311,39,272,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Total,24,249929,123893,126036,82878,62324,20554,162559,60917,101642,2394,323,2071,1716,250,1466,382,79,303,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Total,25,408036,195633,212403,88725,68728,19997,308601,125405,183196,5942,702,5240,3901,650,3251,867,148,719,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Total,26,240380,120171,120209,49128,37396,11732,185006,81868,103138,3626,447,3179,2188,385,1803,432,75,357,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Total,27,196447,100817,95630,32935,25429,7506,157974,74610,83364,3251,389,2862,1881,316,1565,406,73,333,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Total,28,266650,127831,138819,30794,23834,6960,227187,102825,124362,5347,572,4775,2779,497,2282,543,103,440,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Total,29,181843,89604,92239,18826,14384,4442,156472,74353,82119,4256,465,3791,1876,320,1556,413,82,331,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Rural,15,226935,117523,109412,218341,115533,102808,8054,1852,6202,401,93,308,123,41,82,16,4,12,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Rural,16,210128,109575,100553,199787,107375,92412,9912,2097,7815,253,63,190,156,39,117,20,1,19,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Rural,17,193360,103974,89386,178129,101670,76459,14779,2209,12570,238,64,174,182,30,152,32,1,31,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Rural,18,263878,136653,127225,216435,132228,84207,46506,4288,42218,382,73,309,474,55,419,81,9,72,0,0,0
