source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age-group | 1,Total | Persons | 2,Males | 3,Females | 4,Marital status | Persons | 5,Never married | Males | 6,Females | 7,Currently Married | Persons | 8,Males | 9,Females | 10,Widowed | Persons | 11,Males | 12,Females | 13,Separated | Persons | 14,Males | 15,Females | 16,Divorced | Persons | 17,Males | 18,Females | 19,Unspecified | Persons | 20,Males | 21,Females | 22
C-02_Appendix_(ST)_Andaman_and_Nicobar_Islands,C0902STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,15,520,264,256,502,260,242,18,4,14,0,0,0,0,0,0,0,0,0,0,0,0
C-02_Appendix_(ST)_Andaman_and_Nicobar_Islands,C0902STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,16,467,248,219,454,245,209,11,1,10,2,2,0,0,0,0,0,0,0,0,0,0
C-02_Appendix_(ST)_Andaman_and_Nicobar_Islands,C0902STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,17,444,226,218,429,224,205,15,2,13,0,0,0,0,0,0,0,0,0,0,0,0
C-02_Appendix_(ST)_Andaman_and_Nicobar_Islands,C0902STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,18,505,276,229,475,272,203,28,4,24,2,0,2,0,0,0,0,0,0,0,0,0
C-02_Appendix_(ST)_Andaman_and_Nicobar_Islands,C0902STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,19,490,256,234,443,245,198,46,11,35,1,0,1,0,0,0,0,0,0,0,0,0
C-02_Appendix_(ST)_Andaman_and_Nicobar_Islands,C0902STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,20,523,257,266,425,235,190,97,22,75,1,0,1,0,0,0,0,0,0,0,0,0
C-02_Appendix_(ST)_Andaman_and_Nicobar_Islands,C0902STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,21,562,303,259,430,264,166,130,38,92,0,0,0,2,1,1,0,0,0,0,0,0
C-02_Appendix_(ST)_Andaman_and_Nicobar_Islands,C0902STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,22,487,250,237,330,200,130,155,50,105,2,0,2,0,0,0,0,0,0,0,0,0
C-02_Appendix_(ST)_Andaman_and_Nicobar_Islands,C0902STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,23,478,230,248,309,186,123,166,44,122,2,0,2,1,0,1,0,0,0,0,0,0
C-02_Appendix_(ST)_Andaman_and_Nicobar_Islands,C0902STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,24,543,279,264,303,199,104,233,77,156,5,2,3,2,1,1,0,0,0,0,0,0
