source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age-group | 1,Total | Persons | 2,Males | 3,Females | 4,Marital status | Persons | 5,Never married | Males | 6,Females | 7,Currently Married | Persons | 8,Males | 9,Females | 10,Widowed | Persons | 11,Males | 12,Females | 13,Separated | Persons | 14,Males | 15,Females | 16,Divorced | Persons | 17,Males | 18,Females | 19,Unspecified | Persons | 20,Males | 21,Females | 22
C-02_Appendix_Andaman_and_Nicobar_Islands,C0702A,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,15,6728,3480,3248,6505,3430,3075,216,48,168,4,1,3,2,0,2,1,1,0,0,0,0
C-02_Appendix_Andaman_and_Nicobar_Islands,C0702A,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,16,6499,3397,3102,6254,3338,2916,237,55,182,6,4,2,2,0,2,0,0,0,0,0,0
C-02_Appendix_Andaman_and_Nicobar_Islands,C0702A,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,17,6407,3400,3007,6032,3345,2687,371,54,317,2,0,2,2,1,1,0,0,0,0,0,0
C-02_Appendix_Andaman_and_Nicobar_Islands,C0702A,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,18,6870,3587,3283,6061,3520,2541,796,66,730,8,1,7,4,0,4,1,0,1,0,0,0
C-02_Appendix_Andaman_and_Nicobar_Islands,C0702A,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,19,6522,3402,3120,5412,3311,2101,1091,86,1005,9,1,8,9,4,5,1,0,1,0,0,0
C-02_Appendix_Andaman_and_Nicobar_Islands,C0702A,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,20,7312,3827,3485,5348,3559,1789,1947,266,1681,8,1,7,6,1,5,3,0,3,0,0,0
C-02_Appendix_Andaman_and_Nicobar_Islands,C0702A,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,21,6799,3545,3254,4668,3172,1496,2109,361,1748,7,3,4,11,7,4,4,2,2,0,0,0
C-02_Appendix_Andaman_and_Nicobar_Islands,C0702A,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,22,7639,4061,3578,4796,3450,1346,2809,602,2207,12,2,10,19,7,12,3,0,3,0,0,0
C-02_Appendix_Andaman_and_Nicobar_Islands,C0702A,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,23,7482,3977,3505,4373,3186,1187,3068,778,2290,17,5,12,20,8,12,4,0,4,0,0,0
C-02_Appendix_Andaman_and_Nicobar_Islands,C0702A,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,24,7883,4118,3765,4116,3037,1079,3713,1066,2647,27,4,23,23,10,13,4,1,3,0,0,0
