source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban,Marital | status | 1,Total population | Persons | 2,Males | 3,Females | 4,Religious communities | Hindu | Persons | 5,Males | 6,Females | 7,Muslim | Persons | 8,Males | 9,Females | 10,Christian | Persons | 11,Males | 12,Females | 13,Sikh | Persons | 14,Males | 15,Females | 16,Buddhist | Persons | 17,Males | 18,Females | 19,Jain | Persons | 20,Males | 21,Females | 22,Other religions and persuasions | Persons | 23,Males | 24,Females | 25
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,Total,380581,202871,177710,264296,142277,122019,32413,17301,15112,80984,41747,39237,1286,701,585,338,188,150,31,14,17,564,317,247
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,Never married,170177,98582,71595,115296,67955,47341,14124,8124,6000,39331,21672,17659,516,305,211,219,128,91,15,7,8,280,184,96
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,Married,192735,100341,92394,137128,71933,65195,16927,8957,7970,37355,18773,18582,702,375,327,100,51,49,16,7,9,250,126,124
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,Widowed,15561,3036,12525,10313,1690,8623,1105,138,967,4024,1182,2842,55,12,43,16,7,9,0,0,0,33,7,26
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,Separated,1695,778,917,1306,608,698,146,60,86,232,103,129,8,6,2,1,1,0,0,0,0,1,0,1
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,Divorced,413,134,279,253,91,162,111,22,89,42,17,25,5,3,2,2,1,1,0,0,0,0,0,0
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,Total,237093,126287,110806,157268,84639,72629,15124,7979,7145,62785,32639,30146,644,355,289,262,149,113,14,8,6,443,250,193
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,Never married,106415,61403,45012,68088,40002,28086,6666,3763,2903,30675,17057,13618,257,153,104,175,106,69,7,5,2,223,148,75
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,Married,118721,61918,56803,81459,42950,38509,7822,4118,3704,28606,14428,14178,347,187,160,72,36,36,7,3,4,192,97,95
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,Widowed,10524,2327,8197,6632,1192,5440,515,72,443,3295,1046,2249,30,7,23,12,5,7,0,0,0,28,5,23
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,Separated,1183,554,629,938,437,501,54,18,36,181,92,89,8,6,2,1,1,0,0,0,0,0,0,0
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,Divorced,250,85,165,151,58,93,67,8,59,28,16,12,2,2,0,2,1,1,0,0,0,0,0,0
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,Total,143488,76584,66904,107028,57638,49390,17289,9322,7967,18199,9108,9091,642,346,296,76,39,37,17,6,11,121,67,54
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,Never married,63762,37179,26583,47208,27953,19255,7458,4361,3097,8656,4615,4041,259,152,107,44,22,22,8,2,6,57,36,21
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,Married,74014,38423,35591,55669,28983,26686,9105,4839,4266,8749,4345,4404,355,188,167,28,15,13,9,4,5,58,29,29
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,Widowed,5037,709,4328,3681,498,3183,590,66,524,729,136,593,25,5,20,4,2,2,0,0,0,5,2,3
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,Separated,512,224,288,368,171,197,92,42,50,51,11,40,0,0,0,0,0,0,0,0,0,1,0,1
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,Divorced,163,49,114,102,33,69,44,14,30,14,1,13,3,1,2,0,0,0,0,0,0,0,0,0
C-03_Andaman_and_Nicobar_Islands,C1003,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
